Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Tanzania,Nyungu ya Mawe,,Kipembawe,,Representative of Nyungu here,Shorter 247,-7.65,33.4,
Tanzania,Nyungu ya Mawe,,Mdaburu,,Representative of Nyungu here; key stopping point for caravans,Shorter 247,-6.216667,34.9,
Tanzania,Nyungu ya Mawe,,Ipito,Approximate location,Nyungu conquers in 1881,Shorter 252,-7.249528,33.520015,
Tanzania,Nyungu ya Mawe,,Igululiu,,Representative of Nyungu here,Shorter 247,-7.366667,33.433333,
Tanzania,Nyungu ya Mawe,,Itumba,,Representative of Nyungu here,Shorter 244,-6.5,33.75,
Tanzania,Nyungu ya Mawe,,Kipili,,Representative of Nyungu here,Shorter 244,-6.183333,33.9,
Tanzania,Nyungu ya Mawe,,Igumila,Igumira,Nyungu's early headquarters near here,Shorter 245,-6.809187,33.265857,
Tanzania,Nyungu ya Mawe,,Kiloli,,Representative of Nyungu here,Shorter 246,-6.833333,33.383333,
Tanzania,Nyungu ya Mawe,,Kirurumo,Jiwe-la-Nsinga,Representative of Nyungu here,Shorter 244,-5.883333,34.183333,
Tanzania,Nyungu ya Mawe,,Ilamba,,watwaale here,Shorter 1966 map,-7.298799045,33.71429516,approximate based on map
Tanzania,Nyungu ya Mawe,,Itenda,,watwaale here,Shorter 1966 map,-7.332356646,33.063696,approximate based on map
Tanzania,Nyungu ya Mawe,,Kiwombwe,,,Shorter 1966 map,-7.527395932,32.84541037,
Tanzania,Nyungu ya Mawe,,Kawuye,,watwaale here,Shorter 1966 map,-6.96667,32.36667,
Tanzania,Nyungu ya Mawe,,Mwenye Mtwana,,,Shorter 1966 map,-6.05,34.83333,
Tanzania,Nyungu ya Mawe,,Iswangala,,watwaale here,Shorter 1966 map,-6.941361849,32.87364214,approximate based on map
Tanzania,Nyungu ya Mawe,,Unyangwila,,watwaale here,Shorter 1966 map,-6.11667,33.11667,approximate based on map
Tanzania,Nyungu ya Mawe,,Mwendo,,watwaale here,Shorter 1966 map,-7.51667,32.21667,
