Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Gabon,Orungu,Apomande Island,,capital under Mpolo from 1790 on,Patterson p. 69,-0.640263,9.011113
Gabon,Orungu,Ashouka,,upriver village under Orungu control,Patterson p. 74,-0.87488,9.74719
Gabon,Orungu,Izambe,placed at Mboudou,capital of slave trade early 1800s,Ambouroue-Avaro p. 149,-0.633657,9.134639
Gabon,Orungu,Mandji,Placed at Tchengue,early capital,Ambouroue-Avaro p. 146,-0.806172,8.819264
Gabon,Orungu,Mpembe,,capital of Ndebulia,Patterson p. 131,-0.61667,9.11667
Gabon,Orungu,Ndambo,Placed at Enyongo,,Patterson p. 151,-0.99828,9.37463
Gabon,Orungu,Olibatta,placed at Emanagouga,,Patterson p. 151,-0.714467,9.149894
Gabon,Orungu,Orovy,placed at Mboumba,upriver village under Orungu control,Patterson p. 74,-0.902794,9.614675
Gabon,Orungu,Sangatanga,,capital moved here in mid-1800s to prevent surprise raides by Royal Navy,Patterson p. 73,-0.484058,9.252687
Gabon,Orungu,Yombe,,commercial center mid-century,Ambouroue-Avaro p. 157,-0.96714,9.426759
Gabon,Orungu,Ngola,,commercial center mid-century,Ambouroue-Avaro p. 157,-0.975581,9.054077
Gabon,Orungu,Falaba,,,Ambouroue-Avaro,-1.02584,9.087405
