Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Ouaga,Nobere,,,Izard 1970 p. 389,11.558056,-1.204444
Burkina Faso,Ouaga,Manga,,,Izard 1970 p. 389,11.663611,-1.073056
Burkina Faso,Ouaga,Bere,,Caravan stop,Skinner 1970 p. 113,11.833333,-1.15
Burkina Faso,Ouaga,Rakaye,Dakaye,Caravan stop,Duperray p. 99,11.843056,-1.562778
Burkina Faso,Ouaga,Toudou,,,Izard 1970 p.150,11.866667,-1.316667
Burkina Faso,Ouaga,Guirgo,,,Duperray p. 49,11.902778,-1.359444
Burkina Faso,Ouaga,Doulougou,,,Izard 1970 p. 389,11.989444,-1.460556
Burkina Faso,Ouaga,Sapone,,,Izard 1970 p. 389,12.048502,-1.601966
Burkina Faso,Ouaga,Kombisiri,,,Izard 1970 p. 389,12.06095,-1.333553
Burkina Faso,Ouaga,Sabou,,,Izard 1970 p. 389,12.066667,-2.233333
Burkina Faso,Ouaga,Koubri,,,Izard 1970 p. 389,12.1675,-1.355556
Burkina Faso,Ouaga,Boudri,,,Izard 1970 p. 175,12.216667,-0.733333
Burkina Faso,Ouaga,Poa,,,Izard 1970 p. 389,12.216667,-2.1
Burkina Faso,Ouaga,Posomtenga,,,Izard 1970 p. 186,12.235,-1.4825
Burkina Faso,Ouaga,Zorgo,,,Izard 1970 p. 389,12.249222,-0.61527
Burkina Faso,Ouaga,Lougsi,,,Izard 1970 p.150,12.266667,-1.633333
Burkina Faso,Ouaga,Vili,,,Duperray p. 99,12.283333,-2.216667
Burkina Faso,Ouaga,Imigu,,,Duperray p. 46,12.311246,-0.559718
Burkina Faso,Ouaga,Sabou,,,Izard 1970 p. 389,12.321111,-1.596944
Burkina Faso,Ouaga,Ougadougou,,Capital,Izard 1970 p. 389,12.370278,-1.524722
Burkina Faso,Ouaga,Sourgoubila,,,Izard 1970 p. 389,12.414539,-1.803326
Burkina Faso,Ouaga,Megue,,,Izard 1970 p. 389,12.416667,-0.716667
Burkina Faso,Ouaga,Kounda,,,Duperray p. 99,12.431389,-1.392222
Burkina Faso,Ouaga,Komtoego,,,Izard 1970 p. 152,12.451111,-1.654722
Burkina Faso,Ouaga,Saraboutenga,,,Izard p. 386,12.483333,-1.15
Burkina Faso,Ouaga,Loumbila,,,Izard 1970 p. 389,12.519167,-1.370556
Burkina Faso,Ouaga,Lai,,,Izard 1970 p. 389,12.526389,-1.7725
Burkina Faso,Ouaga,Ziniare,,,Duperray p. 49,12.581862,-1.297104
Burkina Faso,Ouaga,Lalle,,,Izard 1970 p. 389,12.583333,-1.85
Burkina Faso,Ouaga,Guilongou,,,Izard 1970 p. 389,12.608056,-1.304444
Burkina Faso,Ouaga,Goupana,,,Izard 1970 p. 186,12.614773,-1.582339
Burkina Faso,Ouaga,Bolgo,,,Izard 1970 p.150,12.620833,-1.940833
Burkina Faso,Ouaga,Bousse,,,Duperray p. 49,12.657595,-1.89288
Burkina Faso,Ouaga,Gourpila,,,Izard 970 p. 164,12.733333,-1.75
Burkina Faso,Ouaga,Zitenga,,,Izard 1970 p. 389,12.746207,-1.307318
Burkina Faso,Ouaga,Niou,,,Izard 1970 p. 389,12.768889,-1.936389
