Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Angola,Ovambo,Uukwambi,Otshima,near Oshitundu,traditional capital,Williams 127,-18.166667,15.833333,
Angola,Ovambo,Ondonga,Okaloko,,Capital here in late 1800s,Williams 145,-18.016667,16.016667,
Angola,Ovambo,Ongandjera,Engonda,Enongo?,Capital in late 1800s,Williams 158,-18,15.233333,
Angola,Ovambo,Ondonga,Onamungundo,,Capital here in late 1800s,Williams 145,-17.95,16.016667,
Angola,Ovambo,Ondonga,Onampundu,near Onayena,Capital here in late 1800s,Williams 145,-17.9496,16.1916,
Angola,Ovambo,Ondonga,Iinenge,Oshamba,old capital; traditional place,Williams 102,-17.916667,16.033333,near Oniipa - placed there
Angola,Ovambo,Ondonga,Ondonga,,Royal capital,Williams 117,-17.910257,15.975764,
Angola,Ovambo,Ongandjera,Ongandjera,,capital?,,-17.883333,15.1,
Angola,Ovambo,Uukwambi,Ekamba,,traditional capital,Williams 126,-17.783333,15.55,
Angola,Ovambo,Uukwambi,Iihanguti,,Capital in late 1800s,Williams 129,-17.733333,15.483333,
Angola,Ovambo,Uukwambi,Iiyale,,traditional location in succession of kings,Williams 102,-17.716667,15.483333,In Elim constiuency - placed at Elim
Angola,Ovambo,Uukwambi,Onambashu,,Capital in late 1800s,Williams 129,-17.683333,15.466667,
Angola,Ovambo,Uukwambi,Onatshiku,,Capital in late 1800s,Williams 160,-17.483333,15.633333,
Angola,Ovambo,Kwanhama,Omatemba,,,,-17.32,15.7666,Portuguese garrison only?
Angola,Ovambo,Kwanhama,Namakunde,,,,-17.3,15.85,Portuguese garrison only?
Angola,Ovambo,Ombandja,Naluheke,Natueke?,capital,William 139,-17.166667,15.133333,
Angola,Ovambo,Ombandja,Ombala-yo-Mungo,,Ombala here,,-17.083333,15.133333,
Angola,Ovambo,Kwanhama,Ondjiva,,Center of pre-1915 Oukwanyama,Krieke 252,-17.074351,15.712562,
Angola,Ovambo,Kwanhama,Mutaku,,Prince Ombishi resides here,Krieke 34,-16.816667,15.716667,
Angola,Ovambo,Kwanhama,Evale,,Initiation rites here,Williams 122,-16.55,15.75,
