Country,Polity,SubKingdom,Subkingdom Alt Spelling,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes,,
Angola,Ovimbundu,Cikomba,Cikomba,Cikomba,,ombala here,Hauenstein 49,-14.133333,14.916667,,,
Angola,Ovimbundu,Ngalange,Galangue,Kombala-an-Dumba,,Prince of Gallangue here,Magyar 400,-13.939977,15.532632,Approximate Location based on Magyar Map,,
Angola,Ovimbundu,Ngalange,Galangue,Ngalangi,,Capital of Ngalange,Childs 1970 241,-13.916667,16.1,,,
Angola,Ovimbundu,Ngalange,Galangue,Kindumda,,important trade port on Eubango river,Magyar 400,-13.895473,15.808418,Approximate Location based on Magyar Map,,
Angola,Ovimbundu,Ngalange,Galangue,Palanka,,Subchief's district,Magyar 399,-13.821641,15.508179,Approximate Location based on Magyar Map,,
Angola,Ovimbundu,Kalukembe,Caluquembe,Caluquembe,,Ombala here,Childs 167,-13.783333,14.683333,,,
Angola,Ovimbundu,Caconda,Quilombo,Caconda,,Capital of Caconda; Chils notes that original settlement was not far from fort,Childs 1970 map,-13.766667,15.083333,,,
Angola,Ovimbundu,Caconda,Quilombo,Kilombo,,subchief of Kitata district here,Magyar 395,-13.718699,14.870261,Approximate Location based on Magyar Map,,
Angola,Ovimbundu,Ngalange,Galangue,Senge,,subchief of Lambos district,Magyar 400,-13.681167,15.7965,,,
Angola,Ovimbundu,Kalukembe,Caluquembe,Tambi,,subchief here,Hauenstein 98,-13.666667,14.533333,,,15.816667
Angola,Ovimbundu,Wambu,Huambo,Feti,Calima,burial place of Ovimbundu founder Feti; taditioanlly oldest occupided site of Ovimbundu in territory,Childs 1970 241,-13.41609,15.86517,Approximate location based on map,,
Angola,Ovimbundu,Cingolo,Quingolo,Cingolo,Magyar calls this KombŠla-an-Kingolo,Capital here in 1800s,Childs 1970 246,-13.366667,15.55,Placed at Sapata based on map - very approximate,,
Angola,Ovimbundu,Sambu,Sambos,Djamba,,Large village,Magyar 402,-13.283333,16.083333,,,
Angola,Ovimbundu,Wambu,Huambo,Ulondo,,Childs notes kings from here - but ambigous,Childs 1964 376,-13.173056,15.663333,,,
Angola,Ovimbundu,Citata,Quitata/Citata,Ndumbu,,Omballa of Cikumu/Citata here,Childs 63,-13.09437,14.88592,,,
Angola,Ovimbundu,Citata,Quitata/Citata,Kitata,,Soba/Chief here,Bennett 1901 Index,-13.066667,15.016667,Approximate based on Battell 1901; may be too far north,,
Angola,Ovimbundu,Sambu,Sambos,Kandumba,Dumbo --> Sambo???,Prince here,Magyar 401,-13.05,16.133333,,,
Angola,Ovimbundu,Wambu,Huambo,Mbongo,,,,-12.993611,15.344444,,,
Angola,Ovimbundu,Wambu,Huambo,Ngumbe,,Childs notes kings from here - but ambigous,Childs 1964 373,-12.9925,15.540556,-12.975278,15.677778,
Angola,Ovimbundu,Ciyaka,Quiaca,Kahale,,on Maygar map near capital - very approximate,,-12.95,14.95,,,
Angola,Ovimbundu,Wambu,Huambo,Cimbili,,Childs notes kings from here - but ambigous,Childs 1964 377,-12.924444,15.301111,,,
Angola,Ovimbundu,Wambu,Huambo,Nganda-la-Kawe,near Caala,capital of Wambu's founder; tomb there,Childs 176,-12.8525,15.560556,,,
Angola,Ovimbundu,Ciyaka,Quiaca,Elende,,fortress ruins here; king here at end of 1800s,,-12.733333,15.15,,,
Angola,Ovimbundu,Wambu,Huambo,Samisase,,Capital here at end,Childs 1964 372,-12.701389,15.638333,,,
Angola,Ovimbundu,Mbailundu,,Kapalla,,Subchief of Kipeyu district here,Magyar 388,-12.686111,15.706111,Capolo?,,
Angola,Ovimbundu,Bie,Viye,Ekovongo,,Capital of Bie,Edwards 8,-12.533333,16.966667,,,
Angola,Ovimbundu,Mbailundu,,Donde,,Subchief of Donde here,Magyar 388,-12.533333,16.416667,,,
Angola,Ovimbundu,Bie,Viye,Sewe,now Kambandwa,Ombala in founding myth here,,-12.516667,17.333333,,,
Angola,Ovimbundu,Mbailundu,,Capango,,tributory to Viye/later Mbailundo,Thornton Chpt 8,-12.516667,16.833333,,,
Angola,Ovimbundu,Mbailundu,,Kimbolenge,,Subchief of Kimbolenge here,Magyar 388,-12.457767,16.49301,SE of Viheli,,
Angola,Ovimbundu,Bie,Viye,Dele,,subchief here,Maygar 243,-12.45,17.383333,,,
Angola,Ovimbundu,Wambu,Huambo,Cipeyo,,Childs notes kings from here - but ambigous,Childs 1964 376,-12.433333,15.5,,,
Angola,Ovimbundu,Bie,Viye,Cuito,Bihe,Major city built by king,,-12.383333,16.933333,,,
Angola,Ovimbundu,Bie,Viye,Canjungo,,subchief here,Thornton Chpt 8,-12.35,17.2,,,
Angola,Ovimbundu,Mbailundu,,Viheli,,Prince here,Magyar 388,-12.341933,16.424735,N of Kapalla,,
Angola,Ovimbundu,Mbailundu,,Jula,,Subchief of Lom-Aganda district here,Magyar 389,-12.311707,15.360457,Gulua?,,
Angola,Ovimbundu,Civulu,Quibula,Quibula,,,Childs 167,-12.28333,14.68333,,,
Angola,Ovimbundu,Bie,Viye,Sakanjimba,Sacanjimbo,,,-12.2,16.65,,,
Angola,Ovimbundu,Mbailundu,,Bimbe-Katapi,Teixeira da Silva,Capital of Bailundu in late 1800s,,-12.194848,15.856946,,,
Angola,Ovimbundu,Mbailundu,,Kumbira,,Subchief of Kubula district here,Magyar 389,-12.178049,15.123569,,,
Angola,Ovimbundu,Bie,Viye,Catabola,,Chief's ombala near here,,-12.15,17.283333,,,
Angola,Ovimbundu,Bie,Viye,Quibanda,,large town,,-12.15,16.75,,,
Angola,Ovimbundu,Mbailundu,,Kombala-an-Bailundu,,Capital in 1800s,Magyar 391,-12.15,15.583333,Cumbala?,,
Angola,Ovimbundu,Galanga,,Galanga,,tributory chief,,-12.062536,15.138187,,,
Angola,Ovimbundu,Ndulu,Andulo/Ondulu,Gumba,,One of frst villages founded by royal family,Childs 170,-11.702639,16.52127,,,
Angola,Ovimbundu,Ndulu,Andulo/Ondulu,Bale,,subchief of Bale distrit here,Magyar 409,-11.6934,16.899051,,,
Angola,Ovimbundu,Gumba,Gumba,Gumba,,capital,Edwards 37,-11.65,14.883333,,,
Angola,Ovimbundu,Mbailundu,,Gouenje,,large town,,-11.533333,16.083333,,,
Angola,Ovimbundu,Ndulu,Andulo/Ondulu,Ndulu-Yolosima,,Capital of Ndulu,Childs 1970 246,-11.486759,16.696631,Placed at Andulo,,
Angola,Ovimbundu,Gumba,Gumba,Chicunda,,,,-11.433333,14.9,,,
