Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Oyo,Afon,,,Akintoye p. 228,7.866667,3.7
Nigeria,Oyo,Agbonle,,,Akintoye p. 228,8.876309,3.523189
Nigeria,Oyo,Ago Oja,,,,7.820054,4.179797
Nigeria,Oyo,Ajase,,,Akintoye p. 228,8.209909,4.405388
Nigeria,Oyo,Bara,,,Akintoye p. 228,7.524294,3.515558
Nigeria,Oyo,Ede,,,Akintoye p. 228,7.736347,4.435363
Nigeria,Oyo,Ejigbo,,Political agent posted here,Morton-Williams 49,7.867112,4.286263
Nigeria,Oyo,Eruwa,,,Akintoye p. 228,7.53365,3.41796
Nigeria,Oyo,Gbogun,,,,8.466667,4.316667
Nigeria,Oyo,Godeberi,,,Akintoye p. 228,9.014237,3.535837
Nigeria,Oyo,Idere,,,Akintoye p. 228,7.493154,3.250447
Nigeria,Oyo,Idode,,,Akintoye p. 228,7.845629,3.728553
Nigeria,Oyo,Igangan,,,,7.683333,3.183333
Nigeria,Oyo,Iganna,,,Akintoye p. 228,7.974799,3.24493
Nigeria,Oyo,Igbeti,,,Marti p. 18,8.749207,4.131128
Nigeria,Oyo,Igboho,,,Akintoye p. 228,8.837838,3.756282
Nigeria,Oyo,Ikoyi,,,Akintoye p. 228,8.2444,4.171807
Nigeria,Oyo,Ilaji,,,Akintoye p. 228,7.983333,3.05
Nigeria,Oyo,Ilesa,,,Akintoye p. 228,8.912598,3.423979
Nigeria,Oyo,Ilorin,,,Akintoye p. 228,8.496642,4.542143
Nigeria,Oyo,Irawo,,,Akintoye p. 228,8.529619,3.359892
Nigeria,Oyo,Iresa,,,Akintoye p. 228,8.087473,4.39264
Nigeria,Oyo,Isemi,,,Akintoye p. 228,8.329265,3.564977
Nigeria,Oyo,Iseyin,,,Akintoye p. 228,7.97022,3.596256
Nigeria,Oyo,Iwere,,,Akintoye p. 228,7.999191,3.088266
Nigeria,Oyo,Iwo,,,Akintoye p. 228,7.635268,4.181556
Nigeria,Oyo,Jabata,,,Akintoye p. 228,8.24303,4.39569
Nigeria,Oyo,Kisi,,,Akintoye p. 228,9.082971,3.851965
Nigeria,Oyo,Koso,,,Akintoye p. 228,8.035342,3.771111
Nigeria,Oyo,Ogbomoso,,,Akintoye p. 228,8.133725,4.240144
Nigeria,Oyo,Ogodo,,,Akintoye p. 228,7.711987,3.482879
Nigeria,Oyo,Oyo,,,,7.852575,3.931249
Nigeria,Oyo,Oyo Ile,Placed at Old Oyo Hill - this is where ruins are,Long-stnading capital of Yorubaland,Smith p. 29,8.96692,4.299959
Nigeria,Oyo,Saki,,major market center,Akintoye p. 228,8.667619,3.393929
Nigeria,Oyo,Tapa,,,Akintoye p. 228,7.804918,3.214587
Nigeria,Oyo,Tede,,,,8.55625,3.446383
