Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Benin,Porto Novo,Seme,,,Person p. 219,6.366667,2.616667,
Benin,Porto Novo,Ekpe,,important town on coast,Person p. 219,6.392092,2.537253,
Benin,Porto Novo,Gbehonme,,royal farm,Videgla 262,6.43056,2.57667,approximate based on map
Benin,Porto Novo,Ganvie,,major slave market here,Videgla 352,6.46441,2.39288,
Benin,Porto Novo,Djegan-Daho,,principal market,Videgla 353,6.47938,2.65061,
Benin,Porto Novo,Porto-Novo,,capital,Person p. 219,6.483333,2.616667,
Benin,Porto Novo,Hozin,,principal market,Videgla 353,6.53288,2.55142,
Benin,Porto Novo,Adjara,,principal market,Videgla 353,6.53445,2.66833,
Benin,Porto Novo,Atchoukpa,,principal market,Videgla 353,6.53542,2.63142,
Benin,Porto Novo,Dangbo,,principal market,Videgla 353,6.5847,2.5499,
Benin,Porto Novo,Kouti,Wefi,principal market,Videgla 353,6.61336,2.64954,
Benin,Porto Novo,Banigbe,,principal market,Videgla 353,6.64756,2.70695,
Benin,Porto Novo,Takon,,subchief here,Videgla 186,6.64985,2.62174,
Benin,Porto Novo,Sedje,,principal market,Videgla 353,6.7,2.38333,
Benin,Porto Novo,Adjohoun,,subchief here,Videgla 324,6.71853,2.47759,
Benin,Porto Novo,Sakete,,principal market,Videgla 353,6.734116216,2.660107241,
