Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Mozambique,Quiteve,,Ampara,,district here,Mtetwa 125,-20.26639,34.65611,
Mozambique,Quiteve,,Bandire,,Feira here; reestablished in 1831; gold mines in this area,Newitt 290,-19.51687,33.22599,
Mozambique,Quiteve,,Bucuta,,Gold Mine,Mtetwa 95,-19.29056,33.40417,stream
Mozambique,Quiteve,,Cheringoma,,"prazo, Sanchiteve technically could recall land",Mtetwa 190,-18.53493,35.30272,
Mozambique,Quiteve,,Chimoca,,Gold Mine,Mtetwa 95,-18.826389,35.102222,??
Mozambique,Quiteve,,Chinage,,Large Village,Lapa 30,-18.370278,34.047222,??
Mozambique,Quiteve,,Chironde,,"prazo, Sanchiteve technically could recall land",Mtetwa 192,-20.04917,34.03722,
Mozambique,Quiteve,,Dendira,,"prazo, Sanchiteve technically could recall land",Mtetwa 192,-20.158611,33.586111,Nhandere??
Mozambique,Quiteve,,Hanganhe,Approximate location; placed at Chinhangure; it was near Vumbi,Capital of queens in early 1800s,,-19.439167,33.63,
Mozambique,Quiteve,,Inhabujo,,"prazo, Sanchiteve technically could recall land",Mtetwa 192,-20.454167,33.986389,Nhabuto?
Mozambique,Quiteve,,Inhacombe,,"prazo, Sanchiteve technically could recall land",Mtetwa 192,-18.666667,35.416667,
Mozambique,Quiteve,,Mahongo,,Large Village,Lapa 72,-19.8325,33.275556,
Mozambique,Quiteve,,Marope,,"prazo, Sanchiteve technically could recall land",Mtetwa 192,-20.313889,34.190833,Marombe?
Mozambique,Quiteve,,Masapa,,market here,Mtetwa 158,-19.68333,32.85,
Mozambique,Quiteve,,Mavita,,capital here,Mtetwa 111,-19.51861,33.15056,
Mozambique,Quiteve,,Mt Magomo,Gogogo peak?,Burial place of kings,Owen 418,-18.403889,34.10875,
Mozambique,Quiteve,,Nhamucaia,,Gold Mine,Mtetwa 95,-20.011389,34.638056,???
Mozambique,Quiteve,,Punge,,"prazo, Sanchiteve technically could recall land",Mtetwa 192,-19.44583,34.5375,
Mozambique,Quiteve,,Ucarangua,Arangua?,Large Village,Lapa140,-19.067222,34.411389,
Mozambique,Quiteve,,Ussomes,above Estaquinha on Buzi,Traditional Capital; Kings 'zamboe' here,Boston,-19.9775,34.141389,
Mozambique,Quiteve,,Zembe,,capital here,Mtetwa 111,-18.266667,35.083333,
Mozambique,Quiteve,,Chicanga,,subdivision here in 1700s,Mtetwa 224,-19.2825,33.57611,
Mozambique,Quiteve,,Sanga,,subdivision here in 1700s,Mtetwa 238,-18.62528,35.32639,
Mozambique,Quiteve,,Charinga,,prince here?,Mtetwa 298,-20.27056,33.87667,
Mozambique,Quiteve,,Mawe,near Moribane,first capital,,-19.70667,33.44222,
Mozambique,Quiteve,,Chimoio,,powerful queen here,,-19.11639,33.48333,
Mozambique,Quiteve,,Buzi,,chief near here,,-19.88139,34.60083,
Mozambique,Quiteve,,Gorongosa,,settlement,,-18.67556,34.07278,
