Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Rey Bouba,Mayo_Rey,Ambarang,,,,7.65,14.316667
Cameroon,Rey Bouba,Mayo_Rey,Badjari,,based here 1725-1800,"Hoamadjoda and Eldridge, 257",8.839,14.2302
Chad,Rey Bouba,Mayo_Rey,Badje,,,,9.1419,14.5709
Cameroon,Rey Bouba,Mayo_Rey,Bagale,,,"Hoamadjoda and Eldridge, 282",8.686465,13.982998
Cameroon,Rey Bouba,Mayo_Rey,Balsangri,,,"Hoamadjoda and Eldridge, 282",8.785,14.175
Chad,Rey Bouba,Mayo_Rey,Bayda,,,,9.098,14.8424
Cameroon,Rey Bouba,Mayo_Rey,Bedara,,,Hoamadjoda and Eldridge,7.6855,15.5662
Cameroon,Rey Bouba,Mayo_Rey,Beinamar,,,"Hoamadjoda and Eldridge,422",8.6698,15.3813
Cameroon,Rey Bouba,Mayo_Rey,Belaka-Mboum,,,,7.766667,14.516667
Cameroon,Rey Bouba,Mayo_Rey,Bere,,,"Hoamadjoda and Eldridge,422",9.0155,14.2283
Cameroon,Rey Bouba,Mayo_Rey,Bigawla-Ray,,,,8.349623,14.856557
Cameroon,Rey Bouba,Mayo_Rey,Dari,,,,7.553268,15.466165
Chad,Rey Bouba,Mayo_Rey,Dari,,,"Hoamadjoda and Eldridge,422",9.1026,14.5769
Cameroon,Rey Bouba,Mayo_Rey,Dawan,,,,7.9,14.283333
Cameroon,Rey Bouba,Mayo_Rey,Djivorke,,,,7.4,14.616667
Chad,Rey Bouba,Mayo_Rey,Doba,,,"Hoamadjoda and Eldridge,422",8.4423,15.3373
Cameroon,Rey Bouba,Mayo_Rey,Fakari,,,,7.25,14.933333
Cameroon,Rey Bouba,Mayo_Rey,Gangbou,,,,8.6943,14.8483
Cameroon,Rey Bouba,Mayo_Rey,Ganyade,,,,8.3678,15.0406
Cameroon,Rey Bouba,Mayo_Rey,Gare,,,Hoamadjoda and Eldridge,8.9113,14.0461
Cameroon,Rey Bouba,Mayo_Rey,Gop,,,Hoamadjoda and Eldridge,7.766667,14.15
Chad,Rey Bouba,Mayo_Rey,Guemayo,,,,8.951309,14.940457
Cameroon,Rey Bouba,Mayo_Rey,Guigdji,,,Hoamadjoda and Eldridge,8.6599,14.6164
Cameroon,Rey Bouba,Mayo_Rey,Holmbali,,,,7.833333,14.066667
Cameroon,Rey Bouba,Mayo_Rey,Home,,,,8.083333,14.35
Cameroon,Rey Bouba,Mayo_Rey,Kakdje,,,Hoamadjoda and Eldridge,8.326239,15.138448
Cameroon,Rey Bouba,Mayo_Rey,Kamale,,,Hoamadjoda and Eldridge,8.75186,13.969519
Cameroon,Rey Bouba,Mayo_Rey,Kanhon,,,,7.8,14.6
Cameroon,Rey Bouba,Mayo_Rey,Koum,,,,8.382536,14.516402
Cameroon,Rey Bouba,Mayo_Rey,Kouman,,,"Hoamadjoda and Eldridge,422",7.6833,15.107028
Cameroon,Rey Bouba,Mayo_Rey,Laboun,,,,8.3926,14.2745
Cameroon,Rey Bouba,Mayo_Rey,Laka Mboum,,,,7.866667,14.95
Chad,Rey Bouba,Mayo_Rey,Lame,,,"Hoamadjoda and Eldridge,422",9.2422,14.5415
Cameroon,Rey Bouba,Mayo_Rey,Landou,,,"Hoamadjoda and Eldridge, 282",8.5548,14.3399
Cameroon,Rey Bouba,Mayo_Rey,Lara-Bawgoy,,,,7.4,14.7
Cameroon,Rey Bouba,Mayo_Rey,Madingring,,,,8.455859,15.007081
Cameroon,Rey Bouba,Mayo_Rey,Mba,,,,7.716667,15.516667
Cameroon,Rey Bouba,Mayo_Rey,Mbakana,,,,8.046953,15.149895
Cameroon,Rey Bouba,Mayo_Rey,Mbang,,,"Hoamadjoda and Eldridge,422",7.166667,14.483333
CAR,Rey Bouba,Mayo_Rey,Mbaybokoum,,,"Hoamadjoda and Eldridge,422",7.307613,15.532127
Cameroon,Rey Bouba,Mayo_Rey,Mbilla,,,"Hoamadjoda and Eldridge, 282",8.6502,14.2906
Cameroon,Rey Bouba,Mayo_Rey,Mboukma,,,"Hoamadjoda and Eldridge, 289",8.521725,13.976595
Cameroon,Rey Bouba,Mayo_Rey,Ndok,,,"Hoamadjoda and Eldridge,422",7.95,14.7
Cameroon,Rey Bouba,Mayo_Rey,Ndourou,,,,7.783333,14.55
Cameroon,Rey Bouba,Mayo_Rey,Ngoumi,,,,7.7637,15.1845
Cameroon,Rey Bouba,Mayo_Rey,Nguew,,,"Hoamadjoda and Eldridge,422",7.15,14.566667
Cameroon,Rey Bouba,Mayo_Rey,Nigba,,,,8.127463,13.575207
Cameroon,Rey Bouba,Mayo_Rey,Ray,,arrive in 1790,"Hoamadjoda and Eldridge, 257",8.6724,14.1786
Cameroon,Rey Bouba,Mayo_Rey,Sinassi,,,,8.8587,14.4832
Cameroon,Rey Bouba,Mayo_Rey,Sokorta,,,,7.133333,14.783333
Cameroon,Rey Bouba,Mayo_Rey,Soro-Mbew,,,,7.7925,15.0034
Chad,Rey Bouba,Mayo_Rey,Tapol ,,,,8.506141,15.602426
Cameroon,Rey Bouba,Mayo_Rey,Tatou,,,"Hoamadjoda and Eldridge, 282",8.703909,13.989617
Cameroon,Rey Bouba,Mayo_Rey,Tchollire,,arrive in 1835,"Hoamadjoda and Eldridge, 257",8.4022,14.1698
Cameroon,Rey Bouba,Mayo_Rey,Telbe,,,,8.6686,14.9303
Cameroon,Rey Bouba,Mayo_Rey,Touboro,,,"Hoamadjoda and Eldridge, 257",7.7708,15.3568
Cameroon,Rey Bouba,Mayo_Rey,Vaymba,,,,8.782278,14.541812
Cameroon,Rey Bouba,Mayo_Rey,Vogdjoun,,,,7.783333,14.483333
Cameroon,Rey Bouba,Mayo_Rey,Wakhla,,,,8.9316,14.4207
Cameroon,Rey Bouba,Mayo_Rey,Wantounou,,,,7.3228,15.2397
Chad,Rey Bouba,Mayo_Rey,Woylega,,,,8.8646,14.8596
Cameroon,Rey Bouba,Mayo_Rey,Youkout,,,,8.3005,14.0972
CAR,Rey Bouba,Mbere,,,,,7.436537,15.435377
Chad,Rey Bouba,Woylega,,,,,8.8646,14.8596
Cameroon,Rey Bouba,Bandjoukri,,Influential chief here,Abdouallaye and Mohammadou 551,,13.836169,
