Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Rwanda,Rwanda,Ngeli,,"Residenc here, Fete de Premice 1890; near militia posted on southern border",Kagame v.2 67,-2.7231,29.5628
Rwanda,Rwanda,Bungwe,Butare,lost to Burundi ,Rennie map 2,-2.6038,29.7431
Rwanda,Rwanda,Giseke,,important residence,Vansina 2012 226,-2.5807,29.5182
Rwanda,Rwanda,Nyanza,,location of the kingÍs palace ,Dorsey 314-315,-2.353537,29.750455
Rwanda,Rwanda,Mwima,Mushirarungu' nyabisindu.butare,Frequent site of harvest festival,Kagame v. 2 p. 21,-2.3535,29.7346
Rwanda,Rwanda,Nyamasheke,,Fete de Premice here in 1894; King receives German explorers because site deemed propicious,Kagame v.2 19,-2.3396,29.0856
Rwanda,Rwanda,Nyamagana,,Court moves here under Mibambwe IV ,Kagame v.2 109,-2.3383,29.7334
Rwanda,Rwanda,Mukingo,,Early court site under Mutara,Kagame Chapitre IV,-2.3003,29.7591
Rwanda,Rwanda,Murinja,Mulinja? Know its in Muyira commune,Mutara installed here,Kagame v1 191,-2.2961,29.8739
Rwanda,Rwanda,Sakara,in Gisaka,King's residence founded in 1875 to integrate periphery,Vansina 2004 171,-2.2539,30.5363
Rwanda,Rwanda,Kigoma,,Court of Nyiratunga here in early 1800s,Vansina 2004 141,-2.250579,29.783444
Rwanda,Rwanda,Bweranvura,placed at Bweremana; near here,Court here in 1855; fete de premice held here,Kagame v.2 22,-2.2187,29.6629
Rwanda,Rwanda,Nyundo,near Bunyogombe,King's Residence; site of royal ritual; fete premeice here 1896,Vansina 2004 246,-2.1932,29.7534
Rwanda,Rwanda,Rwamaraba,,Fete de Premice 1873 and kings residence,Kagame v.2 42,-2.1326,29.7887
Rwanda,Rwanda,Rwamiko,,Royal residence built here ~1897,Kagame v.2 120,-2.1298,29.7958
Rwanda,Rwanda,Nzaratsi,,,Kagame Chapitre IV,-2.1249,29.5575
Rwanda,Rwanda,Rucunshu,,Musinga stages coup here 1897,Vansina 2004 166,-2.1092,29.7959
Rwanda,Rwanda,Bubazi,,Fete de premice 1885,Kagame v.2 19,-2.0862,29.4319
Rwanda,Rwanda,Gitarama,,,Kagame Chapitre IV,-2.0761,29.7551
Rwanda,Rwanda,Rubengara,,important residence; Frequent site of harvest festival; base for expeditions towards lake,Vansina 2012 226,-2.0386,29.3998
Rwanda,Rwanda,Munyaga,,Military camp here facing Gisaka,Vansina 2004 119,-2.018927,30.459174
Rwanda,Rwanda,Gitwiko,,Court here in early 1800s,Kagame v1 175,-2.001,29.8247
Rwanda,Rwanda,Ijuru rya Kamonyi,approximate,"Rwogera establishes spirit cult here, army also based here",Vansina 2004 151,-1.998672,29.904893
Rwanda,Rwanda,Kamonyi,,"capital in 18th century, remains important",Vansina 2004 111,-1.9914,29.9048
Rwanda,Rwanda,Mont Kigali,,royal residence under Rwabugiri; administered by wife Nyirandabaruta,Niyitegeka 2015 54,-1.9557,30.034
Rwanda,Rwanda,Runda,,Residence buolt here under Yuhi V ~1897; he is enthroned here,Kagame v.2 129,-1.9555,29.9445
Rwanda,Rwanda,Rwamagana,,"Royal residence; fete de premice 1886; some rebellion in 1880s, but king crushes",Kagame v.2 71,-1.9487,30.4347
Rwanda,Rwanda,Gihara,,Court here when Rubaba is a boy,Kagame v1 177,-1.9431,29.9634
Rwanda,Rwanda,Kinyaga,,Moruning ceremony for Kigeli IV here,Kagame v.2 107,-1.922513,30.148364
Rwanda,Rwanda,Gatovu,,Court here under Mibambwe IV,Kagame v.2 71,-1.8921,30.21
Rwanda,Rwanda,Bumbogo,,"one of the small pre-Nyiginya dynasties, near Kigali, that was untied into the Rwanda kingdom; later becomes ritual site",Newbury 292,-1.8805,30.1517
Rwanda,Rwanda,Kageyo,,important residence,Vansina 2012 226,-1.868889,29.593611
Rwanda,Rwanda,Nkuzuzu,,King's residence,Kagame v1 162,-1.8614,30.1734
Rwanda,Rwanda,Ngara,,Fete de Premise 1862; Roi marries woman from this area,Kagame v.2 37,-1.8353,30.0874
Rwanda,Rwanda,Nduga,Akanduga,original home of the royal court ,Newbury 292,-1.7984,29.8117
Rwanda,Rwanda,Gasabo,,Fete de Premise 1862; Roi marries woman from this area,Kagame v.2 37,-1.793846,30.140546
Rwanda,Rwanda,Budaha,,,Rennie map 2,-1.7488,29.3103
Rwanda,Rwanda,Rutare Massif,placed at Rutare,"Mythical burial site of kings, including Mutara II in 1853",Vansina 2004 119,-1.7272,30.1721
Rwanda,Rwanda,Kiyenzi,,Cemetary of Mwami Yuhis,Kagame v1 190,-1.703333,29.933611
Rwanda,Rwanda,Bukonya,Buyoga,,Rennie map 2,-1.689646,30.014512
Rwanda,Rwanda,Bugoyi,,village that developed because of Rwandan expansion ,Newbury 300,-1.6888,29.2589
Rwanda,Rwanda,Mutara,,,Rennie map 2,-1.6442,29.9606
Rwanda,Rwanda,Gatsibo,,important residence,Vansina 2012 226,-1.5946,30.2251
Rwanda,Rwanda,Buyaga,,,Rennie map 2,-1.5935,29.9137
Rwanda,Rwanda,Buhoma,Kabuhoma,,Rennie map 2,-1.5854,29.7456
Rwanda,Rwanda,Mubari,Mayange,,Rennie map 2,-1.5485,30.2186
Rwanda,Rwanda,Kigarama,,Residence established here in 1870s,Kagame v.2 53,-1.5248,29.6949
Rwanda,Rwanda,Mata,Murera in north,royal residence under Rwabugiri; administered by wife Nyambibi; fete de Premice here in 1876,Niyitegeka 2015 54,-1.489,29.6799
