Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madgacascar,Sakalava,Mailaka-Ambngo,Baly,,sub-king here,Knietz 46,-16.06667,45.26667,
Madgacascar,Sakalava,Mailaka-Ambngo,Besalampy,,royals here,Ballarin 228,-16.74456502,44.49088963,
Madgacascar,Sakalava,Mailaka-Ambngo,Maintirano,,economic center,Knietz 53,-18.15,44.03333,
Madgacascar,Sakalava,Mailaka-Ambngo,Manomba,,royal burial site,Knietz 48,-17.89128,44.02144,
Madgacascar,Sakalava,Mailaka-Ambngo,Milanja,,sub-king here,Knietz 47,-16.58333,45,
Madgacascar,Sakalava,Mailaka-Ambngo,Tambohorano,,economic center,Knietz 53,-17.507,43.952,
Madgacascar,Sakalava,Mailaka-Ambngo,Vilanandro,,relic cult here,Knietz 54,-16.51667,45.43333,
Madgacascar,Sakalava,Mailaka-Ambngo,Analalava,,royals here,Ballarin 227,-17.03333,44.96667,
Madgacascar,Sakalava,Mailaka-Ambngo,Andrahomano,Namoroka,royals here,Ballarin 228,-16.4,45.28333,approximate
Madgacascar,Sakalava,Mailaka-Ambngo,Andohobe,,royals here,Ballarin 228,-17.05,44.58333,
Madgacascar,Sakalava,Mailaka-Ambngo,Andonaka,Sahandrona,royals here,Ballarin 228,-16.41667,44.96667,approximate based on map
Madgacascar,Sakalava,Mailaka-Ambngo,Sitampiky,,royals here,Ballarin 228,-16.66667,46.1,
Madgacascar,Sakalava,Mailaka-Ambngo,Beledoka,,royals here,Ballarin 228,-16.20214554,44.66937366,
Madgacascar,Sakalava,Mailaka-Ambngo,Anjia,,royals here,Ballarin 228,-18.23333,44.06667,
Madgacascar,Sakalava,Mailaka-Ambngo,Ranobe,,royals here,Ballarin 228,-17.21667,44.28333,
Madgacascar,Sakalava,Mailaka-Ambngo,Ampoza,,royals here,Ballarin 228,-17.51667,44.4,
