Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Antognibe Anabo,,royal doany here,Feely Harnick 107,-15.11667,47.4,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Ambomiadiana,,early doany,Feely Harnick 99,-14.76667,47.65,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Amalalava,,royal doany here,Feely Harnick 107,-14.63333,47.75,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Nosy Lava,,southern Bemihisatra here,Feely Harnick 101,-14.56667,47.61667,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Maromandia,,royals here,Feely Harnick 262,-14.21667,48.08333,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Ampasindava,,royals here,Feely Harnick 98,-14.16667,47.81667,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Ambanja,,royals here,Dupre 35,-13.669,48.453,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Ambatoharanana,,royal burial grown,Feely-Harnick 1991,-13.53333,48.68333,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Mahatsinjo,near Hell-Ville,royal settlement,Feeley-Harnik 100,-13.39922,48.26375,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Nosy Faly,,sacredisland,Dupre 35,-13.31667,48.46667,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Ambilobe,,main city,Dupre 35,-13.20112888,49.04346039,
Madgacascar,Sakalava_Bemihisatra,Bemihisatra,Ankazomborona,,welathy settlement,Dupre 35,-13.36439143,48.81104069,approximate
