Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madgacascar,Sakalava_Menabe,Menabe,Mahabo,,garrison,Goedefroit 123,-20.38019,44.66668,
Madgacascar,Sakalava_Menabe,Menabe,Ankiriibe,,lieu de culte,Goedefroit 32,-20.36667,44.33333,approximate based on map
Madgacascar,Sakalava_Menabe,Menabe,Morondava (Lovobe),,garrison,Goedefroit 123,-20.29842103,44.29125205,
Madgacascar,Sakalava_Menabe,Menabe,Ilaza,,capitals,Goedefroit 149,-20.28333,44.81667,
Madgacascar,Sakalava_Menabe,Menabe,Maneva Ankoraky,,capitals,Goedefroit 149,-20.28333,44.6,
Madgacascar,Sakalava_Menabe,Menabe,Lazara,,lieu de culte,Goedefroit 32,-20.25,44.35,approximate based on map
Madgacascar,Sakalava_Menabe,Menabe,Tsiarampioky,,lieu de culte,Goedefroit 32,-20.18251604,44.37599422,approximate based on map
Madgacascar,Sakalava_Menabe,Menabe,Bevilo,,burial site,Goedefroit 138,-19.7,44.65,
Madgacascar,Sakalava_Menabe,Menabe,Belo-sur-Tsiribihana,,,,-19.69787,44.54587,
Madgacascar,Sakalava_Menabe,Menabe,Miandrivazo,,garrison,Goedefroit 123,-19.53564578,45.45897954,
Madgacascar,Sakalava_Menabe,Menabe,Ambohimanga du Sud,,capital,Covell 141,-19.06667,44.66667,
