Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Saloum,Independent village,Barkedji,,Influential Drame family here,Ba 8,13.94628,-15.69048
Senegal,Saloum,Independent village,Baytite,,Influential Drame family here,Ba 8,14.017518,-15.65949
Senegal,Saloum,Independent village,Boffi,,Autonomous chief here,Ba 7,13.988628,-15.441569
Senegal,Saloum,Diokoul,Diokoul,,Sub-Bour here,Ba 6,14.258692,-16.192246
Senegal,Saloum,Gandiaye,Gandiaye,,Sub-Bour here,Aujas 301,14.242929,-16.271158
Senegal,Saloum,Kahone,Kahone,,Capital,Ba 7,14.158076,-16.035126
Senegal,Saloum,Independent village,Katakel,,Autonomous chief here,Ba 7,14.01934,-15.478605
Senegal,Saloum,Independent village,Kathiotte,,Autonomous chief here,Ba 7,13.949785,-15.405324
Senegal,Saloum,Independent village,Katiawane,,Autonomous chief here,Ba 7,13.933318,-15.494
Senegal,Saloum,Kayemor,Kayemor,,"Sub-Bour here, always from Ndiaye family",Aujas 302,13.77017,-15.586123
Senegal,Saloum,Kouthia,Kouthia,,Residence of a minor chief,Ba 7,13.952995,-15.183345
Senegal,Saloum,Langhem,Mbamb Laghem,,Head of Langhem Province,Ba 7,13.955091,-15.988489
Senegal,Saloum,Langhem,Mbodaye,,Village commanded by Bour's wife,Aujas 299,13.931073,-16.179776
Senegal,Saloum,Independent village,Ndemene,,Autonomous chief here,Ba 7,13.838145,-15.762957
Senegal,Saloum,Independent village,Ndiot,,Autonomous chief here,Ba 7,14.307752,-15.296335
Senegal,Saloum,Independent village,Ndioudiene,,Autonomous chief here,Ba 7,13.991472,-15.475279
Senegal,Saloum,Ndoukoumane,Kaffrine,,Sub-Bour (Belleup) resides here,Aujas 301,14.102021,-15.546243
Senegal,Saloum,Kahone,Nganieck,,Sub-Bour here; always a royal Sereer,Aujas 302,14.340856,-15.983863
Senegal,Saloum,Mandakh,Nguer,Nguer Mandakh,"Village of Bamban, close associate of Bour",Ba 4,13.917049,-15.25367
Senegal,Saloum,Paffa,Paffa,,"important, prosperous village ",Ba 7,14.238729,-15.087171
Senegal,Saloum,Langhem,Tiariak,,Principle Farba here,Ba 7,13.759625,-15.971561
Senegal,Saloum,,Sibassor,,Cultes politique (libations for king),Becker and Martin  42,14.20888,-16.155328
Senegal,Saloum,Log,Mbassis,,Commander of Log Province here,Ba 6,14.08333,-16.43333
Senegal,Saloum,Djilor,Djilor,"was capital of royaume Diognick, absorbed into Saloum","Bour Joonik here; more autonomy than others; was capital of royaume Diognick, absorbed into Saloum",Klein 17,14.057224,-16.334508
Senegal,Saloum,Djilor,Siwo,,Depends on Saloum via Djilor,Martin and Becker 23,13.91063,-16.6514126
Senegal,Saloum,Djilor,Niodior,,Depends on Saloum via Djilor,Martin and Becker 16,13.856718,-16.723868
Senegal,Saloum,Djilor,Djirnda,,Depends on Saloum via Djilor,Martin and Becker 20,13.977417,-16.607853
Senegal,Saloum,Djilor,Bassar,,Depends on Saloum via Djilor,Martin and Becker 24,13.919104,-16.607432
Senegal,Saloum,Djilor,Ngadior,,Depends on Saloum via Djilor,Martin and Becker 25,13.9598059,-16.588512
Senegal,Saloum,Djilor,Diogane,,Depends on Saloum via Djilor,Martin and Becker 27,13.900618,-16.64794
Senegal,Saloum,Koular,Koular,,Capital of Koular Province,Ba 5,13.689807,-16.173389
Senegal,Saloum,Paffa,Tag,,important village,Ba 7 ,14.26707,-14.997407
Senegal,Saloum,Langhem,Diagnel,,Important village,Ba,14.0214476,-16.030939
Senegal,Saloum,Diafe,Diafe-Diafe,,Administered by Buur Djilor,Ba 6,13.891272,-16.327316
Senegal,Saloum,Independent village,Ouanar,,Autonomous chief here,Ba 5,13.871954,-15.610319
Senegal,Saloum,Langhem,Selik,,Buur often chosen from Farba in this village,Ba 7,13.970443,-15.916464
Senegal,Saloum,Langhem,Thiofior,,Buur often chosen from Farba in this village,Ba 7,14.01667,-16.15
Senegal,Saloum,Langhem,Tandabar,,Buur often chosen from Farba in this village,Ba 7,13.899566,-15.976318
Senegal,Saloum,Langhem,Ndoffane,,Buur often chosen from Farba in this village,Ba 7,13.919349,-15.924937
