Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cote d'Ivoire,Sanwi,Aboisso,, major commercial center,Mundt 151,5.467794,-3.207111
Cote d'Ivoire,Sanwi,Aby,,Official here ,Horowitz 258,5.305022,-3.16916
Cote d'Ivoire,Sanwi,Adaou,,warriors here,Horovitz 353,5.427834,-3.264433
Cote d'Ivoire,Sanwi,Adjouan,,important town,Horovitz 30,5.309949,-3.152315
Cote d'Ivoire,Sanwi,Afienou,,gold producing region,Horovitz 281,5.411185,-2.924785
Cote d'Ivoire,Sanwi,Assini,,key coastal trading center,Horovitz 30,5.133843,-3.290962
Cote d'Ivoire,Sanwi,Assomlam,,,Horovitz xi,5.200388,-3.295546
Cote d'Ivoire,Sanwi,Assouba,,military leader here,Horovitz 29,5.459557,-3.25653
Cote d'Ivoire,Sanwi,Ayame,,military leader here,Horovitz 29,5.605204,-3.157086
Cote d'Ivoire,Sanwi,Bafia,,Early Anyi implantation,Horovitz 343,5.538909,-2.990233
Cote d'Ivoire,Sanwi,Bianouan,,traders camp,Horovitz 165,6.012028,-3.190244
Cote d'Ivoire,Sanwi,Dibi,,Early Anyi implantation,Horovitz 343,5.657744,-2.978453
Cote d'Ivoire,Sanwi,Ebikro,,,Horovitz xi,5.724997,-3.110986
Cote d'Ivoire,Sanwi,Eyhya,,Fief of one of three major clans,Horovitz 29,5.58803,-2.97709
Cote d'Ivoire,Sanwi,Ketesso,,,Horovitz xi,5.877962,-3.174071
Cote d'Ivoire,Sanwi,Knakro,Kouakro,Fief of one of three major clans,Horovitz 29,5.444,-2.90642
Cote d'Ivoire,Sanwi,Koffikro,,,Horovitz xi,5.40755,-3.380233
Cote d'Ivoire,Sanwi,Kotoka,,Early Anyi implantation,Horovitz 343,5.542812,-2.869117
Cote d'Ivoire,Sanwi,Krinjabo,,royal capital,Mundt 150,5.397326,-3.213569
Cote d'Ivoire,Sanwi,Mafere,,important town,Horovitz 30,5.415102,-3.030058
Cote d'Ivoire,Sanwi,Mooua,,,Horovitz xi,5.149152,-3.122508
Cote d'Ivoire,Sanwi,Mpossa,,gold producing region,Horovitz 281,5.483333,-2.85
Cote d'Ivoire,Sanwi,Toliesso,,gold producing region,Horovitz 313,5.5,-2.9
Cote d'Ivoire,Sanwi,Eboue,,important town,Horovitz 44,5.34407,-3.1255
