Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
South Sudan,Shilluk,,Akurwa,Akuruwar,Principle provicincial shrine for Nyikang,Evans-Pritchard 26,10.541281,32.103797
South Sudan,Shilluk,,Detang,,Royal Shrine here,Schnepel 55,9.589813,31.669999
South Sudan,Shilluk,,Didigo,,Sacred village,Westerman XLII,9.406389,31.568889
South Sudan,Shilluk,,Fadiang,,head of royal clan lives here,Schnepel  51,9.862997,32.047126
South Sudan,Shilluk,,Fanyikang,,Traditional home of Nyikang,Evans-Pritchard 29,10.194793,32.261693
South Sudan,Shilluk,,Fashoda,Kothok/Kodok,Spiritual capital; enthronizaton here,Evans-Pritchard 23,9.840456,32.0151
South Sudan,Shilluk,,Golbany/GolBainy,,Chief is elector representing the North,Evans-Pritchard 23,9.852093,32.021724
South Sudan,Shilluk,,Kaka,,largest norhtern settlement; main trade center,Mercer p. 420,10.578802,32.151555
South Sudan,Shilluk,,Kwom Debalo,,Chief is elector representing the South,Evans-Pritchard 23,9.793219,31.928273
South Sudan,Shilluk,,Nyelwal,Nyelwag?,Sacred village,Westerman XLII,9.42259,31.266272
South Sudan,Shilluk,,Nyibodo,,Sacred village,Westerman XLII,9.499009,30.995569
South Sudan,Shilluk,,Tonga,Placed at Abu Tong,Chief is elector; market,Evans-Pritchard 24,9.452248,31.141677
South Sudan,Shilluk,,Wau,"[not in Bahr Ghazal province, this one is on left bank of white nile between Taufikia and Kodok""",Sacred village,Westerman XLII,9.669136,31.710511
