Country,Kingdom,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Shewa,,Abakanan,,market town,Hericourt map,,,
Ethiopia,Shewa,,Abdel-Rassul,,marjor slave market,Darkwah 308,9.52826,39.81663,approximate location based on Hericourt map
Ethiopia,Shewa,,Addis Ababa,,"Menelik's first permanent capital, 1886 onwards",Yates 194,9.024902,38.764141,
Ethiopia,Shewa,,Afqara,,Fortress here,Darkwah 227,,,in Manz
Ethiopia,Shewa,,Agancha,,provincial subdivision,Ege 152,10.356133,39.772746,
Ethiopia,Shewa,,Aleyu Amba,,market town,Darkwah 220,9.567949,39.795739,
Ethiopia,Shewa,,Amad-Washa,,,Ege 261,10.32833,39.56601,placed at Amed Guya - approximate location
Ethiopia,Shewa,,Anduwodi,Anduodi,important market integrated by Sahle Selassie,Abir 155,9.435937,39.521058,placed at Anduod Uascia
Ethiopia,Shewa,,Angolala,,fortified royal village,Abir 153,9.63835,39.43079,
Ethiopia,Shewa,,Ankober,,"capiutal of Asfa Wossen, buried here",Abir 151,9.58532,39.74021,
Ethiopia,Shewa,,Argobba,,eastern frontier market,Darkwah 320,9.5,39.95,
Ethiopia,Shewa,,Beru Meda,Bero?,religious center,Marcus 57,10.968725,39.790796,
Ethiopia,Shewa,,Bollo Warqe,,market here,Pankhurst 1968a 24,,,
Ethiopia,Shewa,,Ch'ach'a,,Chief here in 1840s; foritied village,Ege 166,9.535151,39.456705,
Ethiopia,Shewa,,Ch'anno,Cheno,,,9.700891,39.9082,
Ethiopia,Shewa,,Chakka,,important market integrated by Sahle Selassie,Abir 155,,,
Ethiopia,Shewa,,Charqos,,,Ege 261,9.64808,39.36567,
Ethiopia,Shewa,,Cholie,,provincial garrison established here under Sahle Selassie,Darkwah 368,9.33333,39.16667,in Sodda Country; placed at Chiollie hills
Ethiopia,Shewa,,Dabra Libanos,,Monastery here,,9.711997,38.847195,
Ethiopia,Shewa,,Dandy,,provincial garrison town est 1870s,Darkwah 369,,,
Ethiopia,Shewa,,Dawete,,Chief here in 1840s,Ege 166,,,
Ethiopia,Shewa,,Day,,,Ege 261,9.70434,39.31945,
Ethiopia,Shewa,,Dayer,,Stronghold in Geshe ,Ege 27,10.46667,39.5,placed at church - corresponds to map location
Ethiopia,Shewa,,Debre Berhan,,early capital; important market,Abir 153,9.679634,39.532628,
Ethiopia,Shewa,,Dessie,,,,11.133333,39.633333,
Ethiopia,Shewa,,Dida,,new Katama in Arussi conquered in 1886,Marcus 89,9.049812,39.693538,? In Arussi
Ethiopia,Shewa,,Dinnomale,,customs office here at frontier; caputres Harar trade,Ege 173,,,
Ethiopia,Shewa,,Djarso,,small market town,Darkwah 295,10.05,38.3,in NW province of Marabitie
Ethiopia,Shewa,,Doqaqit,,capital of Ammehayes ,Abir 147',9.807778,39.824957,approximate location based on map in Yates p. 154
Ethiopia,Shewa,,Efrata,,Chief here in 1840s,Ege 165,,,
Ethiopia,Shewa,,Enawari,,Katama in Wallo province founded here under Menelik in late 1860s,Marcus 35,9.892401,39.146486,?
Ethiopia,Shewa,,Ensarro,,Chief here in 1840s,Ege 167,9.916667,38.916667,
Ethiopia,Shewa,,Entoto,,Menelik has capital here,Yates 194,9.1,38.7,
Ethiopia,Shewa,,Fare,,fontier town,Marcus 46,9.616667,39.9,
Ethiopia,Shewa,,Fekerie Ghemb,Fekerie Ghemt,Fortress here,Darkwah 227,,,
Ethiopia,Shewa,,Fel Amba,,Chief here in 1840s,Ege 166,,,
Ethiopia,Shewa,Abba Moalle,Gerar,,old capital,Ege 92,9.766667,38.71666,approximate location
Ethiopia,Shewa,,Geshé,,Chief here in 1840s,Ege 166,10.487704,39.590623,
Ethiopia,Shewa,,Giddem,,eastern frontier market,Darkwah 320,10.366614,39.819321,
Ethiopia,Shewa,,Gonchu,,prison containing male relatives of king here,Abir 165,,,
Ethiopia,Shewa,,Hanna-Maryam,,provincial subdivision,Ege 152,,,
Ethiopia,Shewa,,Har Amba,,Grave of king Abbiye here; royal residence,"Abir 147, 167",9.68272,39.80194,
Ethiopia,Shewa,,Imelel,,important market integrated by Sahle Selassie,Abir 155,,,
Ethiopia,Shewa,,Islam Amba,,Chief here in 1840s,Ege 167,,,
Ethiopia,Shewa,,Ketem Wayra,,Chief here in 1840s,Ege 165,,,
Ethiopia,Shewa,,Korogasso,,market here,,8.75,39.85,
Ethiopia,Shewa,,Leguemier,Lege ber,,,9.1,38.96667,
Ethiopia,Shewa,,Liche,Litche,early capital; important market,,9.731317,39.575476,
Ethiopia,Shewa,,Mafud,,,,9.90605,39.84494,
Ethiopia,Shewa,,Mamameder,,Chief here in 1840s,Ege 166,,,
Ethiopia,Shewa,,Mangest,,Chief here in 1840s,Ege 165,10.010546,39.83699,
Ethiopia,Shewa,,Manz,,Chief here in 1840s,Ege 165,10.25,39.5,
Ethiopia,Shewa,,Marhabete,,Chief here in 1840s,Ege 165,,,
Ethiopia,Shewa,,Masset,,,,9.479423,39.299663,
Ethiopia,Shewa,,Mazerazer,,Chief here in 1840s,Ege 165,9.793852,39.613372,
Ethiopia,Shewa,,Menjar,,Chief here in 1840s,Ege 166,9.933333,38.516667,
Ethiopia,Shewa,,Messer Meder,,Chief here in 1840s,Ege 166,9,39.05,approx location based on BNS map FO925/2991
Ethiopia,Shewa,,Mogher,,important market integrated by Sahle Selassie,Abir 155,,,
Ethiopia,Shewa,,Morat,,Chief here in 1840s,Ege 165,9.80063,39.22953,approximate location based on BNS FO 925/2991
Ethiopia,Shewa,,Qaya,,Chief here in 1840s,Ege 166,,,
Ethiopia,Shewa,,Qembebit,,Chief here in 1840s,Ege 165,,,
Ethiopia,Shewa,,Qundi,,"capital of Wossen Segged, dies 1813",Abir 152,9.66476,39.74763,
Ethiopia,Shewa,,Roggi,Roggie,important market integrated by Sahle Selassie,Abir 155,8.914421,38.938751,approximate location based on mountain in hericourts map
Ethiopia,Shewa,,Salla Dengay,,residence of queen mother; governor of Manz province,Ege 175,9.95433,39.63079,
Ethiopia,Shewa,,Sayo,,provincial garrison town,Darkwah 369,9.583333,38.616667,in Wallaga
Ethiopia,Shewa,,Sellalle,,small market town,Darkwah 295,9.68333,38.13333,
Ethiopia,Shewa,,Sene markos,Zena markos,Monastery here,,9.885685,39.073196,
Ethiopia,Shewa,,Tamo,,most amba in Shoa,Marcus 52,,,
Ethiopia,Shewa,,Tegulet Malade,,provincial captial,,9.85,39.6,
Ethiopia,Shewa,,Tolli,,small market town,Darkwah 295,9.81667,38.55,
Ethiopia,Shewa,,Warra Ilu,Warra Hailu,Katama in Wallo province founded here under Menelik in late 1860s,Marcus 35,10.58964,39.43767,
Ethiopia,Shewa,Abba Moalle,Wojiddi,,new capital,Ege 92,9.833333,38.61666,approximate location
Ethiopia,Shewa,,Yefat,,Chief here in 1840s,Ege 167,,,
Ethiopia,Shewa,,Mamrat,,treasury here,Pankhurst towns 278,,,
Ethiopia,Shewa,,Mitaq,Metak?,residence of king's heirs,Pankhurst towns 294,9.988356,39.478308,
Ethiopia,Shewa,,Mugar Gadam,,important monastery,Encyclopedia v. 3 1039,9.6,38.5,
Ethiopia,Shewa,Ifat,Fursi,,placeholder for Oromo areas incorporated under Sahla Selasse,Encyclopedai Aethiopia v. 5 40,10.49862818,40.03491885,
Ethiopia,Shewa,,Mida,,governor here,Encyclopedai Aethiopia v. 4 951,10.29615379,39.13776879,
Ethiopia,Shewa,,Fiche,,Ras Darge Sahal Sellase rules from here from 1870s on,Encyclopedai Aethiopia v. 2 515,9.616667,38.8,
