Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Sine,,Ndagane,,Cultes politique (libations for king),Becker and Martin  12,14.074384,-16.690855
Senegal,Sine,,Mbissel,,Important shrine here; also founding capital,Aujas 304,14.144149,-16.745238
Senegal,Sine,,Fadiouth,,Major salt center; becomes French trading post,Curtin 226,14.158077,-16.837285
Senegal,Sine,,Djilass,,"Saa Jilaas,notable, here",Becker et al. 130,14.250705,-16.633379
Senegal,Sine,,Diongolor,,Former capital,Sarr 22,14.342663,-16.458356
Senegal,Sine,,Poukham Tok,,Cultes politique (libations for king),Becker and Martin  12,14.35,-16.35
Senegal,Sine,,Ngowe,Ngohe,Jaraaf resides here,Becker et al. 154,14.371994,-16.619529
Senegal,Sine,,Ndoffane,,Royal village,Sarr 48,14.394259,-16.562698
Senegal,Sine,,Ndilem Farba,,Farba here,Becker et al. 54,14.407637,-16.307021
Senegal,Sine,,Sobem,,Grand Jaraaf,Becker et al. 282,14.408575,-16.470925
Senegal,Sine,,Djilassem,,royal dependency,Richard 659,14.418333,-16.293146
Senegal,Sine,,Sanghaie,,Former capital; tomb of former Bour here,Aujas 304,14.433658,-16.362831
Senegal,Sine,,Maroneme,,Cultes politique (libations for king),Becker and Martin  11,14.45218,-16.282325
Senegal,Sine,,Diakhao,,Capital,Sarr,14.462884,-16.289841
Senegal,Sine,,Diadiel,,Cultes politique (libations for king); part time residence of old king,Becker and Martin  11,14.474137,-16.26103
Senegal,Sine,,Niakhar,,Village commanded by Linguere; king's eldest sister,Bourgeau 17,14.479252,-16.399787
Senegal,Sine,,Ngane Fissel,,Cultes politique (libations for king),Becker and Martin  17,14.499161,-16.441831
Senegal,Sine,,Diohine,,Cultes politique (libations for king),Becker and Martin  19,14.502818,-16.501678
Senegal,Sine,,Tela Yargouy,,Grand Farba ,Becker et al. 256,14.5229615,-16.3112622
Senegal,Sine,,Ngayokehme,,Chief Lam Diafaitche based here,Aujas 30,14.534881,-16.4348
Senegal,Sine,,NDIOB,,Sandingue Ndiob based here,,14.543543,-16.25494
Senegal,Sine,,Patar,,Bour Patar elector for Bour,Aujas 300,14.564776,-16.381402
