Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Tanzania,Swahili_Zanzibar,Kisimani Mafia,,,Horton and Middleton,-7.907017,39.668919
Tanzania,Swahili_Zanzibar,Pemba,,,Horton and Middleton,-5.089995,39.81806
Tanzania,Swahili_Zanzibar,Quilao,Kilwa,,Horton and Middleton,-8.95969,39.500671
Tanzania,Swahili_Zanzibar,Zanzibar,,,Horton and Middleton,-6.163101,39.197662
Tanzania,Swahili_Zanzibar,Mbwamaji,,,Davidson p. 143,-6.86563,39.415637
Tanzania,Swahili_Zanzibar,Bagamoyo,,,Davidson p. 143,-6.443471,38.904521
Tanzania,Swahili_Zanzibar,Pangane,,,Davidson p. 143,-5.42628,38.976318
Tanzania,Swahili_Zanzibar,Tanga,,,Davidson p. 143,-5.072156,39.10204
Tanzania,Swahili_Zanzibar,Lindi,,,Davidson p. 143,-9.995286,39.714662
Tanzania,Swahili_Zanzibar,Mikidani,,,Davidson p. 143,-10.278962,40.111339
