Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Uganda,Toro,Katwe,,salt works here,Tumwine 65,-0.146049,29.885917
Uganda,Toro,Kasenyi,,"salt works here - Correct for -0.031901, 30.145906",Tumwine 65,-0.031969,30.149388
Uganda,Toro,Kanyampara,,Base for over a year in attempt to control salt marshes,Ingham map 2,0.04985,29.8501
Uganda,Toro,Nyakitojo,Kitojo,"land given to another son of the king, Mugenyi ",Wilson 6,0.11575,29.76743
Uganda,Toro,Kabukero,Mubuku,another place where Kaboyo moved the royal palace,Wilson 17,0.26912,30.10172
Uganda,Toro,Nyagwaki,Bugoye,another place where Kaboyo moved the royal palace,Wilson 17,0.311293,30.092946
Uganda,Toro,Buhesi,,Kaboyo moved the royal palace here,Wilson 17,0.579918,30.195414
Uganda,Toro,Kazingo,,cattle breeding village ,Wilson 8,0.653845,30.170151
Uganda,Toro,Njara,,fort city,Wilson 16,0.66572,30.30182
Uganda,Toro,Butiti,,Kasagama's capital in 1890s,,0.660542,30.522346
Uganda,Toro,Buhinga,Fort Portal,place where Òmany Banyoro were cut to pieces,Wilson 16,0.657612,30.276871
Uganda,Toro,Kabarole,,village where the Toro kingdom held its ground against the Bunyoro and prevented them from taking territory; later Kasagama's capital,Wilson 16,0.589944,30.2546
Uganda,Toro,Myeri,Kikoroba,"village where the son of Kyebambe III Nyamatukura, Kaboyo, was sent to live ",Wilson 6,0.678696,30.661378
Uganda,Toro,Rusekerre,,,Ingham map 2,0.730083,30.376707
Uganda,Toro,Bundibgyo,Bundibugyo,Toro city taken by the rival Baamba group ,Piroulet 49,0.740003,30.038959
Uganda,Toro,Mwaro,,"the final place where Kaboyo moved the royal palace, where he spent most of his time as king ",Wilson 17,0.744203,30.71012
Uganda,Toro,Kyorusozi,Kyarusozi,"land given to another son of the king, Mugenyi ",Wilson 6,0.768463,30.551251
