Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Mali,Umarian,Macina,Alakanda,,,AF//354,14.219698,-3.609287,
Mali,Umarian,Macina,Attara,,,AF//354,15.6621,-4.3523,
Mali,Umarian,Segou,Baguinta,,,4PL/5,12.6129,-7.7734,
Mali,Umarian,Macina,Bambara Maounde,,Site of garrison,"Ba and Daget, p. 70",15.852072,-2.786043,
Mali,Umarian,Segou,Bambougou,,garisson of chef de sofas,Niakite p. 45,13.632486,-6.089995,
Mali,Umarian,Segou,Banamba,,,AF//269,13.215627,-6.477708,
Mali,Umarian,,Banamba,,,Djata xiii,13.547732,-7.448079,
Mali,Umarian,Macina,Bandiagara,,,de Bruijn and Van Dijk p. 220,14.347998,-3.608787,
Mali,Umarian,Macina,Bani,,,"Ba and Daget, p. 225",16.251117,-3.182847,
Mali,Umarian,Segou,Baraweli,,,Djata p. xi,13.077,-6.8312,
Mali,Umarian,Macina,Bargue,,,AF//354,14.791198,-3.061987,
Mali,Umarian,Segou,Bassi,,,Philippe p. 39,13.196479,-7.129476,
Mali,Umarian,kaarta,Biru,,,Robinson,15.066571,-9.919315,
Mali,Umarian,Segou,Bla,,,AF//388,12.964277,-5.779101,
Mali,Umarian,Segou,Bobala,,,AF//274,12.215897,-7.432425,
Mali,Umarian,Segou,Boghe,,Market,4PL/5,13.2142,-6.8695,
Mali,Umarian,Macina,Bolimba,,,AF//354,14.241298,-3.880687,
Mali,Umarian,Macina,Booni,,Poste de surveillance,de Bruijn and Van Dijk p. 220,15.076582,-2.219758,
Mali,Umarian,Macina,Borð,,,AF//354,15.133333,-3.483333,
Mali,Umarian,Macina,Boumban,,,de Bruijn and Van Dijk p. 220,15.088551,-2.630839,
Mali,Umarian,Macina,Boumbou,,,AF//354,14.434698,-3.232287,
Mali,Umarian,Macina,Bubani Kani,,,de Bruijn and Van Dijk p. 220,15.358102,-1.88233,
Mali,Umarian,Segou,Buguni,,,Philippe p. 39,13.1689,-6.7792,
Mali,Umarian,Segou,Dakala,,,Bazin p. 144,13.3182,-6.2437,
Mali,Umarian,kaarta,Damfa,,headquarters of conquered group,Djata xiii,14.151,-7.4977,
Mali,Umarian,Macina,Danga,,,AF//305,16.4677117,-3.135992153,
Mali,Umarian,Segou,Dansobougou,,,AF//388,13.262369,-6.114971,
Mali,Umarian,Segou,Darani,,,4PL/5,12.4012,-7.7606,
Mali,Umarian,Macina,Dari,,,"Ba and Daget, p. 203",15.4793,-3.4002,
Mali,Umarian,Macina,Dart,,,"Sanankoua, prefix",15.9153,-3.5965,
Mali,Umarian,Macina,De,,,AF//354,14.776902,-3.257807,
Mali,Umarian,,Dedougou,,stop on route to Segou,Oloruntimehin 65,13.55,-7.133333,
Mali,Umarian,Segou,denenbugu,,,Kesselroot p. 600,13.695534,-6.581304,
Mali,Umarian,Macina,Diafrabe,,New villages in Maasina Province,"Sanankoua, p. 66; AF//305",14.14371839,-5.014894761,
Mali,Umarian,,Diagana,,stop on route to Segou,Oloruntimehin 65,14.6463,-9.4963,
Mali,Umarian,kaarta,Diagounte,,Umarian Garrison,Hanson 1990 202,14.2991,-10.0285,
Mali,Umarian,,Diaka,,,Oloruntimehin,13.662276,-5.038069,
Mali,Umarian,Macina,Diakankore,,,AF//305,15.137,-4.2451,
Mali,Umarian,kaarta,Diala,,Umarian Garrison,Hanson 1990 202,14.2065,-10.1583,
Mali,Umarian,,Diangounte,,stop on route to Segou,Oloruntimehin 65,14.5448,-9.5127,
Mali,Umarian,Macina,Diankabo,,,AF//354,14.584398,-3.081287,
Mali,Umarian,Macina,Diantonka,,,AF//305,15.232,-4.1229,
Mali,Umarian,kaarta,Diara,,,"Monteil 1977, p. 4",15.317563,-9.321353,
Mali,Umarian,Macina,Digani,,,AF//305,14.288071,-4.581685,
Mali,Umarian,Segou,Digani,,,Bazin p. 144,13.498204,-6.316404,
Mali,Umarian,,Digna,,?,Oloruntimehin,14.719095,-8.275634,
Mali,Umarian,kaarta,Dindanko,,Umarian Garrison,Hanson 1990 202,14.125085,-9.50456,
Guinea,Umarian,,Dinguiraye,,First base of Tall from which wages Jihad,Ryer,11.28839442,-10.70993285,
Mali,Umarian,Segou,Dinnah,,,AF//269,13.04243,-7.345639,
Mali,Umarian,kaarta,Dioka,,,Robinson,14.8637,-10.0964,
Mali,Umarian,Macina,Diongouni,,,AF//305,14.208886,-4.735852,
Mali,Umarian,Macina,Dire,,,AF//305,16.257045,-3.401263,
Mali,Umarian,Macina,Djenne,,Capital of Jenneri Province; major trading center; Site of garrison,"Ba and Daget, p. 70; Sanankoua, p. 67",13.9045,-4.5599,
Mali,Umarian,Macina,Dogo,,,AF//354,14.1372,-3.6951,
Mali,Umarian,Segou,Dogoni,,,4PL/5,12.814469,-7.316805,
Mali,Umarian,Macina,Douentza,,Site of garrison,"Ba and Daget, p. 70",15.001554,-2.949781,
Mali,Umarian,Segou,Dougassou,,,AF//269,13.1243,-6.2687,
Mali,Umarian,Macina,Douma,,,de Bruijn and Van Dijk p. 220,14.915968,-2.854536,
Mali,Umarian,Segou,Dugu,,,Kesselroot p. 600,13.3727,-6.3698,
Mali,Umarian,Macina,Dya,,,Djata p. xii,14.348652,-4.961923,
Mali,Umarian,kaarta,Fanga,,,Robinson,15.004781,-10.418312,
Mali,Umarian,kaarta,Farabougou,,,Hanson p. 24,14.501502,-9.433125,
Mali,Umarian,,Farabougou,,?,Oloruntimehin,14.8921,-6.1414,
Mali,Umarian,Segou,Faraka,,,Kesselroot p. 600,13.4104,-6.3895,
Mali,Umarian,Segou,Farako,,,4PL/5,12.29813,-7.435792,
Mali,Umarian,Segou,Fogni,,,AF//269,13.3521,-6.889,
Mali,Umarian,Segou,Fougani,,Market,4PL/5,12.757606,-7.240153,
Mali,Umarian,Macina,Galdiouma,,,"Ba and Daget, p. 203",15.4208,-3.556,
Mali,Umarian,Segou,Gasi,,,Kesselroot p. 600,13.1747,-6.2559,
Mali,Umarian,kaarta,Gemu,,First Capital,Hanson p. 23,14.7384,-9.7249,
Mali,Umarian,kaarta,Geteme,,,Robinson,15.120746,-9.583056,
Mali,Umarian,Macina,Goundaka,,,AF//354,14.499798,-3.946487,
Mali,Umarian,Macina,Goundam,,Site of garrison,"Ba and Daget, p. 70",15.9032,-3.9576,
Mali,Umarian,Macina,Gouram,,,AF//305,15.3143,-4.0329,
Mali,Umarian,kaarta,Guemoukoura,,Umarian Garrison,Hanson 1990 202,14.26391,-9.320843,
Mali,Umarian,kaarta,Guessene,,,AF//269,15.165113,-10.699074,
Mali,Umarian,,Guigne,,,Djata xiii,14.1202,-8.1388,
Mali,Umarian,Macina,Gundaka,,Capitla of Kunaari province,"Sanankoua, p. 68",14.066031,-4.181182,
Mali,Umarian,Macina,Hamdallahi,,,Djata p. xii,14.32815,-4.100507,
Mali,Umarian,,Hofara,,?,Oloruntimehin,14.9979,-8.3423,
Mali,Umarian,Macina,Hombori/Humbori,,,Djata p. xii,15.278981,-1.700373,
Mali,Umarian,Macina,Hore Wendou,,,"Ba and Daget, p. 203",15.6611,-3.2106,
Mali,Umarian,Macina,Iowarou,,,AF//305,15.3684,-4.2628,
Mali,Umarian,Segou,Jesesbougou,,,Bazin p. 144,13.353231,-6.217093,
Mali,Umarian,,Jo,,,Djata xiii,12.802572,-8.243131,
Mali,Umarian,Macina,Joona,,,de Bruijn and Van Dijk p. 220,15.3273,-3.2343,
Mali,Umarian,Macina,Kabara,,,Djata p. xii,16.704308,-2.983019,
Mali,Umarian,Macina,Kaka,,site of major market,"Ba and Daget, p. 80",14.01085355,-4.259027206,
Mali,Umarian,Segou,Kala,,,Bazin p. 144,13.470643,-6.291172,
Mali,Umarian,Macina,Kala or Sokoto,,,Djata p. xii,14.611606,-4.628482,
Mali,Umarian,Segou,Kalake,,,AF//274,12.9657,-6.8487,
Mali,Umarian,Macina,Kamaka,,,AF//305,14.770014,-4.683171,
Mali,Umarian,,Kangaba,,major Umarian post,Robinson 1987,11.94011436,-8.413993165,
Mali,Umarian,Macina,Kanyume,,,de Bruijn and Van Dijk p. 220,15.7909,-3.1526,
Mali,Umarian,Macina,Karan,,,Djata p. xii,14.969291,-4.506303,
Mali,Umarian,kaarta,Karharo,,,Robinson,15.044865,-9.630843,
Mali,Umarian,Macina,Karsani,,,AF//354,15.476023,-3.16064,
Mali,Umarian,Segou,Kenienkou,,Segou town  Tal attacks,Niakite p. 49,13.10624,-7.243372,
Mali,Umarian,kaarta,Kerane,,Umarian Garrison,Hanson 1990 202,15.40845,-10.22252,
Mali,Umarian,kaarta,Khondie,,interim capital between Yelimane and Nioro,"Monteil 1977, p. 117",14.7885,-9.4445,
Mali,Umarian,Macina,Kikira,,,"Ba and Daget, p. 203",15.210789,-2.748255,
Mali,Umarian,kaarta,Kingui,Guingui,,AF//269,14.4605,-10.0171,
Mali,Umarian,Segou,Kobile,,,4PL/5,12.6858,-7.0393,
Mali,Umarian,Segou,Kodiala,,,AF//269,12.669693,-7.183311,
Mali,Umarian,Macina,Koenza,,,AF//354,15.058066,-3.874537,
Mali,Umarian,Segou,Koghe,,,AF//269,13.638092,-5.983245,
Mali,Umarian,Macina,Koma,,,AF//354,15.6503,-3.5393,
Mali,Umarian,kaarta,Koniakari,,,"Monteil 1977, p. 4",14.5797,-10.9012,
Mali,Umarian,Segou,Konina,,,4PL/5,12.737642,-7.452396,
Mali,Umarian,Segou,Konodimini,,,Bazin p. 144,13.3263,-6.4231,
Mali,Umarian,Macina,Korienza,,,AF//354,15.394306,-3.78176,
Mali,Umarian,Macina,KoriKori,,,AF//354,14.405998,-3.749787,
Mali,Umarian,Macina,Kotomou,,,"Ba and Daget, p. 94",13.946,-4.914,
Mali,Umarian,Macina,Koumoua,,,AF//305,14.902762,-4.60521,
Mali,Umarian,Macina,Koundiouli,,,AF//354,14.594998,-3.873887,
Mali,Umarian,Macina,Kourou,,,AF//354,15.6504,-3.8066,
Mali,Umarian,Macina,Koytou,,,AF//305,16.137026,-3.327308,
Mali,Umarian,Segou,Kulikoro,,,Philippe p. 39,12.8679219,-7.563453894,
Mali,Umarian,,Kundian,,major Umarian post,Robinson 1987,13.159,-10.6803,
Guinea,Umarian,,Labata,,,Oloruntimehin,11.67207179,-10.64555616,
Mali,Umarian,kaarta,Lakamane,,Umarian Garrison,Hanson 1990 202,14.5095,-9.9099,
