Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Mali,Umarian_Kaarta,kaarta,Biru,,,Robinson,15.066571,-9.919315,
Mali,Umarian_Kaarta,kaarta,Damfa,,headquarters of conquered group,Djata xiii,14.151,-7.4977,
Mali,Umarian_Kaarta,kaarta,Diagounte,,Umarian Garrison,Hanson 1990 202,14.2991,-10.0285,
Mali,Umarian_Kaarta,kaarta,Diala,,Umarian Garrison,Hanson 1990 202,14.2065,-10.1583,
Mali,Umarian_Kaarta,kaarta,Diara,,,"Monteil 1977, p. 4",15.317563,-9.321353,
Mali,Umarian_Kaarta,kaarta,Dindanko,,Umarian Garrison,Hanson 1990 202,14.125085,-9.50456,
Mali,Umarian_Kaarta,kaarta,Dioka,,,Robinson,14.8637,-10.0964,
Mali,Umarian_Kaarta,kaarta,Fanga,,,Robinson,15.004781,-10.418312,
Mali,Umarian_Kaarta,kaarta,Farabougou,,,Hanson p. 24,14.501502,-9.433125,
Mali,Umarian_Kaarta,kaarta,Gemu,,First Capital,Hanson p. 23,14.7384,-9.7249,
Mali,Umarian_Kaarta,kaarta,Geteme,,,Robinson,15.120746,-9.583056,
Mali,Umarian_Kaarta,kaarta,Guemoukoura,,Umarian Garrison,Hanson 1990 202,14.26391,-9.320843,
Mali,Umarian_Kaarta,kaarta,Guessene,,,AF//269,15.165113,-10.699074,
Mali,Umarian_Kaarta,kaarta,Karharo,,,Robinson,15.044865,-9.630843,
Mali,Umarian_Kaarta,kaarta,Kerane,,Umarian Garrison,Hanson 1990 202,15.40845,-10.22252,
Mali,Umarian_Kaarta,kaarta,Khondie,,interim capital between Yelimane and Nioro,"Monteil 1977, p. 117",14.7885,-9.4445,
Mali,Umarian_Kaarta,kaarta,Kingui,Guingui,,AF//269,14.4605,-10.0171,
Mali,Umarian_Kaarta,kaarta,Koniakari,,,"Monteil 1977, p. 4",14.5797,-10.9012,
Mali,Umarian_Kaarta,kaarta,Lakamane,,Umarian Garrison,Hanson 1990 202,14.5095,-9.9099,
Mali,Umarian_Kaarta,kaarta,Monitgo,,,AF//269,14.362,-9.307,
Mali,Umarian_Kaarta,kaarta,Niarene,,Umarian Garrison,Hanson 1990 202,14.267415,-9.740895,
Mali,Umarian_Kaarta,kaarta,Niogoumera,,,AF//269,15.094618,-10.504794,
Mali,Umarian_Kaarta,kaarta,Nioro,,"Seized in 1855, first major base",Ryer 57,15.229317,-9.592771,
Mali,Umarian_Kaarta,kaarta,Segala,,,Hanson p. 24,14.5638,-10.9746,
Mali,Umarian_Kaarta,kaarta,Sero,,localities in Soninke areas,Hanson p. 24,14.811313,-11.062676,
Mali,Umarian_Kaarta,kaarta,Simbi,,,Robinson,14.906507,-9.680867,
Mali,Umarian_Kaarta,kaarta,Tambakara,,,AF//269,15.067732,-10.842659,
Mali,Umarian_Kaarta,kaarta,Tankare,,,AF//269,14.4891,-9.1798,
Mali,Umarian_Kaarta,kaarta,Tinkan,,Tinguine?,AF//269,14.697229,-11.016997,
Mali,Umarian_Kaarta,kaarta,turungumbe,,Umarian Garrison,Hanson 1990 202,15.2647,-9.226303,
Mali,Umarian_Kaarta,kaarta,Wossebugu,,Umarian Garrison,Hanson 1990 202,14.67616523,-8.147477465,
Mali,Umarian_Kaarta,kaarta,Yelimane,,Capital from early 19th c onwards,Hanson p. 23,15.118684,-10.577291,
Mali,Umarian_Kaarta,kaarta,Yerere,,Umarian Garrison,Hanson 1990 202,15.257124,-9.42949,
Mali,Umarian_Kaarta,,Diagana,,stop on route to Segou,Oloruntimehin 65,14.6463,-9.4963,
Mali,Umarian_Kaarta,,Diangounte,,stop on route to Segou,Oloruntimehin 65,14.5448,-9.5127,
Mali,Umarian_Kaarta,,Sabone,,major Umarian post,Robinson 1987,14.30372113,-8.884483667,approximate; now foret classe
Mali,Umarian_Kaarta,,Digna,,?,Oloruntimehin,14.719095,-8.275634,
Mali,Umarian_Kaarta,,Guigne,,,Djata xiii,14.1202,-8.1388,
Mali,Umarian_Kaarta,,Hofara,,?,Oloruntimehin,14.9979,-8.3423,
Mali,Umarian_Kaarta,,Merkoya,,,Djata xiii,13.9245,-8.2005,
