Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Umarian_MacinaNord,,Kala or Sokoto,,,Djata p. xii,14.7328,-6.1219
Mali,Umarian_MacinaNord,,Nampala,,,Djata p. xii,15.2807,-5.5549
Mali,Umarian_MacinaNord,,Tenenku,,"residence of Bori Hamsala, Amadou's nephew","Ba and Daget, p. 68",14.635448,-5.029386
Mali,Umarian_MacinaNord,,Kamaka,,,AF//305,14.770014,-4.683171
Mali,Umarian_MacinaNord,,Koumoua,,,AF//305,14.902762,-4.60521
Mali,Umarian_MacinaNord,,Wuro Ngiya,,village of former Segou chief in Maasina Province,"Sanankoua, p. 66",15.0786,-4.6049
Mali,Umarian_MacinaNord,,Selingourou,,,"Ba and Daget, p. 203",15.4349,-4.581
Mali,Umarian_MacinaNord,,Tyouki,,Site of garrison,"Ba and Daget, p. 70",15.4706,-4.5589
Mali,Umarian_MacinaNord,,Karan,,,Djata p. xii,14.969291,-4.506303
Mali,Umarian_MacinaNord,,Attara,,,AF//354,15.6621,-4.3523
Mali,Umarian_MacinaNord,,Our,,,AF//305,15.5218,-4.3117
Mali,Umarian_MacinaNord,,Iowarou,,,AF//305,15.3684,-4.2628
Mali,Umarian_MacinaNord,,Oualladou,,,AF//305,15.2341,-4.2572
Mali,Umarian_MacinaNord,,Diakankore,,,AF//305,15.137,-4.2451
Mali,Umarian_MacinaNord,,So,,,AF//305,15.6288,-4.2069
Mali,Umarian_MacinaNord,,Diantonka,,,AF//305,15.232,-4.1229
Mali,Umarian_MacinaNord,,Sensa,,,AF//305,14.81858728,-4.085129814
Mali,Umarian_MacinaNord,,Tantala,,,AF//305,15.6973,-4.0833
Mali,Umarian_MacinaNord,,Gouram,,,AF//305,15.3143,-4.0329
Mali,Umarian_MacinaNord,,Nyafunke,,,Djata p. xii,15.9322,-3.9906
Mali,Umarian_MacinaNord,,Goundam,,Site of garrison,"Ba and Daget, p. 70",15.9032,-3.9576
Mali,Umarian_MacinaNord,,Tobi,,,AF//305,15.0691,-3.9401
Mali,Umarian_MacinaNord,,Sendege,,,"Sanankoua, prefix",14.903498,-3.909978
Mali,Umarian_MacinaNord,,Ouemere,,,AF//354,15.1187,-3.891
Mali,Umarian_MacinaNord,,Koenza,,,AF//354,15.058066,-3.874537
Mali,Umarian_MacinaNord,,Kourou,,,AF//354,15.6504,-3.8066
Mali,Umarian_MacinaNord,,Korienza,,,AF//354,15.394306,-3.78176
Mali,Umarian_MacinaNord,,Moussa,,,"Ba and Daget, p. 203",15.3414,-3.7499
Mali,Umarian_MacinaNord,,Sarefere,,,"Ba and Daget, p. xii",15.824,-3.6942
Mali,Umarian_MacinaNord,,Tendirma,,,"Ba and Daget, p. xii",16.130126,-3.639941
Mali,Umarian_MacinaNord,,Dart,,,"Sanankoua, prefix",15.9153,-3.5965
Mali,Umarian_MacinaNord,,Galdiouma,,,"Ba and Daget, p. 203",15.4208,-3.556
Mali,Umarian_MacinaNord,,Koma,,,AF//354,15.6503,-3.5393
Mali,Umarian_MacinaNord,,Borð,,,AF//354,15.133333,-3.483333
Mali,Umarian_MacinaNord,,SareBana,,,AF//354,15.7939,-3.4816
Mali,Umarian_MacinaNord,,Dire,,,AF//305,16.257045,-3.401263
Mali,Umarian_MacinaNord,,Dari,,,"Ba and Daget, p. 203",15.4793,-3.4002
Mali,Umarian_MacinaNord,,Koytou,,,AF//305,16.137026,-3.327308
Mali,Umarian_MacinaNord,,Sarayamo,,,"Sanankoua, prefix",16.083818,-3.239941
Mali,Umarian_MacinaNord,,Joona,,,de Bruijn and Van Dijk p. 220,15.3273,-3.2343
Mali,Umarian_MacinaNord,,Wouro Dyam Allah,,,"Ba and Daget, p. 203",15.4516,-3.2206
Mali,Umarian_MacinaNord,,Hore Wendou,,,"Ba and Daget, p. 203",15.6611,-3.2106
Mali,Umarian_MacinaNord,,Bani,,,"Ba and Daget, p. 225",16.251117,-3.182847
Mali,Umarian_MacinaNord,,Karsani,,,AF//354,15.476023,-3.16064
Mali,Umarian_MacinaNord,,Kanyume,,,de Bruijn and Van Dijk p. 220,15.7909,-3.1526
Mali,Umarian_MacinaNord,,Danga,,,AF//305,16.46653878,-3.13657151
Mali,Umarian_MacinaNord,,Timbuktu,,,Djata p. xii,16.770456,-3.005588
Mali,Umarian_MacinaNord,,Kabara,,,Djata p. xii,16.704308,-2.983019
Mali,Umarian_MacinaNord,,Bambara Maounde,,Site of garrison,"Ba and Daget, p. 70",15.852072,-2.786043
Mali,Umarian_MacinaNord,,Farabougou,,?,Oloruntimehin,14.8921,-6.1414
Mali,Umarian_MacinaNord,,Sokolo,,,Oloruntimehin,14.7328,-6.1219
Mali,Umarian_MacinaNord,,Son,Soni?,,Oloruntimehin,14.6408,-5.8276
