Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Umarian_MacinaSud,,Soala,,,"Ba and Daget, p. 203",13.8,-4.533333
Mali,Umarian_MacinaSud,,Poromani,,Capital of Fakala Province,"Sanankoua, p.68",13.83446,-4.375543
Mali,Umarian_MacinaSud,,Taparandougou,,,AF//354,13.8654,-4.1533
Mali,Umarian_MacinaSud,,Djenne,,Capital of Jenneri Province; major trading center; Site of garrison,"Ba and Daget, p. 70; Sanankoua, p. 67",13.9045,-4.5599
Mali,Umarian_MacinaSud,,Tye,,,Djata p. xii,13.9331,-3.7732
Mali,Umarian_MacinaSud,,Kotomou,,,"Ba and Daget, p. 94",13.946,-4.914
Mali,Umarian_MacinaSud,,Kaka,,site of major market,"Ba and Daget, p. 80",14.00756026,-4.259479623
Mali,Umarian_MacinaSud,,Samay,,,"Ba and Daget, p. 94",14.007801,-4.738109
Mali,Umarian_MacinaSud,,Sofara,,,"Ba and Daget, p. xii",14.016667,-4.233333
Mali,Umarian_MacinaSud,,Nia,,,"Ba and Daget, p. 161",14.026805,-4.112041
Mali,Umarian_MacinaSud,,Gundaka,,Capitla of Kunaari province,"Sanankoua, p. 68",14.066031,-4.181182
Mali,Umarian_MacinaSud,,Dogo,,,AF//354,14.1372,-3.6951
Mali,Umarian_MacinaSud,,Diafrabe,,New villages in Maasina Province,"Sanankoua, p. 66; AF//305",14.14263641,-5.015753068
Mali,Umarian_MacinaSud,,Tilembeya,,New villages in Maasina Province,"Sanankoua, p. 66",14.15162334,-4.989779285
Mali,Umarian_MacinaSud,,Poro,,,AF//305,14.203076,-4.540705
Mali,Umarian_MacinaSud,,Diongouni,,,AF//305,14.208886,-4.735852
Mali,Umarian_MacinaSud,,Alakanda,,,AF//354,14.219698,-3.609287
Mali,Umarian_MacinaSud,,Sot,,,Djata p. xii,14.22813,-4.278387
Mali,Umarian_MacinaSud,,Bolimba,,,AF//354,14.241298,-3.880687
Mali,Umarian_MacinaSud,,Digani,,,AF//305,14.288071,-4.581685
Mali,Umarian_MacinaSud,,Sare Dina,,,AF//305,14.295985,-4.405481
Mali,Umarian_MacinaSud,,Hamdallahi,,,Djata p. xii,14.32815,-4.100507
Mali,Umarian_MacinaSud,,Makou,,,AF//354,14.342198,-3.925187
Mali,Umarian_MacinaSud,,Bandiagara,,,de Bruijn and Van Dijk p. 220,14.347998,-3.608787
Mali,Umarian_MacinaSud,,Dya,,,Djata p. xii,14.348652,-4.961923
Mali,Umarian_MacinaSud,,Lardeballi,,,AF//305,14.354147,-4.400096
Mali,Umarian_MacinaSud,,Sufurlay,,,"Sanankoua, prefix",14.404807,-4.085367
Mali,Umarian_MacinaSud,,KoriKori,,,AF//354,14.405998,-3.749787
Mali,Umarian_MacinaSud,,Boumbou,,,AF//354,14.434698,-3.232287
Mali,Umarian_MacinaSud,,Ninga,,,AF//305,14.446291,-4.729081
Mali,Umarian_MacinaSud,,Mopti,,,Djata p. xii,14.489094,-4.192827
Mali,Umarian_MacinaSud,,Goundaka,,,AF//354,14.499798,-3.946487
Mali,Umarian_MacinaSud,,Nandoli,,,AF//354,14.501098,-3.464687
Mali,Umarian_MacinaSud,,Sevare,,,"Sanankoua, prefix",14.529728,-4.092226
Mali,Umarian_MacinaSud,,Diankabo,,,AF//354,14.584398,-3.081287
Mali,Umarian_MacinaSud,,Koundiouli,,,AF//354,14.594998,-3.873887
Mali,Umarian_MacinaSud,,Tongorongo,,,AF//305,14.597761,-4.169518
Mali,Umarian_MacinaSud,,Booni,,Poste de surveillance,de Bruijn and Van Dijk p. 220,15.076582,-2.219758
Mali,Umarian_MacinaSud,,Loro,,,de Bruijn and Van Dijk p. 220,15.087389,-2.173012
Mali,Umarian_MacinaSud,,Bubani Kani,,,de Bruijn and Van Dijk p. 220,15.358102,-1.88233
Mali,Umarian_MacinaSud,,Hombori/Humbori,,,Djata p. xii,15.278981,-1.700373
Mali,Umarian_MacinaSud,,De,,,AF//354,14.776902,-3.257807
Mali,Umarian_MacinaSud,,Bargue,,,AF//354,14.791198,-3.061987
Mali,Umarian_MacinaSud,,Douentza,,Site of garrison,"Ba and Daget, p. 70",15.001554,-2.949781
Mali,Umarian_MacinaSud,,Douma,,,de Bruijn and Van Dijk p. 220,14.915968,-2.854536
Mali,Umarian_MacinaSud,,Kikira,,,"Ba and Daget, p. 203",15.210789,-2.748255
Mali,Umarian_MacinaSud,,Boumban,,,de Bruijn and Van Dijk p. 220,15.088551,-2.630839
Mali,Umarian_MacinaSud,,Nokara,,,de Bruijn and Van Dijk p. 220,15.176295,-2.395883
Mali,Umarian_MacinaSud,,Diaka,,,Oloruntimehin,13.662276,-5.038069
