Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Umarian_Segou,Segou,Baguinta,,,4PL/5,12.6129,-7.7734
Mali,Umarian_Segou,Segou,Bambougou,,garisson of chef de sofas,Niakite p. 45,13.632486,-6.089995
Mali,Umarian_Segou,Segou,Banamba,,,AF//269,13.215627,-6.477708
Mali,Umarian_Segou,Segou,Baraweli,,,Djata p. xi,13.077,-6.8312
Mali,Umarian_Segou,Segou,Bassi,,,Philippe p. 39,13.196479,-7.129476
Mali,Umarian_Segou,Segou,Bla,,,AF//388,12.964277,-5.779101
Mali,Umarian_Segou,Segou,Bobala,,,AF//274,12.215897,-7.432425
Mali,Umarian_Segou,Segou,Boghe,,Market,4PL/5,13.2142,-6.8695
Mali,Umarian_Segou,Segou,Buguni,,,Philippe p. 39,13.1689,-6.7792
Mali,Umarian_Segou,Segou,Dakala,,,Bazin p. 144,13.3182,-6.2437
Mali,Umarian_Segou,Segou,Dansobougou,,,AF//388,13.262369,-6.114971
Mali,Umarian_Segou,Segou,Darani,,,4PL/5,12.4012,-7.7606
Mali,Umarian_Segou,Segou,denenbugu,,,Kesselroot p. 600,13.695534,-6.581304
Mali,Umarian_Segou,Segou,Digani,,,Bazin p. 144,13.498204,-6.316404
Mali,Umarian_Segou,Segou,Dinnah,,,AF//269,13.04243,-7.345639
Mali,Umarian_Segou,Segou,Dogoni,,,4PL/5,12.814469,-7.316805
Mali,Umarian_Segou,Segou,Dougassou,,,AF//269,13.1243,-6.2687
Mali,Umarian_Segou,Segou,Dugu,,,Kesselroot p. 600,13.3727,-6.3698
Mali,Umarian_Segou,Segou,Faraka,,,Kesselroot p. 600,13.4104,-6.3895
Mali,Umarian_Segou,Segou,Farako,,,4PL/5,12.29813,-7.435792
Mali,Umarian_Segou,Segou,Fogni,,,AF//269,13.3521,-6.889
Mali,Umarian_Segou,Segou,Fougani,,Market,4PL/5,12.757606,-7.240153
Mali,Umarian_Segou,Segou,Gasi,,,Kesselroot p. 600,13.1747,-6.2559
Mali,Umarian_Segou,Segou,Jesesbougou,,,Bazin p. 144,13.353231,-6.217093
Mali,Umarian_Segou,Segou,Kala,,,Bazin p. 144,13.470643,-6.291172
Mali,Umarian_Segou,Segou,Kalake,,,AF//274,12.9657,-6.8487
Mali,Umarian_Segou,Segou,Kenienkou,,Segou town  Tal attacks,Niakite p. 49,13.10624,-7.243372
Mali,Umarian_Segou,Segou,Kobile,,,4PL/5,12.6858,-7.0393
Mali,Umarian_Segou,Segou,Kodiala,,,AF//269,12.669693,-7.183311
Mali,Umarian_Segou,Segou,Koghe,,,AF//269,13.638092,-5.983245
Mali,Umarian_Segou,Segou,Konina,,,4PL/5,12.737642,-7.452396
Mali,Umarian_Segou,Segou,Konodimini,,,Bazin p. 144,13.3263,-6.4231
Mali,Umarian_Segou,Segou,Kulikoro,,,Philippe p. 39,12.8679219,-7.563453894
Mali,Umarian_Segou,Segou,Magnambougou,,Segou town  Tal attacks,Niakite p. 50,13.264614,-6.623846
Mali,Umarian_Segou,Segou,Mansona,,,AF//388,12.9669,-6.1438
Mali,Umarian_Segou,Segou,Markaduguba,,Commercial City,Philippe p. 39,13.913944,-6.347365
Mali,Umarian_Segou,Segou,Masala,,,Kesselroot p. 600,12.823991,-7.641699
Mali,Umarian_Segou,Segou,Mourdia,,,Philippe p. 39,12.608166,-7.320838
Mali,Umarian_Segou,Segou,Mpeba,,,Kesselroot p. 600,13.4851,-6.1908
Mali,Umarian_Segou,Segou,Nango,,,AF//274,13.2353,-6.5847
Mali,Umarian_Segou,Segou,Niamana,,Market,4PL/5,13.064264,-7.015057
Mali,Umarian_Segou,Segou,Niamina/Nyamina,,Commercial City' Umar's base for conquering Segou,Oloruntimehin 124,13.3131,-6.983
Mali,Umarian_Segou,Segou,Pelenguena/Pelengana,,,Kesselroot p. 600,13.4274,-6.222
Mali,Umarian_Segou,Segou,Sakoyba,,,Bazin p. 144,13.3118,-6.2796
Mali,Umarian_Segou,Segou,Samanko,,,Kesselroot p. 600,13.70275,-6.375063
Mali,Umarian_Segou,Segou,Sando,Segou,,Bazin p. 144,13.309964,-6.368481
Mali,Umarian_Segou,Segou,Segou Koro,,Initial Capitla,Kesselroot p. 600,13.428,-6.2922
Mali,Umarian_Segou,Segou,Segou-Sikoro,,Capital under Ngolo,Philippe p. 40,13.4317,-6.2157
Mali,Umarian_Segou,Segou,Sidabugu,,,Kesselroot p. 600,13.2987,-6.4561
Mali,Umarian_Segou,Segou,Sinzeni (Sansanding),,Commercial City,Philippe p. 39,13.7252,-6.0043
Mali,Umarian_Segou,Segou,Suntyana,,,Philippe p. 39,12.6733,-7.0816
Mali,Umarian_Segou,Segou,Tadiana,,,AF//274,12.312032,-7.86832
Mali,Umarian_Segou,Segou,Tawa,,,AF//388,13.073538,-5.893707
Mali,Umarian_Segou,Segou,Tourela,,Market,4PL/5,12.353955,-8.079765
