Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Gambia,Wuli,Barracounda,,,Bellin Map 1764,13.483333,-14.116667
Gambia,Wuli,Birifu,,Center of Keita Salung Darboe Family,"Suso 2009, 59",13.5,-13.933333
Gambia,Wuli,Foday Kunda Angaleh,,Center of Singhateh Family,"Suso 2009, 59",13.5,-13.933333
Gambia,Wuli,Suteko,Settiko,,,13.5,-14.016667
Gambia,Wuli,Sutukoba,,,"Galloway 1975, map",13.5,-14.016667
Senegal,Wuli,Kolar,,,"Skinner 2017, 2",13.51667,-13.76667
Gambia,Wuli,Murey Kunda,,Center of Kangmateh Family,"Suso 2009, 59",13.55,-14.066667
Gambia,Wuli,Kanapeh Koto,Kanape,Center of Keita Salung Darboe Family,"Suso 2009, 59",13.566667,-13.933333
Senegal,Wuli,Netteboulou,,,,13.58333,-13.78333
Senegal,Wuli,douta bassy,,,"Galloway 1975, map",13.61667,-14.01667
Senegal,Wuli,kerewane ngoye,,,"Galloway 1975, map",13.63333,-13.85
Senegal,Wuli,Sita Wuleng,Sitaoulin,Center of Kalunko Family,"Suso 2009, 59",13.65,-13.7
Senegal,Wuli,Sewero,Souare,,"Galloway 1975, map",13.68333,-13.98333
Senegal,Wuli,boucaricounda manding,Sitokoto,,,13.76667,-13.73333
Senegal,Wuli,licounda mandingue,,,,13.78333,-13.83333
Senegal,Wuli,guirigara,,,,13.81667,-13.9
