Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Yaga,Diogota,,major town,Thebaud,13.423586,0.354238
Burkina Faso,Yaga,Guende,,major town,Thebaud,13.310592,0.636017
Burkina Faso,Yaga,Guntunre,,large village,Thebaud p. 179,13.38079,0.46808
Burkina Faso,Yaga,Kabo,,large village,Thebaud p. 179,13.365325,0.467373
Burkina Faso,Yaga,Kopti,,major town,Thebaud,13.565607,0.312853
Burkina Faso,Yaga,Sampelga,,historical marker between Yagha and Liptaako,Thebaud p. 180,13.750283,0.219846
Burkina Faso,Yaga,Sebba,,Capital,Irwin p. 25,13.436412,0.530443
Burkina Faso,Yaga,Solna,,large village,Thebaud p. 179,13.382382,0.453521
Burkina Faso,Yaga,Tiena,,major town,Irwin p. 25,13.633686,0.624645
Burkina Faso,Yaga,Yalgo,,major town,Thebaud,13.485381,0.705227
