Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Yatenga,Biisigi,,,Izard 1970 p. 389,13.331972,-1.94242
Burkina Faso,Yatenga,Bougounam,,,Izard 1970 p. 389,13.362591,-2.39254
Burkina Faso,Yatenga,Doubare,,,Izard 1970 p. 389,13.85944,-2.865337
Burkina Faso,Yatenga,Guitti,,,Izard 1970 p. 389,13.375823,-2.046011
Burkina Faso,Yatenga,Gursi,,,Izard 1970 p. 389,13.207756,-2.358932
Burkina Faso,Yatenga,Kalsaka,,,Izard p. 386,13.180833,-1.979444
Burkina Faso,Yatenga,Kosuka,,,Izard 1970 p. 389,13.364364,-1.904354
Burkina Faso,Yatenga,Lago,,,Izard 1970 p. 389,13.329269,-2.498304
Burkina Faso,Yatenga,Ouahigouya,,Capital,Izard 1970 p. 389,13.582782,-2.421582
Burkina Faso,Yatenga,Sanga,,,Izard 1970 p. 389,13.810352,-2.717072
Burkina Faso,Yatenga,Sisambe,,,Izard 1970 p. 389,13.50662,-2.465056
Burkina Faso,Yatenga,Somniaga,,,,13.503468,-2.408489
Burkina Faso,Yatenga,Toulfe,,,Izard 1970 p. 389,13.882605,-1.955097
Burkina Faso,Yatenga,Tyu,,,Izard 1970 p. 389,13.806318,-2.663727
Burkina Faso,Yatenga,Waiguyo,,,Izard 1970 p. 389,13.582782,-2.421582
Burkina Faso,Yatenga,Zandoma,,,Izard 1970 p. 389,13.315005,-2.130579
Burkina Faso,Yatenga,Zogore,,,Izard 1970 p. 389,13.401687,-2.592442
Burkina Faso,Yatenga,Zougounan,,,,13.563353,-2.519964
Burkina Faso,Yatenga,Issigui,,important village in investment ceremony,Zahan 173,13.581932,-2.447472
Burkina Faso,Yatenga,Binsigay,,important village in investment ceremony,Zahan 173,13.586998,-2.478194
Burkina Faso,Yatenga,Bogoya,,important village in investment ceremony,Zahan 173,13.63512,-2.425658
