Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
DRC,Yeke,Kanyanina,,impt Sanga village integreatd into state,Legros 53,-11.011778,26.844726,
DRC,Yeke,Likasi,,,,-10.983031,26.738395,
DRC,Yeke,Kambove,,impt copper mine here,Legros 15,-10.873516,26.597457,
DRC,Yeke,Mutaka,,Mwami here,Legros 253,-10.757776,26.754761,approximate location based on Legros map
DRC,Yeke,Mwashya,,mwanangwa Dikuku posted neabry to surveil salt marshes,Legros 81,-10.707302,27.343342,
DRC,Yeke,Nguba,,Mwami here,Legros 54,-10.656569,26.425262,
DRC,Yeke,Mpande Mulindwa,,mwanangwa posted here,Legros 81,-10.616667,26.833333,
DRC,Yeke,Shyonongo,aka Bikondoma,Mwami here,Legros 253,-10.56085,26.44825,
DRC,Yeke,Nkala,,,,-10.531111,26.862778,
DRC,Yeke,Ngukulu,,Mwami here,Legros 253,-10.514444,26.916944,approximate location based on Legros map
DRC,Yeke,Dikuku,,Msiri's brother ,Legros 253,-10.499558,27.485612,
DRC,Yeke,Nsamba,,mwanangwa posted here,Legros 81,-10.435532,27.13578,unsure -v eiry
DRC,Yeke,Bunkeya,,Msiri's capital,Reefe 181,-10.396018,26.968918,
DRC,Yeke,Mugemba,,Mwami here,Legros 253,-10.339734,27.384146,approximate location based on Legros map
DRC,Yeke,Ntondo,,Chief here,Legros 51,-10.331609,27.059553,
DRC,Yeke,Mwenda,,mwanangwa posted here,Legros 81,-10.316667,26.533333,
DRC,Yeke,Mutobo,,mwanangwa Kabobo posted here,Legros 83,-10.311844,26.253278,
DRC,Yeke,Kagoma?,,,,-10.283088,26.470471,
DRC,Yeke,Kalonga,,impt Sanga village integreatd into state,Legros 53,-10.259844,26.548669,
DRC,Yeke,Lukenji,aka Kabwalala,impt Bapokela village integreatd into state,Legros 53,-10.066667,26.433333,
DRC,Yeke,Wa Bwenze,,,,-10.049076,26.525844,
DRC,Yeke,Mbebe,,impt Babangu village integreatd into state,Legros 53,-10.034185,26.310046,
DRC,Yeke,Kampungwe,,Chief here,Legros 51,-10,26.916667,
DRC,Yeke,Mokabe-Kasari,,mwami here,Legros 224,-9.966791,26.269379,
