Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Yola,Bagale,,,Njeuma p. 74,9.35,12.683333
Nigeria,Yola,Bapawo,,,Njeuma p. 74,9.016667,12.716667
Nigeria,Yola,Daware,,,Njeuma p. 74,9.416667,12.6
Nigeria,Yola,Girei,,,Njeuma p. 74,9.365259,12.546212
Nigeria,Yola,Goila,,,Njeuma p. 74,9.966667,12.716667
Nigeria,Yola,Gourin,,,Njeuma p. 74,9.116667,12.883333
Nigeria,Yola,Hibango,,,Njeuma p. 74,8.958483,12.356957
Nigeria,Yola,Holma,,,Njeuma p. 74,9.898628,13.054498
Nigeria,Yola,Madagali,,,Njeuma p. 74,10.889425,13.628323
Nigeria,Yola,Malabu,,,Njeuma p. 74,9.557222,12.781944
Nigeria,Yola,Mubi,,,Njeuma p. 74,10.266742,13.266537
Nigeria,Yola,Namtari,,,Njeuma p. 74,9.309112,12.290332
Nigeria,Yola,Nassarawo,,,Njeuma p. 74,9.531226,13.05445
Nigeria,Yola,Ribadu,,early capital,Njeuma p. 74,9.3,12.716667
Nigeria,Yola,Song,,,Njeuma p. 74,9.826747,12.623801
Nigeria,Yola,Uba,,,Njeuma p. 74,10.455089,13.22233
Nigeria,Yola,Yola,,,Njeuma p. 74,9.208394,12.481464
