Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Zitenga,Baskorma,,,Izard 1985 p. 103,13.167399,-2.21204
Burkina Faso,Zitenga,Barma,,,Izard 1985 p. 103,13.238871,-2.050894
Burkina Faso,Zitenga,Tikare,,Capital,Izard 1970 p. 389,13.291389,-1.726111
Burkina Faso,Zitenga,Leba,,,Izard 1985 p. 103,13.385696,-2.347636
Burkina Faso,Zitenga,Sitigo,,,Izard 1985 p. 69,13.467272,-2.02337
Burkina Faso,Zitenga,Ramsa,,,Izard 1985 p. 103,13.4817,-2.094399
Burkina Faso,Zitenga,Teosgo,,,Izard 1985 p. 103,13.509951,-1.915211
Burkina Faso,Zitenga,Risi,,,Izard 1985 p. 103,13.522711,-2.475507
Burkina Faso,Zitenga,Barelago,,,Izard 1985 p. 65,13.575703,-2.334495
Burkina Faso,Zitenga,Gesere,,,Izard 1985 p. 103,13.589469,-2.571454
Burkina Faso,Zitenga,Komsiliga,,,Izard 1985 p. 102,13.614576,-2.481225
Burkina Faso,Zitenga,Tugo,,,Izard 1985 p. 103,13.680358,-2.250883
Burkina Faso,Zitenga,Yu,,,Izard 1985 p. 103,13.701666,-2.141011
