Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
South Africa,Zulu,Zembeni,Dududu,establishment ruled by Senzangakhona's chief wife,Hamilton 1985 446,-30.192726,30.597135,
South Africa,Zulu,Mfume,,Large royal cattle post,Hamilton 1985 360,-30.121849,30.745907,
South Africa,Zulu,Dibini,,Nqetho - sub-chief and former rival fo Shaka - settled here by Shaka,Eldredge 79,-30.030185,30.682715,
South Africa,Zulu,Mdumezulu ,,Second homestead of Mpande's first wife,Kuper 485,-30.024948,30.763588,
South Africa,Zulu,Ndabenkulu,,Shaka's homestead here,Wylie 265,-29.88632325,30.95653501,placed at Bellair - Wylie notes near hear
South Africa,Zulu,uTshoyisa,,Shaka's homestead here,Wylie 265,-29.39239757,31.14178834,approximate based on Wylie's map
South Africa,Zulu,Dukuza,,royal homestead; Shaka's second capital,Gump 136,-29.328164,31.289537,present day Stanger
South Africa,Zulu,Ntonteya,,Shaka's homestead here,Wylie 265,-28.98924955,31.55802245,approximate location
South Africa,Zulu,Eshowe,,Major settlement,Hamilton 98,-28.886485,31.469903,
South Africa,Zulu,Mpaphala,,estate granted to Chief Ndhlela,Hamilton 1985 414,-28.868457,31.224825,
South Africa,Zulu,Dhlangezwa,near Ngoye,Shaka's homestead here,Wylie 263,-28.84277,31.79557,"approximate, placed at Ongoye hills"
South Africa,Zulu,kwaBulawayo,,Shaka's first capital with this name; originally named Gibixhegu,Mountain 73,-28.78035322,31.62642281,
South Africa,Zulu,kwaKhangela,,umGumanqa establishment,Hamilton 1985 344,-28.765223,31.559757,
South Africa,Zulu,emaNgweni,,Zulu military homestead,Laband 206,-28.750826,31.888286,"placed at Empangeni, approximate location"
South Africa,Zulu,kwaBulawayo,,Shaka's Second capital with this name,Gump 130,-28.744337,31.596676,
South Africa,Zulu,Mangeni,,"Shaka's establishment in Thembu territory, under sub-chief Jobe",Hamilton 1985 255,-28.46512,30.77636,
South Africa,Zulu,Khangela,,Large royal cattle post,Hamilton 1985 360,-28.446287,31.315499,
South Africa,Zulu,Somopho,,Major Zulu base in late 1800s,Laband 2001 102,-28.444092,31.961406,Approximate location
South Africa,Zulu,Mgungundhlovu,,Dingane's capital,Gump 150 ,-28.436741,31.266197,
South Africa,Zulu,emaKhosini,,burial ground of kings,Becker 4 ,-28.4148615,31.3029001,
South Africa,Zulu,Nobamba,,royal homestead; royal burial site,Gump 136,-28.403221,31.318806,
South Africa,Zulu,Hlabankosi,,"Shaka's establishment in Thembu territory, under sub-chief Jobe",Hamilton 1985 255,-28.34448,30.860967,
South Africa,Zulu,Ekupula,,"Shaka's establishment in Thembu territory, under sub-chief Jobe",Hamilton 1985 255,-28.336272,32.096734,near Mpukunyoni - marker here
South Africa,Zulu,Ndini,Ulundi,Cetshwayo's capital,,-28.335233,31.416172,
South Africa,Zulu,Njanduna,,Large royal cattle post,Hamilton 1985 360,-28.30765,31.00272,"placed at mountain of same name, in vicinity"
South Africa,Zulu,Nodwengu,,Homestead of Mpande's first wife,Kuper 485,-28.287567,31.504455,
South Africa,Zulu,uMyehe,,Shaka's homestead here,Wylie 263,-28.23454946,31.92460043,approximate based on Wylie map
South Africa,Zulu,eNkonjeni,,imizi here,Wylie 236,-28.22677,31.41607,
South Africa,Zulu,oSebeni,,Northern ikhanda (regimental barracks),Hamilton 1985 364,-28.22073141,31.16562821,approximate location based on Wylie map
South Africa,Zulu,Mkonjeni,,establishment ruled by Senzangakhona's chief wife,Hamilton 1985 446,-28.148871,30.578536,
South Africa,Zulu,Dukuduku,,Major military defense here in late 1800s,Laband 2001 110,-28.097726,32.352156,
South Africa,Zulu,kwaMandlakazi,,Major establishment of Mapitha,Hamilton 98,-28.024142,31.719209,
South Africa,Zulu,ekuShumayeleni,,"Buthelezi major establishment, 1890s",Laband 32,-27.993371,31.376027,"placed at Cesa, would be in this general area"
South Africa,Zulu,Ebuxendeni,,Major establishment of Mapitha,Hamilton 98,-27.983333,31.85,
South Africa,Zulu,Gqikaz ,,Homestead of Mpande's four wife,Kuper 485,-27.929468,31.650457,Approximate location
South Africa,Zulu,Mahashini,,,,-27.874467,31.534673,
South Africa,Zulu,Bende,,"Mandlakazi Major establishment, 1880s",Laband 32,-27.79995,31.972937,approximate location; placed at 
South Africa,Zulu,kwaMemfe,,"Ngenetsheni Major establishment, 1880s",Laband 32,-27.766028,31.355936,
South Africa,Zulu,Bangonomo,,"Mandlakazi Major establishment, 1880s",Laband 32,-27.739636,31.901568,
South Africa,Zulu,Baqulusi,,Royal village of Shaka's paternal aunt Mnkabayi; Northern ikhanda (regimental barracks),Eldredge 187,-27.716561,31.001122,placed at Hlobane - near here 
South Africa,Zulu,Yengweni,,Shaka resides here as a youth; maintains close relationship with chief,"Hamilton 1985, 385",-27.643524,32.415092,
South Africa,Zulu,Enkungwini,,Major establishment of Mapitha,Hamilton 98,-27.333304,31.522594,
