Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Niger,Agadez,Agadez,,Capital,Rossi,16.974221,7.988502,
Niger,Agadez,Assode,,Caravan center,Hamani 354,18.4525,8.5975,
Niger,Agadez,Timia,,Caravan center,Hamani 354,18.11222,8.77611,
Niger,Agadez,Afasas,,Caravan center,Hamani 354,17.7215,8.9857,approximate based on map
Niger,Agadez,Barghot,,Caravan center,Hamani 354,17.40620763,9.089498204,
Niger,Agadez,Ajiru,,Political center,Hamani 354,17.92149322,8.893479931,approximate based on map
Niger,Agadez,Tintelast,,Political center,Hamani 354,18.5838,8.78139,
Niger,Agadez,Tintaghoda,,Political center,Hamani 354,18.95583,8.46833,
Niger,Agadez,Jikat,,Religious Center,Hamani 354,17.20364197,8.050098898,approximate based on map
Niger,Agadez,Abatol,,Religious Center,Hamani 354,17.63856162,8.424991194,approximate based on map
Niger,Agadez,Agalal,,Religious Center,Hamani 354,18.70583,8.15889,
Niger,Agadez,Tighazzarin,,Religious Center,Hamani 354,18.21583,9.28556,
Niger,Agadez,Iferwan,,Caravan center,Hamani 354,19.0625,8.42,
Niger,Agadez,Ingal,,Caravan center,Hamani 354,16.78778,6.93417,
