Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Botswana,BaKwena,Dinawe ,Dimawe,Walled settlement; Sechele leaves after Afrikaner's destroy camp in 1852,Nangati 127,-24.76712,25.63745,
Botswana,BaKwena,Dithejwane,,Walled Settlement; Sechele retreats here in 1850s,Nangati 127,-24.63335,25.70069,
Botswana,BaKwena,Dithubaruba,"placed at Matlhotsana, nearest settlement to hills where ruins are","Secheles new village 1852, very close to Dithejwane",,-24.4655,25.4082,
Botswana,BaKwena,Gabane,,Ward head here,Shapera 1952 54,-24.66542,25.78453,
Botswana,BaKwena,GaThamaga,,livestock location mid-1800s; reside here when return to Botswana,Ellenberger 45,-24.67045,25.53941,
Botswana,BaKwena,Gookodisa ,,Cattle posts here in 1830s,"Schapera 1942, 3",-24.73307,25.52557,
Botswana,BaKwena,Kolobeng ,,Sechele settles here 1840s under suggestion of Livingston,Nangati 126,-24.64794,25.65448,
Botswana,BaKwena,Lophephe,Lephephe,Main Settlement 1820s; ; regroup under Sechele here in 1837,Shapera 1980b 86,-23.31751,25.79798,
Botswana,BaKwena,Magodimo,,Sechele settles here 1840s,Nangati 126,-24.50109,25.5825,approximate; Sillery notes a bit east of here
Botswana,BaKwena,Mankgodi ,,"Malete settlement until 1875, Kwena then reclaim land and Kwena ward heads take over",Shapera 1952 54,-24.72625,25.646166,
Botswana,BaKwena,Molepolole,,capital,Ramsay 449,-24.40715,25.49638,
Botswana,BaKwena,Sokwane,Sokoane,Sechele settles here 1830s,Sillery 109,-24.91959,25.83046,
