Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Somalia,Majerteen,,Alula,,fort here,Miles p. 70,11.967639,50.758566
Somalia,Majerteen,,Bargal,,capital in 19th c,Hess p. 415,11.286719,51.076982
Somalia,Majerteen,,Hafun,,Site of Fort,Hess p. 415,10.423279,51.260185
Somalia,Majerteen,,Murcanyo,,Fortress,,11.692551,50.457242
Somalia,Majerteen,,Bereda,,,Hess p. 416,11.870819,51.058436
Somalia,Majerteen,,Bender Kassim,,,Hess p. 416,11.286849,49.172659
Somalia,Majerteen,,Bandar Ziada,,coastal trading town,Baldacci 59-69,11.2412,48.976
Somalia,Majerteen,,Bosaso,,coastal trading town,Baldacci 59-69,11.28421,49.18158
Somalia,Majerteen,,Kandala,,coastal trading town,Baldacci 59-69,11.47197,49.87282
Somalia,Majerteen,,Durbo,,coastal trading town,Baldacci 59-69,11.63659,50.3534
Somalia,Majerteen,,Filuk,,coastal trading town,Baldacci 59-69,11.83856,50.53962
