Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes,,,
Chad,Ouaddai,,Tinai,,,Tubiana map,12.716667,20.75,,,,
Chad,Ouaddai,,Am-Dam,,Sultan Ahmat Khazali resides here,Tubiana p. 88,12.766667,20.483333,,,,
Chad,Ouaddai,,Jabbal Marra,,Sanussiya zawia here,Cordell 31,12.783333,20.583333,,,,
Chad,Ouaddai,,Yaoua,Yao,Governor of Filtre here,Fresnel 13,12.848802,17.556558,,,,
Sudan,Ouaddai,,Melme,,One of most impt villages in Fitri Region,Nachtigal 33,12.852812,18.071931,,,,
Chad,Ouaddai,,Am-Guereda,,,Tubiana map,12.866667,21.166667,,,,
Chad,Ouaddai,,Birket-Fatimah,,Village in Batah,Fresnel partie 3 p. 9,12.906798,19.076686,,,,
Chad,Ouaddai,,Ngamougna,Gamounia??,Large village governed by an appointee of Sultan's mother,Fresnel partie 2 p. 15,12.933333,21.216667,??? 9 days SE of Wara,,,
Chad,Ouaddai,,Amsounta,,One of headquarters of Governor of Betayha and Batha province ,Fresnel 13,13.1702,18.4264,VERIFY ON MAP,OR ,13.1463,18.4194
Sudan,Ouaddai,,Mandele,,Aqid el-Debaba residence,Nachtigal 38,13.2014,18.3114,,,,
Sudan,Ouaddai,,Umm Hadjer,,,,13.294,19.6288,,,,
Sudan,Ouaddai,,Magueren,,,,13.3,21.516667,,,,
Sudan,Ouaddai,,Chakoyan,,,,13.35,21.233333,,,,
Sudan,Ouaddai,,Tara,,Considerable Village,Nachtigal 92,13.433333,20.783333,,,,
Sudan,Ouaddai,,Bororit,,,,13.45,20.183333,,,,
Sudan,Ouaddai,,Djene,,,,13.5,21.5,,,,
Sudan,Ouaddai,,Kadjimira,,,,13.55,21.05,,,,
Sudan,Ouaddai,,Am Loubia,,,,13.65,20.133333,,,,
Sudan,Ouaddai,,Tirlanga,,Last village of Ouaddai,Nachtigal 237,13.7,21.816667,,,,
Chad,Ouaddai,,Bir Tawil,,Residence of Governor of the East,Al Tunusy Map,13.716667,21.683333,13.1,21.85,,
Chad,Ouaddai,,Goz Beidi,,Sultan Palace here,Jennigns Bramely 176,13.716667,20.766667,,,,
Sudan,Ouaddai,,Mourrah,,Bagirmi Colony set by King Ali and favored by him,Nachtigal 231,13.783333,21.216667,,,,
Chad,Ouaddai,,Abeche,,Capital from late 1800s on,,13.833056,20.834722,,,,
Chad,Ouaddai,,Abaly,,Waiting point to see Sultan,Al-Tunusy 61,14.066667,20.75,Placed at Ambay - approximate location,,,
Chad,Ouaddai,,Nimro/Nimr,,Sanussiya zawia here; major economic center,Cordell 31,14.208498,20.585498,Approximate location based on maps,,,
Chad,Ouaddai,,Ouara,,Capital until late 1800s,,14.226667,20.672222,,,,
Chad,Ouaddai,,Malanga,,Early mosque/Koranic teacher here,Tubiana p. 62,14.25,20.766667,,,,
Chad,Ouaddai,,Abissa,,Early mosque/Koranic teacher here,Tubiana p. 62,14.333333,20.716667,,,,
Chad,Ouaddai,,Dembe,,Early mosque/Koranic teacher here,Tubiana p. 62,14.35,20.783333,,,,
Chad,Ouaddai,,Gamara,,Dignitaries here?,Tubiana p. 87,14.416667,20.9,,,,
Chad,Ouaddai,,Gnangal,,Governor of Tama province here,Fresnel 13,14.516667,21.266667,VERIFY ON MAP,,,
Chad,Ouaddai,,Biltine,,???,Tubiana map,14.533333,20.916667,,,,
Chad,Ouaddai,,Arada,,???,Tubiana map,15.016667,20.666667,,,,
