Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Cote d'Ivoire,Abron,Tienkuakro,,vassal here,Terray 789,7.218923,-3.064827,
Cote d'Ivoire,Abron,Akaso,,vassal here,Terray 789,7.25529,-3.20922,
Cote d'Ivoire,Abron,Ndakro,,vassal here,Terray 789,7.3625,-3.3734,
Cote d'Ivoire,Abron,Kun,,vassal here,Terray 789,7.48333,-3.25,
Ghana,Abron,Japykrom,Japekrom,military leader here,Handloff 114,7.575307,-2.784052,
Cote d'Ivoire,Abron,Dokanu,,vassal here,Terray 789,7.583344,-3.305117,
Cote d'Ivoire,Abron,Assuefri,,traditional royal village,Handloff 17,7.699733,-2.978467,
Cote d'Ivoire,Abron,Hiango,,Tano Sanctuary,Terray 1047,7.70964,-2.99308,
Ghana,Abron,Siekwa,,military leader here,Handloff 114,7.72135,-2.51694,
Cote d'Ivoire,Abron,Kumbenagare,,royal official here,Terray 1040,7.752491,-3.294732,
Cote d'Ivoire,Abron,Adania,,royal family seat,Terray 1037,7.75953,-3.01043,
Cote d'Ivoire,Abron,Teo,,royal official here,Terray 1040,7.77378,-3.238669,
Cote d'Ivoire,Abron,Bokore,,Penango,Terray 846,7.803,-3.15211,
Cote d'Ivoire,Abron,Yakasse,,part of royal dynasty based here,Terray 1987 p.37,7.803351,-2.881125,
Ghana,Abron,Sekitia,,,Terray,7.810488,-2.758974,
Cote d'Ivoire,Abron,Dadiasse,,Tano Sanctuary,Handloff 184,7.812804,-2.947689,
Cote d'Ivoire,Abron,Yomia,,Penango,Terray 846,7.816667,-2.933333,
Cote d'Ivoire,Abron,Kerebio Kasi,,royal official here,Terray 1038,7.81766,-2.85536,
Cote d'Ivoire,Abron,Kanton,,royal official here,Terray 1038,7.82028,-3.30093,
Cote d'Ivoire,Abron,Tangamuru,,Kings resides here at start of 1800s,Terray 1987 p. 55,7.833369,-3.216557,
Ghana,Abron,Droba,Drobo,Residence of miltiary chief,Terray 1987 p. 34,7.84884,-2.73379,
Cote d'Ivoire,Abron,Koroko,,Fumasa here,Terray 846,7.85,-2.95,
Ghana,Abron,Kokwang,Kokua,,Terray,7.852038,-2.647695,
Ghana,Abron,Suma,,subchief here,Terray 1041,7.85439,-2.78714,approximate based on map
Cote d'Ivoire,Abron,Gyende,,Residence of miltiary chief,Terray 1987 p. 34,7.855401,-3.091551,
,Abron,Teko,,royal official here,Terray 1038,7.85985,-3.13034,
Cote d'Ivoire,Abron,Kinkwa,,royal official here,Terray 1038,7.866667,-2.883333,
Cote d'Ivoire,Abron,Lomo,,royal family seat,Terray 1037,7.878331,-3.014743,
Cote d'Ivoire,Abron,Sakoadu,,royal family seat,Terray 1037,7.879865,-3.144695,
Cote d'Ivoire,Abron,Tiedo,,Siengi ,Terray 846,7.883379,-3.282555,
Cote d'Ivoire,Abron,Geumere,Goumere,Akyidom,Handloff 17,7.896296,-2.980126,
Cote d'Ivoire,Abron,Pinda,,Military chief here,Terray 1987 p.37,7.898549,-2.835003,
Ghana,Abron,Duadaso,,important village,Parker 398,7.903352,-2.627913,
Cote d'Ivoire,Abron,Bohi,,Penango,Terray 1047,7.92167,-2.85997,
Cote d'Ivoire,Abron,Esinkro,,Siengi ,Terray 846,7.921699,-3.317641,
Cote d'Ivoire,Abron,Sekerebango,,Siengi ,Terray 846,7.927642,-3.280322,
Cote d'Ivoire,Abron,Duakwam,,Fumasa here,Terray 1047,7.94534,-2.79031,
Cote d'Ivoire,Abron,Herebo,,King resides here at start of 1800s,Terray 1987 p. 55,7.951996,-3.057957,
Cote d'Ivoire,Abron,Zanzan,,part of royal dynasty based here,Terray 1987 p.37,7.957142,-2.832243,
,Abron,Lamoli,,royal official here,Terray 1040,7.95793,-3.24557,
Cote d'Ivoire,Abron,Amanvi,,King resides here in mid-1800s,Terray 1987 p. 55,7.969722,-3.138889,
Cote d'Ivoire,Abron,Tabogni,,royal family seat,Terray 1037,7.991038,-3.068705,
Cote d'Ivoire,Abron,Soko,,market here,Terray 714,7.99173,-2.74435,
Cote d'Ivoire,Abron,Afuamvam,,Penango,Terray 846,7.995709,-2.89805,
Cote d'Ivoire,Abron,Kandena,,Fumasahene from here,Terrat 840,8.00976,-3.08281,
Cote d'Ivoire,Abron,Zere,,Fumasahene from here,Terrat 840,8.01226,-3.01988,
Cote d'Ivoire,Abron,Tissie,,notable's village,Handloff 519,8.025662,-2.678264,
Cote d'Ivoire,Abron,Bondoukou ,,royal capital established in the 15th century ,Mundt 20,8.040201,-2.800034,
Cote d'Ivoire,Abron,Burumba,,important village,Terray 145,8.04653,-2.62145,
Cote d'Ivoire,Abron,Mangam,,Fumasahene from here,Terrat 840,8.05,-3,
Cote d'Ivoire,Abron,Dame,,Fumasa here,Terray 846,8.06734,-3.01446,
Cote d'Ivoire,Abron,Sipa,,Akyidom,Terray 846,8.06757,-2.93484,
Cote d'Ivoire,Abron,Motianbo,,province seat,Handloff 17,8.080603,-2.731538,
Cote d'Ivoire,Abron,Weleki,,Governor appointed here,Terray 1987 p.38,8.081812,-2.747161,
Cote d'Ivoire,Abron,Nagabere,,Fumasa here,Terray 846,8.089011,-3.196743,
Cote d'Ivoire,Abron,Amoatene,,royal family seat,Terray 1037,8.096653,-3.084545,
Cote d'Ivoire,Abron,Dimbi,,Fumasa here,Terray 846,8.10391,-3.03738,
Cote d'Ivoire,Abron,Songori,,Residence of miltiary chief,Terray 1987 p. 34,8.111059,-2.879175,
Cote d'Ivoire,Abron,Kangele,,market here,Terray 714,8.11152,-2.71527,
Cote d'Ivoire,Abron,NÕDawa,Kwassi Ndawa,Capital here; military chief,Terray 1987 p.38,8.11848,-2.91086,
Cote d'Ivoire,Abron,Yerebodi,,vassal here,Terray 788,8.11913,-3.68191,
Cote d'Ivoire,Abron,Sapli,,province seat,Handloff 638,8.14477,-2.986273,
Cote d'Ivoire,Abron,Kiendi,,royal official here,Terray 1041,8.15,-2.91667,
Cote d'Ivoire,Abron,Sorobango,,trade route through here,Handloff 672,8.172393,-2.708138,
Cote d'Ivoire,Abron,Yezimala,,subchief,Handloff 17,8.206641,-2.948122,
Cote d'Ivoire,Abron,Savagne,,Fumasa here,Terray 846,8.21393,-2.92113,
Cote d'Ivoire,Abron,Bondo Kulongo,Bonduo,important village,Terray 145,8.219423,-3.200397,
Cote d'Ivoire,Abron,Tambi,Tanbi,trade route through here,Handloff 672,8.233428,-2.573624,
Cote d'Ivoire,Abron,Penango,Pannayo?,Commandment here,Terray 1035,8.25211,-3.260554,
Cote d'Ivoire,Abron,Farala,Zarala,important village,Terray 145,8.278189,-2.530309,
Cote d'Ivoire,Abron,Laoudi Ba,,subchief,Handloff 17,8.290008,-2.961929,
Cote d'Ivoire,Abron,Torosanguei,,subchief,Handloff 17,8.30134,-3.11573,
Cote d'Ivoire,Abron,Banhui,,subchief,Handloff 17,8.333333,-3.066667,
Cote d'Ivoire,Abron,Kamala,,,Handloff 17,8.434339,-2.721085,
Cote d'Ivoire,Abron,Nasian,,subchiefdom here,Terray 787,8.45275,-3.47152,
Cote d'Ivoire,Abron,Parhadi,,Vassal subchief,Terray 787,8.45955,-3.53665,
Cote d'Ivoire,Abron,Lagbayo,,Vassal subchief,Terray 787,8.4598,-3.74605,
Cote d'Ivoire,Abron,Anveyo,,Vassal subchief,Terray 787,8.5374,-3.49807,
