Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Niger,Arewa,Bagaji,,residence of chief and grand priest,Moulin 179,13.846822,4.048022,
Niger,Arewa,Birnin Lokoyo,,Capital of Billawa clan,Hamani p. 343,13.8041,4.038947,
Niger,Arewa,Lougou,,"Saraouniya (queen) lives here, centre of Azna civilization",Moulin 183,13.857912,4.241668,
Niger,Arewa,Matankari,,Sarkin Arawa resides here,Moulin 183,13.764281,4.009831,
Niger,Arewa,Tugana,,early capital before Matankari,Piault 125,13.847392,4.217796,
Niger,Arewa,Tugubi,Gubey?,early capital before Matankari,Piault 125,13.5,4.26667,next to Kaura Lahamma
Niger,Arewa,Ligido,,Sarkin Yamma here,Piault 134,13.6144,4.11292,
Niger,Arewa,Kaura,,subchief here,Piault 134,13.48566,4.22387,
Niger,Arewa,Tsenchia,,Sarkin Tudu,Piault 134,13.65599846,4.024160314,
Niger,Arewa,Dubelma,,Sarkin here,Piault 134,13.7174,4.04323,
Niger,Arewa,Togwone,,Sarkin here,Piault 96,13.70538,4.02508,
Niger,Arewa,Bawa dan daji,,religious site near here,Piault 62,13.7408,4.20723,
