Country,Polity,Subkingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Nigeria,Borgu,,Gwanara,,Along trade route,Steward p. 384,8.893421,3.136876,
Nigeria,Borgu,Nikki,Ilesha,,Imoortant trade stop,Steward p. 330,8.916667,3.416667,
Benin,Borgu,Nikki,Gbodebere,Godeberi?,large market town,Adekunle 219,9.01667,3.53333,
Nigeria,Borgu,Nikki,Tabira,,chiefdom here ,Adekunle 229,9.066667,2.933333,
Nigeria,Borgu,Nikki,Kenu,,chiefdom here ,Steward p. 370,9.106937,3.112147,
Nigeria,Borgu,Nikki,Kabo,,shrine ,"Stewart 119, 121",9.18999,3.0535,
Nigeria,Borgu,Nikki,Okuta,,Large market town,Steward p. 358,9.216667,3.183333,
Benin,Borgu,Nikki,Kika,,Tributary chiefdoms,Steward p. 308,9.287727,2.781122,
Benin,Borgu,Nikki,Parakou,,"Market center, more independent late 19th c",Steward p. 299,9.337157,2.630306,
,Borgu,Kaiama,Boria,,Prince here,Stewart 314,9.41429,3.15978,
,Borgu,Kaiama,Vobea,,Prince here,Stewart 314,9.417473416,3.978139138,approximate based on map
Benin,Borgu,Nikki,Beguru,,shrine ,Stewart 371,9.445998,2.742982,
Nigeria,Borgu,Kaiama,Bueru,,subchief here,Boesen et al. p. 22,9.45,3.55,
Nigeria,Borgu,Kaiama,Gwasoro,,Prince here,Stewart 314,9.488224,3.506554,
Benin,Borgu,Nikki,Boko,,shrine ,Stewart 90,9.491474,2.616549,
Benin,Borgu,Nikki,Sandiro,,Sarkin here,Stewart 121,9.523689,3.14957,
,Borgu,Nikki,Gwanabe,,Chief here,Stewart 216,9.54921,4.0262,approximate based on map
Benin,Borgu,Nikki,Kosubosu,,resttop on trade route,Stewart 331,9.55107,3.22841,
Nigeria,Borgu,Kaiama,Kaiama,,Tributary chiefdoms,Steward p. 313,9.605305,3.941013,
,Borgu,Kaiama,Banisula,,Prince here,Stewart 314,9.62143,3.8955,
Benin,Borgu,Nikki,Kperu,,site during enthronement rituals,Stewart 279,9.63183,3.29521,
Nigeria,Borgu,Kaiama,Wajibe,,Religious shrine,Steward p. 313,9.63454,3.917392,
Nigeria,Borgu,Wawa,Leaba,,major town of Wawa,Stewart 210,9.66667,4.6,
Benin,Borgu,Nikki,Djougou,,important localit,Boesen et al. p. 22,9.70686,1.66992,
Benin,Borgu,Kaiama,Kamenji,,Religious shrine,Steward p. 313,9.716667,3.916667,
Benin,Borgu,Nikki,Bori,,province capital,Adekunle 23,9.753617,2.430735,
Benin,Borgu,Nikki,Yashikeri,,subchief,Adekunle 230,9.768469,3.397325,
Benin,Borgu,Nikki,Perere,,province capital,Adekunle 23,9.797214,2.984034,
Nigeria,Borgu,Wawa,Faku,,major town of Wawa,Stewart 210,9.82798,4.61366,
Benin,Borgu,Nikki,Taku,,sarkin here,Stewart 334,9.849161,3.214681,"yashikera-Nikki, not one near Tsamya"
Nigeria,Borgu,Wawa,Kali,,shrine ,Stewart 86,9.853464,4.185517,
Benin,Borgu,Nikki,Ndali,,chief here,Stewart 264,9.863598,2.720937,
Benin,Borgu,Nikki,Vera,,Religious shrine,Steward p. 313,9.874508,3.013371,
Benin,Borgu,Nikki,Teme,,,Boesen et al. p. 22,9.89745,2.464932,
Nigeria,Borgu,Wawa,Wawa,,royal family here,Steward 213,9.902222,4.419167,
Benin,Borgu,Nikki,Biro,,chief here,Stewart 264,9.90759,2.94123,
,Borgu,Nikki,Danri,,ruling house from near here,Stewart 260,9.92525,3.20772,
