Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Cote d'Ivoire,Bouna,Angai,,chieftaincy here,Boutillier p. 212,9.590273,-3.2891,
Cote d'Ivoire,Bouna,Bouna,,Capital,Boutillier p. 212,9.269265,-2.995098,
Cote d'Ivoire,Bouna,Danoa,,Piawar royal lineage village,Boutillier p. 220,9.688436,-3.079433,
Cote d'Ivoire,Bouna,Gbaniekai,,Piawar royal lineage village,Boutillier p. 220,8.9467,-3.18155,approximate based on map
Cote d'Ivoire,Bouna,Kpon,,Gago royal lineage village,Boutillier p. 220,9.40273,-2.935993,
Cote d'Ivoire,Bouna,Lankara,,Gago royal lineage village,Boutillier p. 220,9.75,-3.1,
Cote d'Ivoire,Bouna,Niamoin,,Gago royal lineage village,Boutillier p. 220,9.611201,-3.439998,
Cote d'Ivoire,Bouna,Niandegi,,Gago royal lineage village,Boutillier p. 220,9.259335,-2.895964,
Cote d'Ivoire,Bouna,Peko,,Kunga royal lineage village,Boutillier p. 220,9.519198,-3.045198,
Cote d'Ivoire,Bouna,Pokiri,,Piawar royal lineage village,Boutillier p. 220,8.95,-3.41667,
Cote d'Ivoire,Bouna,Saye,,chieftaincy here,Boutillier p. 212,9.452577,-3.344917,
Cote d'Ivoire,Bouna,Vigoli,,Kunga royal lineage village,Boutillier p. 220,9.354522,-3.149502,
Cote d'Ivoire,Bouna,Yalo,,chieftaincy here,Boutillier p. 212,9.345831,-3.243269,
Cote d'Ivoire,Bouna,Zoronko,,Gago royal lineage village,Boutillier p. 220,9.510155,-3.210418,
Cote d'Ivoire,Bouna,Nakiele,,,Boutillier p. 24,9.852427,-3.393309,
Cote d'Ivoire,Bouna,Varale,,royal wife from here ,Boutillier 185,9.6588,-3.27959,
Cote d'Ivoire,Bouna,Hiona,,chieftaincy here,Boutillier p. 212,8.78333,-3.55,approximate based on map
