Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Ghana,Dagomba,Tugu,,Sub-chiefdom of Savelugu,Mahama p. 59,9.366667,-0.6
Ghana,Dagomba,Nyankpala,,Sub-chiefdom of Savelugu,Mahama p. 59,9.395979,-0.979882
Ghana,Dagomba,Gurinshi,,Slave trading village,Gill 7,9.400785,-0.839296
Ghana,Dagomba,Mion,Sang,town where traditionally the chief could become the Ya Na of Dagomba,Owusu-Anash 84,9.415555,-0.277658
Ghana,Dagomba,Nanton,,Sub-chiefdom of Savelugu,Mahama p. 59,9.432079,-1.065907
Ghana,Dagomba,Yendi,,became the home of the Ya Na when Yendi Dabari fell to Gonja ,Owusu-Anash 84,9.442716,-0.009908
Ghana,Dagomba,Zakpalsi,,Sub-chiefdom of Mion,Mahama p. 59,9.466667,-0.316667
Ghana,Dagomba,Gbulun,,Sub-chiefdom of Savelugu,Mahama p. 59,9.485956,-1.012089
Ghana,Dagomba,Tijo,,Sub-chiefdom of Mion,Mahama p. 59,9.519776,-0.531354
Ghana,Dagomba,Nanton,,Sub-chiefdom of Savelugu,Mahama p. 59,9.551797,-0.729711
Ghana,Dagomba,Kunbungu,Kumbungu,"village with another tribal leader of the Dagomba. Some people decided to follow him rather than the traditional king of Yendi, until the king of Yendi had him killed",Gill 14-15,9.563367,-0.949039
Ghana,Dagomba,Tampion,,Sub-chiefdom of Savelugu,Mahama p. 59,9.580225,-0.675308
Ghana,Dagomba,Sakpe,,Sub-chiefdom of Mion,Mahama p. 59,9.58165,-0.266867
Ghana,Dagomba,Savelugu,,town where traditionally the chief could become the Ya Na of Dagomba,Owusu-Anash 84,9.624408,-0.825297
Ghana,Dagomba,Kutung,,Sub-chiefdom of Karaga,Mahama p. 58,9.744952,-0.289692
Ghana,Dagomba,Kpatinga,,Sub-chiefdom of Karaga,Mahama p. 58,9.769644,-0.272929
Ghana,Dagomba,Guishie,,Sub-chiefdom of Savelugu,Mahama p. 59,9.809669,-0.859123
Ghana,Dagomba,Tamaligu,,Sub-chiefdom of Karaga,Mahama p. 58,9.851683,-0.729198
Ghana,Dagomba,Diari,,Sub-chiefdom of Savelugu,Mahama p. 59,9.870163,-0.872948
Ghana,Dagomba,Bagarugu,,Sub-chiefdom of Karaga,Mahama p. 58,9.895155,-0.72264
Ghana,Dagomba,Karaga,,town where traditionally the chief could become the Ya Na of Dagomba,Owusu-Anash 84,9.916667,-0.433333
Ghana,Dagomba,Nyingali,,Sub-chiefdom of Karaga,Mahama p. 58,9.937418,-0.316917
Ghana,Dagomba,Sung,,Sub-chiefdom of Karaga,Mahama p. 58,9.938951,-0.546492
Ghana,Dagomba,Tong,,Sub-chiefdom of Karaga,Mahama p. 58,9.940434,-0.48165
Ghana,Dagomba,Pigu,,Sub-chiefdom of Savelugu,Mahama p. 59,9.981544,-0.823481
Ghana,Dagomba,Sakulo,,Sub-chiefdom of Karaga,Mahama p. 58,10.045355,-0.329771
Ghana,Dagomba,Napoligu,,Sub-chiefdom of Karaga,Mahama p. 58,10.05864,-0.344514
Ghana,Dagomba,Zandua,,Sub-chiefdom of Karaga,Mahama p. 58,10.197589,-0.290999
Ghana,Dagomba,Bagali,,village named after the son of a king. The first Dagomba settlement. Later it became a large town now in Gonja territory ,Gill 4,10.202109,-0.360862
