Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Niger,Damagaram,Babaye,,early royal seat,Salifou ,13.826897,8.166364,
Niger,Damagaram,Babban Baki,,Caravan tax collector,Dunbar 161,14.1253,8.6639,
Niger,Damagaram,Baouchiri,,principal town,Dunbar 36,13.69049,10.11198,
Niger,Damagaram,Baure,,officeholders village,Dunbar 154,13.55981,9.22925,
Niger,Damagaram,Chianza,,Titleholder's fief,Dunbar 143,13.9372,9.1158,
Niger,Damagaram,Dadin Sarki,,reception village outside Zinder,Dunbar 82,13.905247,8.609395,
Niger,Damagaram,Dakoussa,,Titleholder's fief,Dunbar 143,13.866667,8.816667,
Niger,Damagaram,Damaragam,,Capital,Salifou ,14.1377,9.4842,Notes
Niger,Damagaram,Dan Bartoo,,Suleiman often here,Dunbar 58,13.180742,8.329581,
Niger,Damagaram,Dan Chamoua,,principal town,Dunbar 36,13.69453,8.96637,
Nigeria,Damagaram,Dan Ladi,,Principal town,Dunbar 152,12.53285,9.25449,
Niger,Damagaram,Dan Tchiao,,Titleholder's fief,Dunbar 143,12.88074,9.09183,
Niger,Damagaram,Dogo,,Titleholder's fief,Dunbar 143,13.499054,9.017045,
Niger,Damagaram,Droum,,Titleholder's fief,Dunbar 143,13.56804,8.891302,
Niger,Damagaram,Dungass,,vassal chieftaincy,Dunbar 127,13.061534,9.343423,
Niger,Damagaram,Fotoro,,principal town,Dunbar 36,13.265631,9.966116,
Niger,Damagaram,Gaffati,,officeholders village,Dunbar 154,13.833731,9.108131,
Niger,Damagaram,Gamu,,Titleholder's fief,Dunbar 143,14.3307,9.9158,
Niger,Damagaram,Garagiunsa,Dan Gara?,Caravan tax collector,Dunbar 161,14.2406,8.4059,guess
Niger,Damagaram,Garki,,officeholders village,Dunbar 154,14.1855,9.7647,
Niger,Damagaram,Gouchi,,Principal town,Dunbar 152,13.5063,9.5557,
Niger,Damagaram,Gouna,,principal town,Dunbar 36,13.581557,9.121195,
Niger,Damagaram,Goure,,market hereamdara,Salifou p. 164,13.983504,10.270354,
Niger,Damagaram,Gueza,,dynasty founder from here,Dunbar 17,14.3157,9.6173,
Niger,Damagaram,Guidimouni,,Galadima's vilalg,Dunbar 138,13.69291,9.512403,
Niger,Damagaram,Gumel,,important market,Dunbar 188,12.6269,9.38807,
Niger,Damagaram,Hamdara,,Titleholder's fief,Dunbar 155,13.67107,9.472703,
Niger,Damagaram,Issawan,,Caravan tax collector,Dunbar 161,14.01074,7.9157,
Niger,Damagaram,Kagna,,principal town,Dunbar 36,14.23,9.05,
Niger,Damagaram,Kantche,,vassal chieftaincy,Dunbar 128,13.528373,8.366796,
Niger,Damagaram,Kelle,,subchief here,Dunbar p. 143,14.2817,10.1152,
Niger,Damagaram,Korgom,,Principal town,Dunbar 152,13.452133,8.253473,
Niger,Damagaram,Magaria,,village settled by prince,Dunbar 51,13.842343,8.520289,
Niger,Damagaram,Mallawa,,Titleholder's fief,Dunbar 144,13.031252,9.615045,
Niger,Damagaram,Mazamni,,Titleholder's fief,Dunbar 143,13.979039,9.438683,
Niger,Damagaram,Moa,,Titleholder's fief,Dunbar 143,14.1743,9.7602,
Niger,Damagaram,Myrria,,significant market here,Dunbar p. 127,13.707274,9.150127,
Niger,Damagaram,Ouaca,,vassal chieftaincy,Dunbar 127,13.3652,9.2938,
Niger,Damagaram,Roumji,,new post created here late 1800s,Dunbar 72,13.197482,8.42475,
Niger,Damagaram,Sannou,,new post created here late 1800s,Dunbar 72,13.4744,8.67198,
Niger,Damagaram,Takei,,"vassal chieftain here, permanently at Zinder",Dunbar 128,13.0159,9.5372,
Niger,Damagaram,Tchentcheni,,territorial fief of Terno,Dunbar 140,13.954003,8.637352,
Niger,Damagaram,Tirmini,,Titleholder's fief,Dunbar 143,13.772022,8.796514,
Niger,Damagaram,Wame,,Titleholder's fief,Dunbar 155,14.1529,9.184,
Niger,Damagaram,Zengou,,important Tuareg merchant community,Dunbar  193,13.82264,8.97761,
Niger,Damagaram,Zermou,,Titleholder's fief,Dunbar 143,13.86622,9.31514,
Niger,Damagaram,Zinder,,Capital,Salifou ,13.804869,8.988371,
Niger,Damagaram,Zongon Daoura,,Fiefholder territory,Dunbar 152,13.12074,9.24478,"placed at Daoura, nearby"
Niger,Damagaram,Matsina,,,Salifou ,13.13639,10.04924,
