Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Sudan,Funj_Nord,,Hetani,,Castle here along Caravan routes,Crawford 42,18.016667,31.416667,
Sudan,Funj_Nord,,Duffar,,Governor under Dongola Province resides here; possibly in ruins by early 1820s,Crawford 40,18.01667,31.05,Approximate Location
Sudan,Funj_Nord,,Korti,,Provincial center,Cailliard v2 30,18.116667,31.55,
Sudan,Funj_Nord,,Tangussi Island,Tangasi?,Governor under Dongola Province resides here,Crawford 40,18.15,30.8,
Sudan,Funj_Nord,,Deiga,,Hillfort here demarcating southern frontier of Dongola,Crawford 31,18.183333,31.6,???
Sudan,Funj_Nord,,Dongola,,Capital of Dongola Province,OÕFahey and Spaulding  102,18.216667,30.75,
Sudan,Funj_Nord,,Hannek,,Political center in Shaigia Province; Abandoned after Ottomans ruin it,Crawford 44,18.283017,31.679572,Approximate Location
Sudan,Funj_Nord,,Merawi,,Capital in Shaigia Province,Crawford 44,18.483333,31.816667,
Sudan,Funj_Nord,,Khandak,,Castle; Governor of Dongola Province here,Crawford 38,18.6,30.566667,
Sudan,Funj_Nord,,Sortot,,Sheikh here before Ottomans arrive,Cailliard v2 12,18.983333,30.45,
Sudan,Funj_Nord,,Argo,,Important Chief of Dongola here; Caravan port of Mushu here,Crawford 43,19.516667,30.416667,
