Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Sudan,Fur,Umm Haraz,in Dar Kerne,"Rock, salt and cotton market for caravan trade",OÕFahey 1980 133,13.15,24,
Sudan,Fur,Kabkabiyya,,large admin town,,13.65,24.083333,
Sudan,Fur,NI'ama,,Estate here,O'Fahey and Abu Salim p. 18,12.755364,24.168208,
Sudan,Fur,Qirli,,market here,Al-Tunisi,13.583401,24.18799,Approximate location based on maps and rivers
Sudan,Fur,Kalokitting,,provincial govs compound,OÕFahey 1980 170 fn 42,12.738322,24.26853,
Sudan,Fur,Kas,,market for caravan trade; seat of  governor,OÕFahey 1980 133,12.5,24.283333,
Sudan,Fur,Suwayni,,Commercial Center ; garrison and frontier post,O'Fahey Diss 223,14.03333,24.31667,Approximate location based on maps
Sudan,Fur,Tura,,Former capital; burial grounds of past Sultans,Arkell 1131,13.255542,24.337605,
Sudan,Fur,QumQum,,Estate here,O'Fahey and Abu Salim p. 17,14.9,24.516667,
Sudan,Fur,Dirbat,,Market with tax collectors,OÕFahey 1980 101,13.080908,24.51944,
Sudan,Fur,Kedingir,,,,12.783333,24.583333,
Sudan,Fur,Kutum,,Commissioner appointed here in 1800s,OÕFahey 1980 89,14.2,24.666667,
Sudan,Fur,Kullu,,Sultan Ahmad Bukr grants hakura (estate) here,OÕFahey 1980 50,13.433333,24.7,
Sudan,Fur,Anka,,wells here as leave Darfur on trading routes to Egyp,,14.683333,24.85,
Sudan,Fur,Al-Tawila,,Estate of head eunuch here,OÕFahey 1980 52,13.5,24.9,
Sudan,Fur,Kobbei/Kubaye,now abandoned - locate via O'Fahey's map,Starting off point for caravans to Egypt; largest town,OÕFahey 1980 139,13.86667,24.9,Approximate location
Sudan,Fur,Kafot,,Estate Here,La Rue 258,14.018629,24.95608,"Approximate location; on road from Al-Fasher to Kutum, but also along Wadi Kobbei - at intersection"
Sudan,Fur,Manawashi,,Sultan sponsored mosque here,OÕFahey 1980 121,12.687024,24.987877,
Sudan,Fur,Tarne,,Significant village,Al-Tunisi,13.26667,25.1,
Sudan,Fur,Khiriban,,Estate,O'Fahey and Abu Salim p. 16,13.743943,25.115317,Approximate location; noted as halfway between Kobbei and El-Fasher
Sudan,Fur,Al-Fashir,,Capital,,13.616389,25.356389,
Sudan,Fur,Azagarfa,,Sultan sponsored mosque here,OÕFahey 1980 121,13.892974,25.391852,Placed at closest town to Azagarfa Dam
Sudan,Fur,Jadid al-Sayl,At Jabal Jadid,Important religious center,OÕFahey 1980 1318,13.748252,25.44614,
Sudan,Fur,Qoz Bayna,,Slave troops quartered here,OÕFahey 1980 53,13.4,25.45,
Sudan,Fur,Kerio,,major staging post for raiding parties to south in 1850s; Sultan sponsored mosque here,OÕFahey 1980 119,13.284807,25.461223,Approximate location based on maps
Sudan,Fur,Mellit,,Sultan Ahmad Bukr grants hakura (estate) here,OÕFahey 1980 50,14.133333,25.55,
