Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Gajaaga,Gouy,DIAWARA,,,,15.023063,-12.542946
Senegal,Gajaaga,Gouy,Tiyabu,,royal capital of Gouy; eligible Bacili here,Thiaw 62,14.976385,-12.466769
Senegal,Gajaaga,Gouy,Yafera,,"Mangu, or warrier class, village",Chastanet 96,14.7843,-12.296
Senegal,Gajaaga,Gouy,Koughnany,,Religious Chiefs,Tadjouara 134,14.8393,-12.4021
Mali,Gajaaga,Kamera,Makhana,,sub-Tunka here; eligible for throne of Kamera,Gomez 41,14.634706,-11.918735
Mali,Gajaaga,Kamera,Kotera,,sub-Tunka here; eligible for throne of Kamera,Gomez 41,14.759238,-12.176016
Mali,Gajaaga,Kamera,Daramane,,Maraboutic village where royal assembly meets,Bathily 197,14.618039,-11.901845
Mali,Gajaaga,Kamera,Tafasiriga,,Maraboutic village,Chastanet 90,14.7554,-12.1894
Mali,Gajaaga,Kamera,Musala,,sub-Tunka here; eligible for throne of Kamera,Chastanet 94,14.57572,-11.714303
Mali,Gajaaga,Kamera,Tubabunkani,,sub-Tunka here; eligible for throne of Kamera,Chastanet 94,14.64057,-11.92464
Mali,Gajaaga,Kamera,Digokori,,sub-Tunka here,Chastanet 94,14.67568,-12.00196
Mali,Gajaaga,Kamera,Lani Tunka,,sub-Tunka here; eligible for throne of Kamera,Chastanet 94,14.71518,-12.05441
Mali,Gajaaga,Kamera,Gocube,Goutoube,"Mangu, or warrier class, village",Chastanet 96,14.7537,-12.2287
Mali,Gajaaga,Kamera,Somone,,"Mangu, or warrier class, village",Chastanet 96,14.60652,-11.86258
Senegal,Gajaaga,Gouy,Mannayelli,Manael,"Mangu, or warrier class, village",Chastanet 96,15.011547,-12.5022
