Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Gwandu,Aliero,,Fortress,Johnston 195,12.288353,4.471391
Nigeria,Gwandu,Alwasa,,,Johnston p. 257,12.617054,4.43743
Nigeria,Gwandu,Ambursa,,capital ~1860,Hogben and Kirk-Greene 423,12.50778,4.33712
Nigeria,Gwandu,Argungu,,large town,Johnson 58,12.74482,4.525136
Nigeria,Gwandu,Degondaji,,,Johnston p. 257,12.464022,4.807456
Nigeria,Gwandu,Gwandu,,royal ribat,Last p. 76,12.502043,4.642948
Nigeria,Gwandu,Jega,,important town,Last p. 76,12.222195,4.379633
Nigeria,Gwandu,Kajiji,,Fortress,Johnston 195,12.52284036,4.952678945
Nigeria,Gwandu,Kimba,,town ,Johnston 123,12.193045,4.412417
Nigeria,Gwandu,Sabuyel,,,Last p. 76,12.386811,4.445054
Nigeria,Gwandu,Tambawel,,royal ribat,Last p. 76,12.405925,4.646053
Nigeria,Gwandu,Kalgo,,chief here,Hogben and Kirk-Greene 425,12.33054373,4.205208402
