Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Kaarta,Biru,,,Robinson,15.066571,-9.919315
Mali,Kaarta,Diara,,former capital,Niakite 110,15.317563,-9.321353
Mali,Kaarta,Dioka,,fortified village,Niakite 116,14.8637,-10.0964
Mali,Kaarta,Fanga,,,Robinson,15.004781,-10.418312
Mali,Kaarta,Farabougou,,,Hanson p. 24,14.501502,-9.433125
Mali,Kaarta,Gemu,,First Capital,Hanson p. 23,14.7384,-9.7249
Mali,Kaarta,Geteme,,,Robinson,15.120746,-9.583056
Mali,Kaarta,Guessene,,,AF//269,15.165113,-10.699074
Mali,Kaarta,Karharo,,,Robinson,15.044865,-9.630843
Mali,Kaarta,Khondie,,interim capital between Yelimane and Nioro,"Monteil 1977, p. 117",14.7885,-9.4445
Mali,Kaarta,Koniakari,,former capital fo Khasso conquered by Kaarta,Niakite 116,14.5797,-10.9012
Mali,Kaarta,Niogoumera,,,AF//269,15.094618,-10.504794
Mali,Kaarta,Nioro,,Final capital settled ~1840,Hanson p. 23,15.229317,-9.592771
Mali,Kaarta,Segala,,,,14.5638,-10.9746
Mali,Kaarta,Sero,,localities in Soninke areas,Hanson p. 24,14.811313,-11.062676
Mali,Kaarta,Simbi,,King here when Tal takes over,Niakite 341,14.906507,-9.680867
Mali,Kaarta,Tambakara,,,AF//269,15.067732,-10.842659
Mali,Kaarta,Tankare,,,AF//269,14.4891,-9.1798
Mali,Kaarta,Tinkan,Tinguine?,,AF//269,14.697229,-11.016997
Mali,Kaarta,turungumbe,,,Hanson p. 24,15.2647,-9.226303
Mali,Kaarta,Yelimane,,Capital from early 19th c onwards,Hanson p. 23,15.118684,-10.577291
Mali,Kaarta,Kolomina,,garrison in 19th c,Hanson map,15.03515,-9.56573
Mali,Kaarta,Madi-na,,royal lineage here mid-1800s,Niakite 117,14.9828,-9.3204
Mali,Kaarta,Moussa Makhana,,royal lineage here mid-1800s,Niakite 117,15.14589,-9.46272
