Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Kano,Babura,,ribat,Philips p. 267,11.346546,8.569463
Nigeria,Kano,Bebeji,,walled town,Philips p. 157,11.667684,8.261997
Nigeria,Kano,Birnin Kudud,,semi-autonomous district,Philips p. 155,11.452066,9.478555
Nigeria,Kano,Bishi,,walled town,Philips p. 157,12.233853,8.240627
Nigeria,Kano,Buruburum,,walled town Emir takes refuge in,Johnston p. 67,11.391063,8.723411
Nigeria,Kano,Dambarta,,ribat,Johnston map 4,12.434997,8.515314
Nigeria,Kano,Dawaki,,walled town,Philips p. 157,11.837271,8.59699
Nigeria,Kano,Dell,Dal???,walled town,Philips p. 157,11.47072,8.822583
Nigeria,Kano,Dushi,,walled town,Philips p. 157,12.017021,7.945207
Nigeria,Kano,Dutse,Bayan Dutse,Seat of Fief,Philips p. 155,11.283062,8.370667
Nigeria,Kano,Faniso,,walled town,Philips p. 158,11.510439,8.34404
Nigeria,Kano,Garki,,subdistrict head,Dantiye,12.434558,9.190283
Nigeria,Kano,Gaya,,semi-autonomous district,Philips p. 155,11.860637,9.002702
Nigeria,Kano,Gerko,,walled town,Philips p. 157,11.649745,8.803281
Nigeria,Kano,Gezawa,,town,Philips p. 157,12.101573,8.750295
Nigeria,Kano,Godiya,,walled town,Philips p. 157,11.918038,8.132346
Nigeria,Kano,Gogel,,walled town,Philips p. 158,11.92624,8.7725
Nigeria,Kano,Gwarzo,,subdistrict head,Dantiye,11.915973,7.933704
Nigeria,Kano,Kano,,capital and walled town,,12.002381,8.51316
Nigeria,Kano,Kiru,,subdistrict head,Dantiye,11.702098,8.134807
Nigeria,Kano,Kura,,walled town,Philips p. 156,11.772319,8.426307
Nigeria,Kano,Merke,Marke (to be verified not other),walled town,Philips p. 158,12.388721,8.630715
Nigeria,Kano,Rimangado,,walled town,Philips p. 157,11.967202,8.2476
Nigeria,Kano,Ringim,,walled town,Philips p. 156,11.662193,8.421542
Nigeria,Kano,Sangaya,Tsangaya,walled town,Philips p. 158,11.616667,9.216667
Nigeria,Kano,Takay,,walled town,Philips p. 158,11.575692,9.108804
Nigeria,Kano,Taura,,walled town,Philips p. 157,12.07827,8.229819
Nigeria,Kano,Udil,Wudil,walled town,Philips p. 157,11.809374,8.844222
Nigeria,Kano,Zakere,Zakirai?,walled town,Philips p. 157,12.100326,8.885244
Nigeria,Kano,Sumaila,,subdistrict head,Dantiye,11.53011,8.95593
Nigeria,Kano,Wurma,,subdistrict head,Dantiye,11.86031,9.38982
