Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Togo,Kotokoli,Fazao,,Clan head,Alexandre p. 240,8.69421,0.77632
Togo,Kotokoli,Bulohu,,Clan head,Alexandre p. 240,8.766485,0.672323
Togo,Kotokoli,Djerekpanga,,Clan head,Alexandre p. 240,8.783333,0.566667
Togo,Kotokoli,Brini,,Birth village of fith king,Barbier p. 47,8.905009,1.181389
Togo,Kotokoli,Tyalo,,Clan head,Alexandre p. 240,8.929988,1.116206
Togo,Kotokoli,Katambara,,Birth village of third king,Barbier p. 47,8.95,1.166667
Togo,Kotokoli,Paratao,,Birth village of subsequnet kings,Barbier p. 47,8.952444,1.213582
Togo,Kotokoli,Jelifa,,Birth village of subsequnet kings,Barbier p. 47,8.952779,1.198229
Togo,Kotokoli,Sokode,,Clan head,Alexandre p. 240,8.983333,1.133333
Togo,Kotokoli,Tchavade,,Birth village of second king,Barbier p. 47,9.015633,1.189275
Togo,Kotokoli,Pagalam,,Birth village of first king,Barbier p. 47,9.033333,1.15
Togo,Kotokoli,Ogulude,Agulude/Agulu,Clan head,Alexandre p. 240,9.116667,1.316667
Togo,Kotokoli,Ajeide,,Clan head,Alexandre p. 240,9.205609,1.415409
Togo,Kotokoli,Tabalo,,Clan head,Alexandre p. 240,9.209229,1.003842
Togo,Kotokoli,Kemini,,Clan head,Alexandre p. 240,9.233333,1.233333
Togo,Kotokoli,Alejo-Kadara,,Clan head,Alexandre p. 240,9.254685,1.208286
Togo,Kotokoli,Kumonde,,Clan head,Alexandre p. 240,9.30163,1.2381
Togo,Kotokoli,Dawde,,Clan head,Alexandre p. 240,9.316667,1.05
Benin,Kotokoli,Alejo-Kura,,Clan head,Alexandre p. 240,9.347978,1.439289
Togo,Kotokoli,Sudu,,Clan head,Alexandre p. 240,9.357399,1.353931
