Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Cote d'Ivoire,Nafana,Odienne,,Islamic center; ealry settlement,O'Sullivan p. 84,9.507853485,-7.5662572,
Cote d'Ivoire,Nafana,Manouna,,important center,O'uillivan p. 88,9.38333,-7.75,"destroyed, was in a valley beneath mountain. Marker at mountain as valley location unspecified"
Cote d'Ivoire,Nafana,Negela,,mining site,O'Sullivan p. 37,9.401684,-7.737429,
Cote d'Ivoire,Nafana,Koro,,trading centers,O'Sullivan p. 82,9.4173,-7.14401,
Cote d'Ivoire,Nafana,Dioulatiedougou,,fartherst village in Nafana,O'Sullivan 28,8.97225,-7.2323,
Cote d'Ivoire,Nafana,Masadougou,,,Person,9.10237,-7.37455,
Cote d'Ivoire,Nafana,Dumbala,,,Person,8.9733,-7.33019,
Cote d'Ivoire,Nafana,Kobala,,,Person,9.012,-7.32192,
Cote d'Ivoire,Nafana,Tyekorodougou,,blacksmiths here,Toungara 91,9.02966,-7.2662,
Cote d'Ivoire,Nafana,Kotyeni,,,Person,9.09829,-7.24468,
Cote d'Ivoire,Nafana,Syeso,,,Person,9.41173,-7.51039,
Cote d'Ivoire,Nafana,Nyemeso,,,Person,9.20915,-7.40034,
