Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Zimbabwe,Rozvi,Zumnugwe,near Masase mission,ruins here,Robinson 12,-20.9788,29.6651,
Zimbabwe,Rozvi,Mundie,placed at Chamananga - was just north of here,gold smelting site,Sutherland-Harris 251,-20.768584,30.024675,
Zimbabwe,Rozvi,Shashi,Shashe,iron smelting center,Sutherland-Harris 250,-20.63333,28.78333,approximate
Zimbabwe,Rozvi,Buwa,mountain,settlements near here in 1800,Beach 260,-20.6278,30.321,
Zimbabwe,Rozvi,Matopo,placed in mountains,shrines here,Beach 251,-20.51796,28.4916,
Zimbabwe,Rozvi,Belingwe,,settlements near here in 1800,Beach 260,-20.4772,29.90849,approximate
Zimbabwe,Rozvi,Vukwe ,near Tati,iron smelting center,Sutherland-Harris 250,-20.475462,30.158833,
Zimbabwe,Rozvi,Chibi,,ruins here,Robinson 14,-20.30729,30.51017,approximate
Zimbabwe,Rozvi,Ndanga,,ruins here,Robinson 14,-20.17732,31.32503,approximate
Zimbabwe,Rozvi,Lundi,,,,-20.145156,29.944876,
Zimbabwe,Rozvi,Khami,,important ruins and original seat of power,,-20.14291258,28.42326731,
Zimbabwe,Rozvi,Zinjanja,,,,-20.134257,29.359089,
Zimbabwe,Rozvi,Bikita,,important lineage here,Beach 240,-20.08213,31.62316,
