Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Zimbabwe,Rozvi2,Dhlodhlo,Danamombe,Capital,Mubenge 376,-19.946475,29.331681,
Zimbabwe,Rozvi2,Nudmba Moyo,Ghoko hills,royal lineage here,Beach 239,-19.88333,29.81667,
Zimbabwe,Rozvi2,Naletale,Nntali,Stonewalled city overseeing mining area; Rotating capital,Livneh 229,-19.882763,29.525179,
Zimbabwe,Rozvi2,Ndanga,,chief installed by Rozvi here,Beach 337,-19.83333,30.16667,
Zimbabwe,Rozvi2,Zimuto,,tributory here,Beach 274,-19.80326,30.89598,approximate
Zimbabwe,Rozvi2,Inyati,,Rozvi walled ruins here,Robinson 4,-19.675634,28.846873,
Zimbabwe,Rozvi2,Gutu,,tributory here,Beach 274,-19.64447,31.15175,approximate
Zimbabwe,Rozvi2,Svika,Svika hill,tributory here,Beach 243,-19.55517,30.26828,
Zimbabwe,Rozvi2,Chilimanzi,,subchief here,Mudenge 141,-19.5357,30.65269,
Zimbabwe,Rozvi2,Manyanga,,Capital; important councilor lives here,Mubenge 376,-19.526651,29.031698,
Zimbabwe,Rozvi2,Taba zi ka Mambo,,Last capital,Sutherland-Harris 245 ,-19.526651,29.031698,
Zimbabwe,Rozvi2,Longwe Ruins,,Rozvi walled ruins here,,-19.38677,29.067576,
Zimbabwe,Rozvi2,Nharira,,Provincial Rozvi house here,Livneh 274,-19.07239,31.1633,
Zimbabwe,Rozvi2,Sakadungwe ,,dynasty here,Beach 243,-18.7565671,28.61678265,placed at river junction ided by Beach
Zimbabwe,Rozvi2,Nyandoro,,chief installed by Rozvi here,Beach 334,-18.35193,31.16071,
Zimbabwe,Rozvi2,Nyamweda,,chief installed by Rozvi here,Beach 333,-18.22703,31.16071,
