Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cote d'Ivoire,Samory_Sud,Bambaya,,important center 1880s,person carte 10,9.289234595,-10.4185701
Guinea,Samory_Sud,Kama Badou,,market site,Camara p. 38,9.05,-10.366667
Guinea,Samory_Sud,Dionn-biro,,market site,Camara p. 38,9.083333,-10.316667
Guinea,Samory_Sud,Warou-Kondero,,market site,Camara p. 38,9.116026,-10.24256
Guinea,Samory_Sud,Guinde-Minimou,,market site,Camara p. 38,8.887222,-10.172222
Guinea,Samory_Sud,Banankoro,,early kafu capital,Person carte 7,9.45,-10.133333
Guinea,Samory_Sud,Albadaria,,market site,Camara p. 38,9.552785,-10.101287
Guinea,Samory_Sud,Kisidugu,,,http://www.fafich.ufmg.br/luarnaut/mp_etats_de_Samory.gif,9.183333,-10.1
Guinea,Samory_Sud,Mara,,major settlemetn,person carte 20,9.233333,-10.083333
Guinea,Samory_Sud,Oulada,,center of Islamic schooling,Osborn p. 97,9.010116,-10.04924
Guinea,Samory_Sud,Kouranko,,Home of Karifa-Fina Camara,Camara p. 21,9.371261,-9.896155
Guinea,Samory_Sud,Koulikoro,,market site,Camara p. 37,9.625828,-9.814784
Guinea,Samory_Sud,Tokounou,,market site,Camara p. 37,9.654659,-9.778237
Guinea,Samory_Sud,Nbanama,,market site,Camara p. 38,9.067645,-9.775306
Guinea,Samory_Sud,Mantaragnan,,market site,Camara p. 38,8.933333,-9.766667
Guinea,Samory_Sud,Sasambaya,,major settlemetn,person carte 20,9.85,-9.716667
Guinea,Samory_Sud,Ko-Nafadyi,,major settlemetn,person carte 20,9.683333,-9.683333
Guinea,Samory_Sud,Kuliya,,major settlemetn,person carte 20,9.2,-9.666667
Guinea,Samory_Sud,Lero,,,Yves Person,9.37445,-9.564391
Guinea,Samory_Sud,Moribaya,,early kafu capital,Person carte 7,9.883333,-9.55
Guinea,Samory_Sud,Gbalako,,early kafu capital,Person carte 7,9.816667,-9.533333
Guinea,Samory_Sud,Banko,,market site,Camara p. 37,10.016667,-9.533333
Guinea,Samory_Sud,Diomandou,,market site,Camara p. 37,9.451245,-9.515558
Guinea,Samory_Sud,Ouorakoro,,,,9.151434,-9.449186
Guinea,Samory_Sud,Macenta,,,,8.5,-9.416667
Guinea,Samory_Sud,Narena,,kafu capital,Person carte 7,9.883333,-9.383333
Guinea,Samory_Sud,Farafana,,,,9.513264,-9.288049
Guinea,Samory_Sud,Boria,,,,10.140963,-9.279022
Guinea,Samory_Sud,Dyaradou,,,Yves Person,8.935,-9.26
Guinea,Samory_Sud,Lofero,,,Yves Person,8.980556,-9.221667
Guinea,Samory_Sud,Gbotola,,market site,Camara p. 37,10.043537,-9.139206
Guinea,Samory_Sud,Bissandougou,????,Capital established in 1873,Osborn p. 85,9.866667,-9.133333
Guinea,Samory_Sud,Doumbadou,,,Yves Person,8.833605,-9.116937
Guinea,Samory_Sud,Fabala,,market site,Camara p. 37,9.733333,-9.083333
Guinea,Samory_Sud,Komodougou,,market site; early conquest,Camara p. 37; early conquest,9.636072,-9.058686
Guinea,Samory_Sud,Manyambaladougou,,,Yves Person,9.728276,-9.014544
Guinea,Samory_Sud,Kerouane,,market site,Camara p. 37,9.269381,-9.009228
Guinea,Samory_Sud,Kosankoro,,market site,Camara p. 37,9.033861,-8.996456
Guinea,Samory_Sud,Korela,,market site,Camara p. 37,8.638714,-8.966518
Guinea,Samory_Sud,Manina,,market site,Camara p. 37,9.477101,-8.933878
Guinea,Samory_Sud,Damaro,,market site,Camara p. 37,9.130325,-8.900576
Guinea,Samory_Sud,Kalankala,,early kafu capital,Person carte 7,10.116667,-8.9
