Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Guinea,Samory_Est,Samatiguila,,home of prominent marabout,Camara p. 22,10.298444,-9.07556
Guinea,Samory_Est,Gueliba,,,AF//229,10.216667,-8.933333
Guinea,Samory_Est,OuroMakoro,,,AF//229,11.033333,-8.883333
Guinea,Samory_Est,Marena,,,,10.658904,-8.835843
Guinea,Samory_Est,Moussadougou,,,,10.320859,-8.792038
Guinea,Samory_Est,Kenieba,,,,10.529627,-8.646646
Guinea,Samory_Est,Kanguelo,,,AF//229,10.833333,-8.6
Guinea,Samory_Est,Niako,,garrison here 1880s,person carte 22,10.3333,-8.5667
Mali,Samory_Est,Kabaya,,Keletigi residence,person carte 20,11.116667,-8.566667
Mali,Samory_Est,Kaaba,,major settlemetn,person carte 20,11.933333,-8.416667
Mali,Samory_Est,Sekou,,,AF//229,11.137231,-8.308322
Mali,Samory_Est,Yanfolila,,major settlemetn,person carte 20,11.183333,-8.15
Mali,Samory_Est,Faraba,,Keletigi residence,person carte 20,11.916667,-8.15
Mali,Samory_Est,Wolosebugu,,major settlemetn,person carte 20,11.998898,-7.913977
Cote d'Ivoire,Samory_Est,Sokoro,,garrison in early 1890s,person carte 31,10.203741,-7.831698
Mali,Samory_Est,Faragwara,,garrison in early 1890s,person carte 30,11.312077,-7.776929
Mali,Samory_Est,Laminia,,major settlemetn,person carte 20,11.200814,-7.775314
Mali,Samory_Est,Kologo,,major settlemetn,person carte 20,11.222563,-7.491477
Mali,Samory_Est,Bougouni,,major settlement,person carte 20,11.421145,-7.485092
Mali,Samory_Est,Fulalaba,,major settlemetn,person carte 20,10.683333,-7.366667
Mali,Samory_Est,Bafagha,,Keletigi residence,person carte 20,11.373522,-7.090618
Mali,Samory_Est,Bole,,major settlemetn,person carte 20,12.0228,-6.9403
Mali,Samory_Est,Kumantu,,major settlemetn,person carte 20,11.406003,-6.849842
Cote d'Ivoire,Samory_Est,Debete,,important center 1890s,person carte 35,10.62150465,-6.647819283
Mali,Samory_Est,Tye,,important center 1890s,person carte 35,10.766667,-6.633333
Cote d'Ivoire,Samory_Est,Tengrela,,major settlemetn,person carte 20,10.416667,-6.416667
