Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Segou,Baguinta,,,4PL/5,12.6129,-7.7734
Mali,Segou,Banamba,,,AF//269,13.215627,-6.477708
Mali,Segou,Baraweli,,,Djata p. xi,13.077,-6.8312
Mali,Segou,Bla,,,AF//388,12.964277,-5.779101
Mali,Segou,Bobala,,,AF//274,12.215897,-7.432425
Mali,Segou,Buguni,,,Philippe p. 39,13.1689,-6.7792
Mali,Segou,Dakala,,,Bazin p. 144,13.3182,-6.2437
Mali,Segou,Dansobougou,,,AF//388,13.262369,-6.114971
Mali,Segou,Darani,,,4PL/5,12.4012,-7.7606
Mali,Segou,denenbugu,,,Kesselroot p. 600,13.695534,-6.581304
Mali,Segou,Digani,,,Bazin p. 144,13.498204,-6.316404
Mali,Segou,Dinnah,,,AF//269,13.04243,-7.345639
Mali,Segou,Dogoni,,,4PL/5,12.814469,-7.316805
Mali,Segou,Dougassou,,,AF//269,13.1243,-6.2687
Mali,Segou,Dugu,,,Kesselroot p. 600,13.3727,-6.3698
Mali,Segou,Faraka,,,Kesselroot p. 600,13.4104,-6.3895
Mali,Segou,Farako,,,4PL/5,12.29813,-7.435792
Mali,Segou,Fogni,,,AF//269,13.3521,-6.889
Mali,Segou,Gasi,,,Kesselroot p. 600,13.1747,-6.2559
Mali,Segou,Jesesbougou,,,Bazin p. 144,13.353231,-6.217093
Mali,Segou,Kala,,,Bazin p. 144,13.470643,-6.291172
Mali,Segou,Kalake,,,AF//274,12.9657,-6.8487
Mali,Segou,Kobile,,,4PL/5,12.6858,-7.0393
Mali,Segou,Kodiala,,,AF//269,12.669693,-7.183311
Mali,Segou,Koghe,,,AF//269,13.638092,-5.983245
Mali,Segou,Konina,,,4PL/5,12.737642,-7.452396
Mali,Segou,Konodimini,,,Bazin p. 144,13.3263,-6.4231
Mali,Segou,Kulikoro,,,Philippe p. 39,12.86648373,-7.563196403
Mali,Segou,Mansona,,,AF//388,12.9669,-6.1438
Mali,Segou,Mourdia,,,Philippe p. 39,12.608166,-7.320838
Mali,Segou,Mpeba,,,Kesselroot p. 600,13.4851,-6.1908
Mali,Segou,Nango,,,AF//274,13.2353,-6.5847
Mali,Segou,Pelenguena/Pelengana,,,Kesselroot p. 600,13.4274,-6.222
Mali,Segou,Sakoyba,,,Bazin p. 144,13.3118,-6.2796
Mali,Segou,Samanko,,,Kesselroot p. 600,13.70275,-6.375063
Mali,Segou,Sando,Segou,,Bazin p. 144,13.309964,-6.368481
Mali,Segou,Sidabugu,,,Kesselroot p. 600,13.2987,-6.4561
Mali,Segou,Suntyana,,,Philippe p. 39,12.6733,-7.0816
Mali,Segou,Tadiana,,,AF//274,12.312032,-7.86832
Mali,Segou,Tawa,,,AF//388,13.073538,-5.893707
Mali,Segou,Tyo,,,Kesselroot p. 600,13.71401098,-6.035844959
Mali,Segou,Bassi,,,Philippe p. 39,13.196479,-7.129476
Mali,Segou,Masala,,,Kesselroot p. 600,12.823991,-7.641699
Mali,Segou,Segou-Sikoro,,Capital under Ngolo,Philippe p. 40,13.4317,-6.2157
Mali,Segou,Markaduguba,,Commercial City,Philippe p. 39,13.913944,-6.347365
Mali,Segou,Niamina/Nyamina,,Commercial City,Philippe p. 39,13.3131,-6.983
Mali,Segou,Sinzeni (Sansanding),,Commercial City,Philippe p. 39,13.7252,-6.0043
Mali,Segou,Bambougou,,garisson of chef de sofas,Niakite p. 45,13.632486,-6.089995
Mali,Segou,Segou Koro,,Initial Capitla,Kesselroot p. 600,13.428,-6.2922
Mali,Segou,Boghe,,Market,4PL/5,13.2142,-6.8695
Mali,Segou,Fougani,,Market,4PL/5,12.757606,-7.240153
Mali,Segou,Niamana,,Market,4PL/5,13.064264,-7.015057
Mali,Segou,Tourela,,Market,4PL/5,12.353955,-8.079765
Mali,Segou,Kenienkou,,Segou town  Tal attacks,Niakite p. 49,13.10624,-7.243372
Mali,Segou,Magnambougou,,Segou town  Tal attacks,Niakite p. 50,13.264614,-6.623846
