Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Nigeria,Sokoto,Achida,,ribat founded 1850s,Last 115,13.16583032,5.395588813,
Nigeria,Sokoto,Anka,,satellite,Johnson 174,12.113466,5.926809,
Nigeria,Sokoto,Badarawa,,large market,Johnston 164,13.585068,5.988956,
Nigeria,Sokoto,Bakura,,garrison,Johnston 130,12.71141,5.873667,
Nigeria,Sokoto,Banga,,,Last p. 76,12.504956,6.625038,
Nigeria,Sokoto,Binji,,key support here,Last 94,13.222944,4.908885,
Nigeria,Sokoto,Birnin Damni,,,Johnston p. 257,12.411309,5.838466,rebellion here? May not meet criteria
Nigeria,Sokoto,Birnin Kaya,,ribat founded 1850s,Last 115,12.48019754,6.245955836,
Nigeria,Sokoto,Bodinga,,Shehu's brother here,Johnston 110,12.84413,5.150007,
Nigeria,Sokoto,Boko,,ribat founded 1850s,Last 115,12.79878129,6.437088111,
Nigeria,Sokoto,Bukwum,,,Johnston p. 257,12.137201,5.468214,
Nigeria,Sokoto,Bungudu,,Fulani stronghold,Last 95,12.268483,6.552882,
Nigeria,Sokoto,Chacha,,,Last p. 76,13.16483,5.448022,
Nigeria,Sokoto,Chafe,,ribat founded 1850s,Last 115,11.95986778,6.920658498,
Nigeria,Sokoto,Chimmola,,court here for some time,Johnston p. 257,13.3077,5.366031,
Nigeria,Sokoto,Danchadi,,key support here,Last 95,12.80115274,5.212702475,
Nigeria,Sokoto,Degel,,early base for Shehu,Johnston 37,13.330649,5.333404,
Nigeria,Sokoto,Gande,,Fulani stronghold,Last 95,13.079194,4.827686,
Nigeria,Sokoto,Gandi,,Fortress,Johnson 130,12.963579,5.74337,
Nigeria,Sokoto,Goronyo,,ribat,Philips p. 223,13.442258,5.672339,
Nigeria,Sokoto,Gummi,,satellite,Johnson 174,12.144843,5.117757,
Nigeria,Sokoto,Gusau,,Fulani stronghold,Last 95,12.17024,6.664116,
Nigeria,Sokoto,Gwadabawa,,Seat of Fief,Johnston p. 169,13.358187,5.238117,
Nigeria,Sokoto,Iname,,key support here,Last 94,13.196821,4.963489,
Nigeria,Sokoto,Isa,,fortress here,Johnston 148,13.200659,6.404873,
Nigeria,Sokoto,Kanoma,,fortress here,Johnston 115,12.228369,6.29617,
Nigeria,Sokoto,Kasarawa,,key support here,Last 95,12.95950353,5.229415011,
Nigeria,Sokoto,Katuru,,garrison town,Johnston 184,13.10126,6.434764,
Nigeria,Sokoto,Kaura Namoda,,main town,Last 96,12.593715,6.586484,
Nigeria,Sokoto,Maradun,,subemirate here,Last 196,12.567038,6.244069,
Nigeria,Sokoto,Maru,,fief here,Johnston 175,12.333595,6.40372,
Nigeria,Sokoto,Morai,,town caputred by Bella,Johnston 115,12.364965,6.138085,
Nigeria,Sokoto,Moriki,,ribat ,Last 115,12.874048,6.487541,
Nigeria,Sokoto,Raba,,ribat,Last 115,13.0851,5.381509,
Nigeria,Sokoto,Sanyinna,Sainyinan,Fulani stronghold,Last 95,13.446821,4.960343,
Nigeria,Sokoto,Shagari,,Fortress,Johnston 195,12.627273,4.992949,
Nigeria,Sokoto,Shinaka,,royal ribat,Philips p. 223,13.463559,5.726764,
Nigeria,Sokoto,Shinkafe,,,Johnston p. 257,13.072961,6.50574,
Nigeria,Sokoto,Sifawa,,early capital,Johnston p. 257,12.817666,5.128066,
Nigeria,Sokoto,Silame,,royal ribat,Last p. 76,13.039208,4.845932,
Nigeria,Sokoto,Sokoto,,early capital,Last p. 41,13.062695,5.243225,
Nigeria,Sokoto,Talata Mafara,,most populous and impt town in central Sokoto,Johnston p. 184,12.568411,6.062246,
Nigeria,Sokoto,Tureta,,town built late 1800s,Johnston p. 257,12.593667,5.543906,
Nigeria,Sokoto,Walaka,,key support here,Last 95,12.99660732,5.340244783,
Nigeria,Sokoto,Wurno,,second capital,Philips p. 223,13.290475,5.423729,
Nigeria,Sokoto,Yabo,,key support here,Last 94,12.722165,5.013286,
Nigeria,Sokoto,Yandoto,,important religious center captured by Bello,Usman p. 248,12.064048,6.877262,
Nigeria,Sokoto,Zurmi,,main town,Last 96,12.776748,6.784035,
