Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,NOTES
Sierra Leone,Solima Yalunka,Bindi,,large town,"Fyle 1979, 11`",9.913761,-11.446687,
Guinea,Solima Yalunka,Dantilia,,early principle town of Solima Clan,"Fyle 1979, 13",9.941543,-10.949995,
Guinea,Solima Yalunka,Darafore,,large town,"Fyle 1979, 11`",9.85694,-10.942046,
Sierra Leone,Solima Yalunka,Falaba,,"original capital that was destroyed by a Samori forces siege. Falaba was then rebuilt and became the head city of the Solima khori, the most important khori ","Fyle 1979, 40",9.855344,-11.32151,
Guinea,Solima Yalunka,Gbendenkudav,Heremakono,early principle town of Solima Clan,"Fyle 1979, 13",9.888711,-11.067047,
Sierra Leone,Solima Yalunka,Gberia Fotombu,,early principle town of Solima Clan,"Fyle 1979, 13",9.878521,-11.16548,
Sierra Leone,Solima Yalunka,Gberia Timbako,,early principle town of Solima Clan,"Fyle 1979, 13",9.754188,-11.192771,
Sierra Leone,Solima Yalunka,Kabala,,sub-chief here,"Fyle 1979, 64",9.588927,-11.552563,
Sierra Leone,Solima Yalunka,Kaliere,,early principle town of Solima Clan,"Fyle 1979, 13",9.970105,-11.193927,
Sierra Leone,Solima Yalunka,Kamba,,early principle town of Folosaba Clan,"(Fyle 1979, 13)",9.84344,-11.69734,
Guinea,Solima Yalunka,Kambaia,,,"(Fyle 1979, 51)",9.80297,-11.06717,
Sierra Leone,Solima Yalunka,Manankon,,,"(Fyle 1979, 51)",9.754156,-11.493844,
,Solima Yalunka,Morikalia,,early principle town of Folosaba Clan,"Fyle 1979, 13",10.01667951,-11.69307179,approximate based on map
Sierra Leone,Solima Yalunka,Musaia,,early principle town of Dembelia Clan,"Fyle 1979, 40",9.75916,-11.57132,
Sierra Leone,Solima Yalunka,Sinkunia,,important town ,Fyle 43,9.863667,-11.429114,
Sierra Leone,Solima Yalunka,Tenentiliya,Tenentilia,large town,"Fyle 1979, 11`",9.793311,-11.282041,
