Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Tignere,Doualayel,,,"Mohammadou 1978, 435",7.016667,12.666667
Cameroon,Tignere,Galim,,,"Mohammadou 1978, 434",7.1,12.483333
Cameroon,Tignere,Paro,,,"Mohammadou 1978, 435",7.116667,12.733333
Cameroon,Tignere,Gassanguel,,,"Mohammadou 1978, 435",7.2,12.533333
Cameroon,Tignere,Ngouri,,,"Mohammadou 1978, 435",7.233333,12.45
Cameroon,Tignere,Falkoumre,,,"Mohammadou 1978, 435",7.316667,12.6
Cameroon,Tignere,Tignere-Ngjagoure,,,"Mohammadou 1978, 435",7.366667,12.65
Cameroon,Tignere,Karedja,,,"Mohammadou 1978, 435",7.4,12.833333
Cameroon,Tignere,Bouroumti,,,"Mohammadou 1978, 435",7.466667,12.566667
Cameroon,Tignere,Garamti,,,"Mohammadou 1978, 435",7.466667,12.633333
Cameroon,Tignere,Guengdoumi,,,"Mohammadou 1978, 435",7.55,12.466667
Cameroon,Tignere,Sambo-Labo,,,"Mohammadou 1978, 435",7.583333,12.616667
Cameroon,Tignere,Gang-Koringa,,,"Mohammadou 1978, 435",7.65,12.783333
Cameroon,Tignere,Mere,,,"Mohammadou 1978, 435",7.65,12.95
Cameroon,Tignere,Yagoure,,,"Mohamadou 1965, p. 53",7.666667,12.516667
