Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Djibouti,Afar,Awsa,Andabba,,subchief here,Morin 271,11.59639,42.24444,
Ethiopia,Afar,Awsa,Awsa/Aoussa/Kalo,Asaita,"Capital of important  Sultanate, Oasis","Alwan, D. and Y. Mibrathu. (2000), p. 19",11.56838,41.43869,
Djibouti,Afar,Awsa,Madgul,,subchief here,Morin 271,12.35495,42.47629,
Djibouti,Afar,Awsa,Munkur,,subchief here,Morin 271,12.17212,42.23949,
Ethiopia,Afar,Awsa,ou,,sultan's family residence,Morin 241,11.416667,41.3,
Ethiopia,Afar,Awsa,Tandaho?,,,?? MORIN,11.69788,40.95469,
Eritrea,Afar,Baylul,Baylul,Baylul,Red sea port,"Oberlé (1971), 38",13.264356,42.334458,
Eritrea,Afar,Baylul,Gubbi,,sultan here in late 1800s,Morin 114,13.19642,42.39076,
Ethiopia,Afar,Bidu,Bidu,Biru,important town,Morin 114,13.217838,41.592359,
Ethiopia,Afar,Bidu,Girrifu,Ghiroffo,capital,Morin 114,13.216667,41.516667,
Ethiopia,Afar,Bidu,iddi,,subchief here,Morin 116,13.93088,41.6938,
Djibouti,Afar,Goba'ad,Debne,Debne,Regional Marker,Morin 2004: carte 2,11.100102,42.12472,
Djibouti,Afar,Goba'ad,Dikhil,Dikhil,Location ~1894,Morin 2004: 137,11.106873,42.368725,
Djibouti,Afar,Goba'ad,Gobaadu,Gaba?adou,Regional Marker,Morin 2004: carte 2,11.348448,42.267572,
Djibouti,Afar,Goba'ad,Haytankoma,,Prince here,Morin 213,11.34863,41.57872,placed at mountain -near here
Eritrea,Afar,Rahaita,Adali Seka,,sub-tribe here,Morin 35,12.6968,42.99438,
Djibouti,Afar,Rahaita,Asbol,,subtribe here,Morin 225,12.71999,42.65312,
Djibouti,Afar,Rahaita,Assab,Assab,,"Alwan, D. and Y. Mibrathu. (2000), p. 99",13.01034,42.742428,
Djibouti,Afar,Rahaita,Badoyta,,sub-tribe here,Morin 233,12.20884,42.94446,
Djibouti,Afar,Rahaita,Basoma,,sub-tribe here,Morin 233,12.04,42.98875,
Djibouti,Afar,Rahaita,Hayou/Obock,Obock,NE ,"Alwan, D. and Y. Mibrathu. (2000), p. 99",11.964852,43.291509,
Djibouti,Afar,Rahaita,Kona Eli Buda,,sub-tribe here,Morin 233,12.03681,43.12856,approximate location
Eritrea,Afar,Rahaita,Rahaita,Rahaita,Capital,"Alwan, D. and Y. Mibrathu. (2000), p. 99",12.728324,43.083185,
Djibouti,Afar,Tadjourah,Addali,,well on caravan route from Tadjoura to lac assal,Morin 260,11.62333,42.69556,
Djibouti,Afar,Tadjourah,Ambabbo,,caravan entrepot,Morin 53,11.75111,42.81444,
Djibouti,Afar,Tadjourah,Dakrayna,,territory under sultan; marked with mountain,Morin 147,11.97833,42.74806,
Djibouti,Afar,Tadjourah,Sagallu,,caravan entrepot,Morin 240,11.66972,42.7325,
Djibouti,Afar,Tadjourah,Tadjourah/Tajura/Tagori,Tadjourah,Capital of Tadjourah Sultanate,"Alwan, D. and Y. Mibrathu. (2000), p. 111",11.787196,42.878952,
Djibouti,Afar,Awsa,Yager,,subchief here,Morin 271,11.67306,42.08639,
Djibouti,Afar,Awsa,Habsu,,subchief here,Morin 271,11.8194,42.13639,
