Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Ghana,Ashanti,Offinso,,chief village,Kwadwo p. 55,6.908703,-1.656519
Ghana,Ashanti,Kumawu,,district capital,Wilks 47,6.908933,-1.277252
Ghana,Ashanti,Mampon Akurofosu,,haltingplace on Rd 4,Wilks 6,6.915594,-1.401453
Ghana,Ashanti,Agona,,chief village,Kwadwo p. 55,6.933747,-1.489067
Ghana,Ashanti,Boaman,,haltingplace on Rd 3,Wilks 5,6.943691,-1.616483
Ghana,Ashanti,Gyamase,,district capital,Wilks 47,6.97477,-1.474994999
Ghana,Ashanti,Kwaman,,Settlement on Rt 4,Wilks 97,6.977323,-1.271364
Ghana,Ashanti,Nsuta,,district capital,Kwadwo p. 55,7.010509,-1.380547
Ghana,Ashanti,Tetrem,,haltingplace on Rd 3,Wilks 5,7.03333,-1.63333
Ghana,Ashanti,Mampon,Mampong,district capital,Koslow 24,7.062734,-1.400098
Ghana,Ashanti,Bekyem,Bechem,Halting stop rd 1,Wilks 14,7.090342,-2.024982
Ghana,Ashanti,Abofo,Abofour?,haltingplace on Rd 2,Wilks 4,7.13333,-1.75
Ghana,Ashanti,Kyekyewere,,haltingplace on Rd 3,Wilks 5,7.13333,-1.63333
Ghana,Ashanti,Duayaw Nkwanta,,haltingplace on Rd 1,Wilks 3,7.17487,-2.09961
Ghana,Ashanti,Anyinasu,,haltingplace on Rd 3,Wilks 5,7.23333,-1.58333
Ghana,Ashanti,Adidwan,,haltingplace on Rd 4,Wilks 6,7.25187,-1.40217
Ghana,Ashanti,Ahenkro,,customs post here,Wilks 55,7.272650126,-2.872576115
Ghana,Ashanti,Sekyedumase,,Customs post here,Wilks 54,7.311922301,-1.575973566
Ghana,Ashanti,Nkenkaso,,haltingplace on Rd 2,Wilks 4,7.31431,-1.90267
Ghana,Ashanti,Ejura,,control post,Wilks 48,7.385576,-1.356167
Ghana,Ashanti,Akumadan,,Customs post here,Wilks 53,7.399323141,-1.958494762
Ghana,Ashanti,Amantin,,haltingplace on Rd 4,Wilks 6,7.54401,-1.20312
Ghana,Ashanti,Ansa,,customs post here,Wilks 55,6.092596,-1.427397
Ghana,Ashanti,Obuassi,,district here,Edgerton 200,6.206022,-1.661913
