Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
DRC,Azande_Bandia,Angu,,,de Dampierre p. 10,3.519057239,24.45643962
DRC,Azande_Bandia,Api,,,"Calonne-Beaufaict, Carte I",3.705686,25.395915
CAR,Azande_Bandia,Bakouma,,,de Dampierre p. 10,5.706111,22.779531
CAR,Azande_Bandia,Bangassou,,,Zalck p. 90,4.741324,22.818383
CAR,Azande_Bandia,Banima,,,"Calonne-Beaufaict, Carte I",5.350538,23.623588
DRC,Azande_Bandia,Bili,,,Zalck p. 90,4.150996,25.175467
DRC,Azande_Bandia,Bondo,,,Zalck p. 90,3.814607,23.686651
CAR,Azande_Bandia,Derbisaka,,,"Calonne-Beaufaict, Carte I",5.778488,24.85997
DRC,Azande_Bandia,Gatanga,,,de Dampierre p. 92,3.960298,23.660137
DRC,Azande_Bandia,Kasa,,,de Dampierre p. 10,4.380316,23.096843
DRC,Azande_Bandia,Lebo,,,"Calonne-Beaufaict, Carte I",4.50733,23.967213
DRC,Azande_Bandia,Likati,,,de Dampierre p. 10,3.364481,23.882078
CAR,Azande_Bandia,Mbari,,,"Calonne-Beaufaict, Carte I",5.466667,24.166667
CAR,Azande_Bandia,Ouango,,,de Dampierre p. 10,4.312666931,22.55198243
CAR,Azande_Bandia,Rafai,,,Zalck p. 90,4.973067,23.931841
CAR,Azande_Bandia,Ali,,,de Dampierre p. 92,5.00646437,24.56764254
