Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
,Azande_Voungara_Est,Imbio,,,"Evans-Pritchard 1971, p. 298",5,27.016667
CAR,Azande_Voungara_Est,Bambi,,,"Calonne-Beaufaict, Carte I",5.216667,27.116667
CAR,Azande_Voungara_Est,Ahmedo,,,"Calonne-Beaufaict, Carte I",5.6,27.133333
DRC,Azande_Voungara_Est,Tomba,,,"Evans-Pritchard 1971, p. 298",3.505521,27.164309
CAR,Azande_Voungara_Est,Degri,,,"Calonne-Beaufaict, Carte I",5.283333,27.166667
DRC,Azande_Voungara_Est,Viadana,,,"Calonne-Beaufaict, Carte I",2.875551,27.190104
DRC,Azande_Voungara_Est,Surungo,,,"Calonne-Beaufaict, Carte I",3.83266,27.262808
DRC,Azande_Voungara_Est,Duma,,,de Dampierre p. 92,4.939844,27.314378
CAR,Azande_Voungara_Est,Eso,,,"Evans-Pritchard 1971, p. 298",5.066667,27.45
South Sudan,Azande_Voungara_Est,Toamboura,,,Zalck p. 90,5.6,27.466667
DRC,Azande_Voungara_Est,Doruma,,,"Calonne-Beaufaict, Carte I",4.716364,27.682159
DRC,Azande_Voungara_Est,Niangara,,,Zalck p. 90,3.692696,27.874234
DRC,Azande_Voungara_Est,Bafuka,,,"Calonne-Beaufaict, Carte I",4.155909,27.904801
DRC,Azande_Voungara_Est,Avura,,,de Dampierre p. 92,4.420269,27.939195
South Sudan,Azande_Voungara_Est,Yambio,,,Zalck p. 90,4.570833,28.394167
DRC,Azande_Voungara_Est,Dungu,,,"Calonne-Beaufaict, Carte I",3.616873,28.5642
DRC,Azande_Voungara_Est,Yakuduku,,,"Calonne-Beaufaict, Carte I",4.340146,28.801013
South Sudan,Azande_Voungara_Est,Maridi,,,Zalck p. 90,4.916667,29.469444
