Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Gambia,Badibu,Jaabu Kunda,,,"Skinner 2017, 2",13.5,-16
Gambia,Badibu,Jumangsarr Koto,,,"Suso 2009, 63",13.5,-15.733333
Gambia,Badibu,Suwarekunda,Suara Kunda,,"Skinner 2017, 2",13.506944,-16.082222
Gambia,Badibu,Saba,,,"Skinner 2017, 2",13.516389,-16.049167
Gambia,Badibu,Ndankang Ndankang,,,"Suso 2009, 61",13.516667,-15.633333
Gambia,Badibu,Jumangsarr Ba,Jumansari?,,"Suso 2009, 63",13.533333,-15.75
Gambia,Badibu,kubanda,Kubandarr,,"Skinner 2017, 2",13.533333,-15.633333
Gambia,Badibu,India,,,"Skinner 2017, 2",13.566667,-15.75
Gambia,Badibu,Jikimari,Jigimar,Where governers were seated,"Suso 2009, 62",13.566667,-15.6
Gambia,Badibu,Konteh Kunda,,,"Suso 2009, 62",13.566667,-15.8
Gambia,Badibu,Sanjet,,,"Skinner 2017, 2",13.566667,-15.433333
