Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Bali,,Pinyin,,,Nyamndi p. 78,5.782739,10.057205
Cameroon,Bali,,Bessi,,,Nyamndi p. 78,5.81558,9.924167
Cameroon,Bali,,Batibo,,,Nyamndi p. 78,5.8358,9.8553
Cameroon,Bali,,Guzang,,,Nyamndi p. 78,5.8388,9.9324
Cameroon,Bali,,Bali Town,,,Russell p. 40,5.887366,10.01176
Cameroon,Bali,,Baba,,,Nyamndi p. 78,5.893754,10.064439
Cameroon,Bali,,Wosing,,,Russell p. 40,5.927021,10.060207
Cameroon,Bali,,Bossa,,,Russell p. 40,5.932289,9.980344
Cameroon,Bali,,Ngwadkong,,,Russell p. 40,5.9747,9.912
Cameroon,Bali,,Fonyam,,,Nyamndi p. 78,5.980458,9.99174
Cameroon,Bali,,Mbengwi,,,Nyamndi p. 78,6.016667,10
Cameroon,Bali,,Batabi,,,Nyamndi p. 78,6.085644,9.808347
Cameroon,Bali,,Bamunun,,,Nyamndi p. 78,6.161807,9.948361
Cameroon,Bali,,Banja,,,Nyamndi p. 78,6.1777,9.8338
